ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/rhox_nagash	
wh_main_unit_passive_unstable	nag_nagash_husk
wh_main_unit_passive_unstable	nag_nagash_revenant
wh_main_unit_passive_unstable	nag_nagash_boss
wh_main_unit_passive_unstable	nag_morghasts
wh_main_unit_passive_unstable	nag_morghasts_archai
wh_main_unit_passive_unstable	nag_nagashi_guard
wh_main_unit_passive_unstable	nag_nagashi_guard_halb
wh_main_unit_passive_unstable	nag_mortis_engine
wh_main_unit_passive_unstable	nag_bone_thrower
wh_main_unit_passive_unstable	nag_bone_golems
wh_main_unit_passive_unstable_mark_ii	nag_nagash_husk
wh_main_unit_passive_unstable_mark_ii	nag_nagash_revenant
wh_main_unit_passive_unstable_mark_ii	nag_nagash_boss
wh_main_unit_passive_unstable_mark_ii	nag_morghasts
wh_main_unit_passive_unstable_mark_ii	nag_morghasts_archai
wh_main_unit_passive_unstable_mark_ii	nag_nagashi_guard
wh_main_unit_passive_unstable_mark_ii	nag_nagashi_guard_halb
wh_main_unit_passive_unstable_mark_ii	nag_mortis_engine
wh_main_unit_passive_unstable_mark_ii	nag_bone_thrower
wh_main_unit_passive_unstable_mark_ii	nag_bone_golems
wh_dlc04_unit_passive_blasphemous_tome	nag_mortis_engine
wh_dlc04_unit_passive_the_reliquary_binding	nag_mortis_engine
wh_dlc04_unit_passive_the_reliquary_corruption	nag_mortis_engine
wh_main_unit_passive_regeneration	nag_mortis_engine
wh_main_unit_passive_unbinding_zombie	nag_inf_zombie_construct
wh_main_unit_passive_unstable	nag_inf_zombie_construct
wh_main_unit_passive_unstable_mark_ii	nag_inf_zombie_construct
nag_endless_tomb_skeleton_unbinding	nag_inf_skeleton_warriors_endless_tomb_summoned
wh_main_unit_passive_unstable	nag_inf_skeleton_warriors_endless_tomb_summoned
wh_main_unit_passive_unstable_mark_ii	nag_inf_skeleton_warriors_endless_tomb_summoned
wh_dlc04_unit_passive_unbinding_crypt_ghouls	nag_inf_crypt_ghouls_construct
wh_main_unit_passive_unstable	nag_inf_crypt_ghouls_construct
wh_main_unit_passive_unstable_mark_ii	nag_inf_crypt_ghouls_construct
wh_main_spell_nagash_grave_call_secondary_hidden_01	nag_inf_crypt_ghouls_construct
wh_main_spell_nagash_grave_call_secondary_hidden_02	nag_inf_crypt_ghouls_construct
wh_dlc04_unit_passive_unbinding_crypt_horrors	nag_mon_crypt_horrors_construct
wh_main_unit_passive_unstable	nag_mon_crypt_horrors_construct
wh_main_unit_passive_unstable_mark_ii	nag_mon_crypt_horrors_construct
wh_main_spell_nagash_grave_call_secondary_hidden_01	nag_mon_crypt_horrors_construct
wh_main_spell_nagash_grave_call_secondary_hidden_02	nag_mon_crypt_horrors_construct
wh_main_unit_passive_unstable	nag_cav_hexwraiths_0_summon
wh_main_unit_passive_unstable_mark_ii	nag_cav_hexwraiths_0_summon
wh_dlc04_unit_passive_unbinding_crypt_horrors	nag_cav_hexwraiths_0_summon
wh_main_unit_passive_unstable	nag_cav_black_knights_0_summon
wh_main_unit_passive_unstable_mark_ii	nag_cav_black_knights_0_summon
wh_dlc04_unit_passive_unbinding_crypt_horrors	nag_cav_black_knights_0_summon
wh_main_unit_passive_unstable	nag_hero_team_summon
wh_main_unit_passive_unstable_mark_ii	nag_hero_team_summon
wh_dlc04_unit_passive_unbinding_wight_king	nag_hero_team_summon
