member	max_range	min_range
#campaign_group_member_criteria_numeric_ranges_tables;0;db/campaign_group_member_criteria_numeric_ranges_tables/nagash_grand_spells		
nag_grand_spell_01_0	0	0
nag_grand_spell_01_1	1	1
nag_grand_spell_01_2	2	2
nag_grand_spell_01_3	3	3
nag_grand_spell_01_4	4	4
nag_grand_spell_01_5	5	5
nag_grand_spell_01_6	6	6
nag_grand_spell_01_7	7	7
nag_grand_spell_01_8	8	8
nag_grand_spell_01_9	9	9
nag_grand_spell_01_10	10	10
nag_grand_spell_01_11	11	11
nag_grand_spell_01_12	12	12
nag_grand_spell_01_13	13	13
nag_grand_spell_01_14	14	14
nag_grand_spell_01_15	15	15
nag_grand_spell_01_16	16	16
nag_grand_spell_01_17	17	17
nag_grand_spell_01_18	18	18
nag_grand_spell_01_19	19	19
nag_grand_spell_01_20	20	20
nag_grand_spell_02_0	0	0
nag_grand_spell_02_1	1	1
nag_grand_spell_02_2	2	2
nag_grand_spell_02_3	3	3
nag_grand_spell_02_4	4	4
nag_grand_spell_02_5	5	5
nag_grand_spell_02_6	6	6
nag_grand_spell_02_7	7	7
nag_grand_spell_02_8	8	8
nag_grand_spell_02_9	9	9
nag_grand_spell_02_10	10	10
nag_grand_spell_02_11	11	11
nag_grand_spell_02_12	12	12
nag_grand_spell_02_13	13	13
nag_grand_spell_02_14	14	14
nag_grand_spell_02_15	15	15
nag_grand_spell_02_16	16	16
nag_grand_spell_02_17	17	17
nag_grand_spell_02_18	18	18
nag_grand_spell_02_19	19	19
nag_grand_spell_02_20	20	20
nag_grand_spell_03_0	0	0
nag_grand_spell_03_1	1	1
nag_grand_spell_03_2	2	2
nag_grand_spell_03_3	3	3
nag_grand_spell_03_4	4	4
nag_grand_spell_03_5	5	5
nag_grand_spell_03_6	6	6
nag_grand_spell_03_7	7	7
nag_grand_spell_03_8	8	8
nag_grand_spell_03_9	9	9
nag_grand_spell_03_10	10	10
nag_grand_spell_03_11	11	11
nag_grand_spell_03_12	12	12
nag_grand_spell_03_13	13	13
nag_grand_spell_03_14	14	14
nag_grand_spell_03_15	15	15
nag_grand_spell_03_16	16	16
nag_grand_spell_03_17	17	17
nag_grand_spell_03_18	18	18
nag_grand_spell_03_19	19	19
nag_grand_spell_03_20	20	20
