member	context	max_range	min_range
#campaign_group_member_criteria_numeric_ranges_tables;1;db/campaign_group_member_criteria_numeric_ranges_tables/rhox_nagash_grand_spells			
nag_grand_spell_01_0	VALUE	0	0
nag_grand_spell_01_1	VALUE	1	1
nag_grand_spell_01_2	VALUE	2	2
nag_grand_spell_01_3	VALUE	3	3
nag_grand_spell_01_4	VALUE	4	4
nag_grand_spell_01_5	VALUE	5	5
nag_grand_spell_01_6	VALUE	6	6
nag_grand_spell_01_7	VALUE	7	7
nag_grand_spell_01_8	VALUE	8	8
nag_grand_spell_01_9	VALUE	9	9
nag_grand_spell_01_10	VALUE	10	10
nag_grand_spell_01_11	VALUE	11	11
nag_grand_spell_01_12	VALUE	12	12
nag_grand_spell_01_13	VALUE	13	13
nag_grand_spell_01_14	VALUE	14	14
nag_grand_spell_01_15	VALUE	15	15
nag_grand_spell_01_16	VALUE	16	16
nag_grand_spell_01_17	VALUE	17	17
nag_grand_spell_01_18	VALUE	18	18
nag_grand_spell_01_19	VALUE	19	19
nag_grand_spell_01_20	VALUE	20	20
nag_grand_spell_02_0	VALUE	0	0
nag_grand_spell_02_1	VALUE	1	1
nag_grand_spell_02_2	VALUE	2	2
nag_grand_spell_02_3	VALUE	3	3
nag_grand_spell_02_4	VALUE	4	4
nag_grand_spell_02_5	VALUE	5	5
nag_grand_spell_02_6	VALUE	6	6
nag_grand_spell_02_7	VALUE	7	7
nag_grand_spell_02_8	VALUE	8	8
nag_grand_spell_02_9	VALUE	9	9
nag_grand_spell_02_10	VALUE	10	10
nag_grand_spell_02_11	VALUE	11	11
nag_grand_spell_02_12	VALUE	12	12
nag_grand_spell_02_13	VALUE	13	13
nag_grand_spell_02_14	VALUE	14	14
nag_grand_spell_02_15	VALUE	15	15
nag_grand_spell_02_16	VALUE	16	16
nag_grand_spell_02_17	VALUE	17	17
nag_grand_spell_02_18	VALUE	18	18
nag_grand_spell_02_19	VALUE	19	19
nag_grand_spell_02_20	VALUE	20	20
nag_grand_spell_03_0	VALUE	0	0
nag_grand_spell_03_1	VALUE	1	1
nag_grand_spell_03_2	VALUE	2	2
nag_grand_spell_03_3	VALUE	3	3
nag_grand_spell_03_4	VALUE	4	4
nag_grand_spell_03_5	VALUE	5	5
nag_grand_spell_03_6	VALUE	6	6
nag_grand_spell_03_7	VALUE	7	7
nag_grand_spell_03_8	VALUE	8	8
nag_grand_spell_03_9	VALUE	9	9
nag_grand_spell_03_10	VALUE	10	10
nag_grand_spell_03_11	VALUE	11	11
nag_grand_spell_03_12	VALUE	12	12
nag_grand_spell_03_13	VALUE	13	13
nag_grand_spell_03_14	VALUE	14	14
nag_grand_spell_03_15	VALUE	15	15
nag_grand_spell_03_16	VALUE	16	16
nag_grand_spell_03_17	VALUE	17	17
nag_grand_spell_03_18	VALUE	18	18
nag_grand_spell_03_19	VALUE	19	19
nag_grand_spell_03_20	VALUE	20	20
wh3_main_corruption_vampiric_1-10_mixer_nag_nagash	VALUE	10	1
wh3_main_corruption_vampiric_11-20_mixer_nag_nagash	VALUE	20	11
wh3_main_corruption_vampiric_21-30_mixer_nag_nagash	VALUE	30	21
wh3_main_corruption_vampiric_31-40_mixer_nag_nagash	VALUE	40	31
wh3_main_corruption_vampiric_41-50_mixer_nag_nagash	VALUE	50	41
wh3_main_corruption_vampiric_51-60_mixer_nag_nagash	VALUE	60	51
wh3_main_corruption_vampiric_61-70_mixer_nag_nagash	VALUE	70	61
wh3_main_corruption_vampiric_71-80_mixer_nag_nagash	VALUE	80	71
wh3_main_corruption_vampiric_81-90_mixer_nag_nagash	VALUE	90	81
wh3_main_corruption_vampiric_91-100_mixer_nag_nagash	VALUE	100	91
