key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	always_affect_self	only_affect_target	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active	wind_down_stance	use_loop_stance	update_phase_by_ability_duration	spawn_is_transformation	spawn_is_decoy	only_affect_owned_units	formation	behaviour	current_mana_moves_to_reserve	spawn_shares_health_and_fatigue	affect_siege_equipment	shared_recharge_time	intensity_based_activation	autoresolver_usage	autoresolver_targets	display_stops_when_display_expires	autoresolve_cp_multiplier	ability_available_ui_event	can_be_copied_to_transformation_unit	audio_switch_casting_override	audio_switch_override	ai_usage_template_group	mom_vortex_key	align_orientation_to_target_unit
#unit_special_abilities_tables;72;db/unit_special_abilities_tables/rhox_nagash																																																																						
nag_nagash_passive_eternal_danse_macabre	-1.0000	-1.0000	-1	40.0000	true	-1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	365884120				0.0000	0.0000	wh_abilities_generic_buff	wh_abilities_generic_buff_no_ring				0.0000		augment_melee	wh_main_spell_vampires_vanhels_danse_macabre		vo_battle_special_ability_spell_cast_positive	50.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
nag_nagash_passive_malediction_of_nagash	18.0000	72.0000	-1	40.0000	false	0	-1	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	365884121				0.0000	0.0000	wh_abilities_generic_debuff	wh_abilities_generic_debuff	wh_abilities_generic_debuff			0.0000		hex_melee_area	wh_main_spell_vampires_curse_of_years		vo_battle_special_ability_spell_cast_negative	120.0000	80.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
nag_nagash_passive_death_magic_incarnate	15.0000	-1.0000	-1	40.0000	false	-1	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	365884122				0.0000	0.0000	wh_abilities_generic_regeneration	wh_abilities_generic_regeneration				0.0000		healing_area	wh_main_spell_death_aspect_of_the_dreadknight		vo_battle_special_ability_spell_cast_positive	150.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
nag_nagash_abilities_morikhane_black_armour	30.0000	120.0000	-1	0.0000	true	0	0	false	0.0000		false	false	false	0.0000	false	false	0.0000	false	365884123				0.0000	0.0000	wh_abilities_generic_buff_no_ring					0.0000		augment_defense_melee_area	wh_group_item		vo_battle_special_ability_spell_cast_negative	120.0000	120.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
nag_nagash_abilities_mortis_blade	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	365884124				0.0000	0.0000	wh_abilities_generic_regeneration_no_ring					0.0000			wh_group_weapon_sharp		vo_battle_special_ability_generic_response	240.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
nag_nagash_abilities_staff_of_power	-1.0000	-1.0000	-1	-1.0000	false	0	-1	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	365884125				0.0000	0.0000	wh_abilities_generic_debuff_wom	wh_abilities_generic_debuff_wom				0.0000					vo_battle_special_ability_generic_response	50.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
nag_nagash_abilities_crown_of_sorcery	29.0000	120.0000	-1	0.0000	true	0	0	false	120.0000		false	false	false	0.0000	false	false	0.0000	false	365884126				0.0000	0.0000	wh_abilities_generic_buff_no_ring					0.0000		augment_spellcasting	wh3_main_ability_modular		vo_battle_special_ability_generic_response	100.0000	100.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
nag_unit_passive_mortal_realm_of_souls	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	365884127				0.0000	0.0000	wh_abilities_generic_regeneration_no_ring					0.0000					vo_battle_special_ability_generic_response	30.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
nag_krell_passive_mortarch_of_despair	24.0000	240.0000	-1	0.0000	false	0	0	false	60.0000		false	true	false	70.0000	false	false	0.0000	false	365884128				0.0000	0.0000	wh_abilities_generic_debuff					1.0000	nag_krell_mortarch_of_despair		wh_dlc08_abilities_hunter_of_champions		vo_battle_special_ability_spell_cast_negative	81.0000	81.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
