key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	always_affect_self	only_affect_target	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active	wind_down_stance	use_loop_stance	update_phase_by_ability_duration	spawn_is_transformation	spawn_is_decoy	only_affect_owned_units	formation	behaviour	current_mana_moves_to_reserve	spawn_shares_health_and_fatigue	affect_siege_equipment	shared_recharge_time	intensity_based_activation	autoresolver_usage	autoresolver_targets	display_stops_when_display_expires	autoresolve_cp_multiplier	ability_available_ui_event	can_be_copied_to_transformation_unit	audio_switch_casting_override	audio_switch_ui_override	ai_usage_template_group	mom_vortex_key	align_orientation_to_target_unit
#unit_special_abilities_tables;72;db/unit_special_abilities_tables/rhox_nagash_spells																																																																						
wh_main_spell_nagash_dark_riders	1.0000	60.0000	2	0.0000	false	1	0	false	0.0000		true	false	true	60.0000	false	false	3.0000	false	465884120		nag_cav_black_knights_0_summon	cast_up_medium	12.0000	0.0000	wh_abilities_generic_spawn	wh_abilities_generic_spawn	wh2_main_unit_passive_the_rats_emerge			0.0000		threatened	wh_main_spell_vampires_raise_dead	dark_magic_medium	vo_battle_special_ability_raise_dead	121.0000	121.0000		unit_position_offset	wh_main_targeting_pre_spawn_group_ui_central	false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
wh_main_spell_nagash_dark_riders_upgraded	1.0000	60.0000	2	0.0000	false	1	0	false	0.0000		true	false	true	60.0000	false	false	3.0000	false	465884121		nag_cav_hexwraiths_0_summon	cast_up_medium	16.0000	0.0000	wh_abilities_generic_spawn	wh_abilities_generic_spawn	wh2_main_unit_passive_the_rats_emerge			0.5000	wh_main_death_miscast	threatened	wh_main_spell_vampires_raise_dead_upgraded	dark_magic_medium	vo_battle_special_ability_raise_dead	121.0000	121.0000		unit_position_offset	wh_main_targeting_pre_spawn_group_ui_central	false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
wh_main_lore_nagash_raise_the_dead	9.0000	-1.0000	-1	-1.0000	true	-1	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	465884119				0.0000	0.0000	wh_abilities_generic_regeneration_no_ring	wh_abilities_generic_regeneration_no_ring				0.0000					vo_battle_special_ability_generic_response	50.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
wh_main_spell_nagash_hand_of_dust	6.0000	60.0000	-1	0.0000	false	0	1	false	0.0000		false	true	false	50.0000	false	false	0.0000	false	465884118			cast_forward_short	12.0000	0.0000	wh_abilities_generic_direct_damage_no_ring	wh_abilities_generic_direct_damage_no_ring				0.0000		hex_melee	wh2_dlc15_spell_warden_wardens_cage		vo_battle_special_ability_spell_cast_negative	110.0000	110.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
wh_main_spell_nagash_hand_of_dust_upgraded	0.1000	60.0000	-1	0.0000	false	0	0	false	0.0000	wh_main_spell_nagash_hand_of_dust	false	true	false	100.0000	false	false	0.0000	false	465884122			cast_forward_short	15.0000	0.0000	wh_spell_generic_bombardment	wh_spell_generic_bombardment	wh_spell_generic_bombardment_active			0.0000		aoe_bombardment	wh2_main_spell_dark_magic_doombolt	dark_magic_long	vo_battle_special_ability_spell_cast_negative	0.0000	210.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
wh_main_spell_nagash_breath_of_darkness	12.0000	48.0000	-1	0.0000	true	1	0	false	0.0000		true	false	false	200.0000	false	false	1.0000	false	465884123			cast_forward_short	17.0000	0.0000	wh_abilities_generic_regeneration_no_ring	wh_abilities_generic_regeneration_no_ring	wh_main_spell_nagash_breath_of_darkness			0.0000		healing	wh_main_spell_vampires_invocation_of_nehek	dark_magic_short	vo_battle_special_ability_spell_cast_positive	40.0000	70.0000				false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
wh_main_spell_nagash_breath_of_darkness_upgraded	12.0000	48.0000	-1	0.0000	true	1	0	false	0.0000		true	false	false	200.0000	false	false	1.0000	false	465884124			cast_forward_short	19.0000	0.0000	wh_abilities_generic_regeneration_no_ring	wh_abilities_generic_regeneration_no_ring	wh_main_spell_nagash_breath_of_darkness			0.5000	wh_main_death_miscast	healing	wh_main_spell_vampires_invocation_of_nehek	dark_magic_short	vo_battle_special_ability_spell_cast_positive	40.0000	70.0000				false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
wh_main_spell_nagash_harbinger	1.0000	-1.0000	1	0.0000	false	1	0	false	0.0000		true	false	true	60.0000	false	false	0.0000	false	465884125		nag_hero_team_summon		0.0000	0.0000	wh_abilities_generic_spawn	wh_abilities_generic_spawn				0.5000	wh_main_death_miscast	threatened	wh_main_spell_vampires_raise_dead_upgraded	dark_magic_medium	vo_battle_special_ability_raise_dead	280.0000	0.0000			wh_main_targeting_pre_spawn_solo_ui_central	false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
wh_main_spell_nagash_harbinger_upgraded	1.0000	-1.0000	1	0.0000	false	1	0	false	0.0000		true	false	true	60.0000	false	false	0.0000	false	465884126		nag_hero_warsphinx_summon		0.0000	0.0000	wh_abilities_generic_spawn	wh_abilities_generic_spawn				1.0000	wh_main_death_miscast	threatened	wh_main_spell_vampires_raise_dead_upgraded	dark_magic_medium	vo_battle_special_ability_raise_dead	280.0000	0.0000			wh_main_targeting_pre_spawn_solo_ui_central	false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
