bonus_value_id	effect	resource_factor
#effect_bonus_value_pooled_resource_factor_junctions_tables;0;db/effect_bonus_value_pooled_resource_factor_junctions_tables/rhox_nagash		
base_amount	nag_effect_grand_spell_01_recharge	nag_grand_spell_01_recharge
base_amount	nag_effect_grand_spell_02_recharge	nag_grand_spell_02_recharge
base_amount	nag_effect_grand_spell_03_recharge	nag_grand_spell_03_recharge
base_amount	rhox_nagash_lahmia_effect_corruption_vampiric_coven_influence	rhox_nagash_lahmia_corruption_vampiric_coven_influence
base_amount	rhox_nagash_lahmia_effect_pooled_resource_coven_influence_corruption	rhox_nagash_lahmia_coven_influence_vampiric_corruption
base_amount	rhox_nagash_lahmia_effect_pooled_resource_coven_influence_culture	rhox_nagash_lahmia_coven_influence_resistance_culture
base_amount	rhox_nagash_lahmia_effect_pooled_resource_coven_influence_diplomacy	rhox_nagash_lahmia_coven_influence_diplomacy_with_lahmia
base_amount	rhox_nagash_lahmia_effect_pooled_resource_coven_influence_mark_of_neferata	rhox_nagash_lahmia_coven_influence_gift_of_lahmia
base_amount	rhox_nagash_lahmia_effect_pooled_resource_coven_influence_resistance	rhox_nagash_lahmia_coven_influence_resistance_regions
percentage_multiplier_mod	rhox_nagash_lahmia_effect_pooled_resource_income_mod_resistance	rhox_nagash_lahmia_coven_influence_resistance_culture
base_amount	rhox_nagash_lahmia_effect_pooled_resource_coven_influence_cult	rhox_nagash_lahmia_vampiric_influence_cults
base_amount	rhox_nagash_kalledria_effect_non_vampirice_corruption_disabled	wh3_main_corruption_chaos_factor_hidden
base_amount	rhox_nagash_kalledria_effect_non_vampirice_corruption_disabled	wh3_main_corruption_khorne_factor_hidden
base_amount	rhox_nagash_kalledria_effect_non_vampirice_corruption_disabled	wh3_main_corruption_nurgle_factor_hidden
base_amount	rhox_nagash_kalledria_effect_non_vampirice_corruption_disabled	wh3_main_corruption_skaven_factor_hidden
base_amount	rhox_nagash_kalledria_effect_non_vampirice_corruption_disabled	wh3_main_corruption_slaanesh_factor_hidden
base_amount	rhox_nagash_kalledria_effect_non_vampirice_corruption_disabled	wh3_main_corruption_tzeentch_factor_hidden
