bonus_value_id	effect	unit_record_key
#effect_bonus_value_unit_record_junctions_tables;0;db/effect_bonus_value_unit_record_junctions_tables/rhox_nagash		
upkeep_mod	nag_effect_upkeep_mannfred	nag_mortarch_mannfred
upkeep_mod	nag_effect_upkeep_mannfred	nag_mortarch_mannfred_warhorse
upkeep_mod	nag_effect_upkeep_mannfred	nag_mortarch_mannfred_abyssal
melee_damage_ap_mod_add	nag_effect_ap_warbeasts	nag_sand_crawlies
melee_damage_ap_mod_add	nag_effect_ap_warbeasts	nag_vanilla_vmp_mon_dire_wolves
melee_damage_ap_mod_add	nag_effect_ap_warbeasts	nag_vanilla_vmp_mon_fell_bats
battle_healing_cap_mod	wh3_main_effect_battle_heal_cap_isabella_to_vlad	nag_mortarch_vlad
battle_healing_cap_mod	wh3_main_effect_battle_heal_cap_vlad_to_isabella	nag_mortarch_isabella
battle_healing_cap_mod	wh3_main_effect_battle_heal_cap_vlad_to_isabella	nag_mortarch_isabella_hellsteed
battle_healing_cap_mod	wh3_main_effect_battle_heal_cap_vlad_to_isabella	nag_mortarch_isabella_warhorse
battle_healing_cap_mod	wh3_dlc23_effect_healing_cap_necromancers_all	nag_master_necromancer_0
battle_healing_cap_mod	wh3_dlc23_effect_healing_cap_necromancers_all	nag_master_necromancer_1
battle_healing_cap_mod	wh3_dlc23_effect_healing_cap_necromancers_all	nag_master_necromancer_2
battle_healing_cap_mod	wh3_dlc23_effect_healing_cap_necromancers_all	nag_master_necromancer_3
battle_healing_cap_mod	wh3_dlc23_effect_healing_cap_necromancers_all	nag_master_necromancer_4
battle_healing_cap_mod	wh3_dlc23_effect_healing_cap_necromancers_all	nag_master_necromancer_5
battle_healing_cap_mod	nag_effect_unit_healing_cap_ghouls	nag_vanilla_vmp_inf_crypt_ghouls
