id	choice_key	dilemma_key	payload_key	value
#cdir_events_dilemma_payloads_tables;2;db/cdir_events_dilemma_payloads_tables/nagash				
908498189	FIRST	nag_winds	TEXT_DISPLAY	LOOKUP[dummy_nag_ability_enable_batocalypse]
908498190	SECOND	nag_winds	TEXT_DISPLAY	LOOKUP[dummy_nag_ability_enable_endless_tomb]
908498191	THIRD	nag_winds	TEXT_DISPLAY	LOOKUP[dummy_nag_ability_enable_blyramid_bombardment]
908498192	FIRST	nag_man	TEXT_DISPLAY	LOOKUP[dummy_blankfornow]
908498193	SECOND	nag_man	TEXT_DISPLAY	LOOKUP[dummy_blankfornow]
908498194	THIRD	nag_man	TEXT_DISPLAY	LOOKUP[dummy_blankfornow]
908498195	FOURTH	nag_man	TEXT_DISPLAY	LOOKUP[dummy_blankfornow]
908498196	FIRST	nag_luthor_madness_1	nag_luthor_madness_payload_1	DURATION[10]
908498197	SECOND	nag_luthor_madness_1	nag_luthor_madness_payload_2	DURATION[10]
908498198	THIRD	nag_luthor_madness_1	nag_luthor_madness_payload_3	DURATION[10]
908498199	FOURTH	nag_luthor_madness_1	nag_luthor_madness_payload_4	DURATION[10]
908498200	FIRST	nag_luthor_madness_2	nag_luthor_madness_payload_5	DURATION[10]
908498201	SECOND	nag_luthor_madness_2	nag_luthor_madness_payload_2	DURATION[10]
908498202	THIRD	nag_luthor_madness_2	nag_luthor_madness_payload_4	DURATION[10]
908498203	FOURTH	nag_luthor_madness_2	nag_luthor_madness_payload_3	DURATION[10]
908498204	FIRST	nag_luthor_madness_3	nag_luthor_madness_payload_3	DURATION[10]
908498205	SECOND	nag_luthor_madness_3	nag_luthor_madness_payload_2	DURATION[10]
908498206	THIRD	nag_luthor_madness_3	nag_luthor_madness_payload_1	DURATION[10]
908498207	FOURTH	nag_luthor_madness_3	nag_luthor_madness_payload_5	DURATION[10]
