member	pooled_resource
#campaign_group_member_criteria_pooled_resources_tables;0;db/campaign_group_member_criteria_pooled_resources_tables/rhox_nagash	
nag_grand_spell_01_20	nag_grand_spell_01
nag_grand_spell_02_20	nag_grand_spell_02
nag_grand_spell_03_20	nag_grand_spell_03
wh3_main_corruption_vampiric_1-10_mixer_nag_nagash	wh3_main_corruption_vampiric
wh3_main_corruption_vampiric_11-20_mixer_nag_nagash	wh3_main_corruption_vampiric
wh3_main_corruption_vampiric_21-30_mixer_nag_nagash	wh3_main_corruption_vampiric
wh3_main_corruption_vampiric_31-40_mixer_nag_nagash	wh3_main_corruption_vampiric
wh3_main_corruption_vampiric_41-50_mixer_nag_nagash	wh3_main_corruption_vampiric
wh3_main_corruption_vampiric_51-60_mixer_nag_nagash	wh3_main_corruption_vampiric
wh3_main_corruption_vampiric_61-70_mixer_nag_nagash	wh3_main_corruption_vampiric
wh3_main_corruption_vampiric_71-80_mixer_nag_nagash	wh3_main_corruption_vampiric
wh3_main_corruption_vampiric_81-90_mixer_nag_nagash	wh3_main_corruption_vampiric
wh3_main_corruption_vampiric_91-100_mixer_nag_nagash	wh3_main_corruption_vampiric
rhox_nagash_lahmia_pooled_resource_coven_influence_effects_1	rhox_nagash_lahmia_coven_influence
rhox_nagash_lahmia_pooled_resource_coven_influence_effects_2	rhox_nagash_lahmia_coven_influence
rhox_nagash_lahmia_pooled_resource_coven_influence_effects_3	rhox_nagash_lahmia_coven_influence
rhox_nagash_lahmia_pooled_resource_coven_influence_effects_4	rhox_nagash_lahmia_coven_influence
rhox_nagash_lahmia_pooled_resource_coven_influence_effects_max	rhox_nagash_lahmia_coven_influence
