member	pooled_resource
#campaign_group_member_criteria_pooled_resources_tables;0;db/campaign_group_member_criteria_pooled_resources_tables/rhox_nagash_grand_spells	
nag_grand_spell_01_0	nag_grand_spell_01
nag_grand_spell_01_1	nag_grand_spell_01
nag_grand_spell_01_2	nag_grand_spell_01
nag_grand_spell_01_3	nag_grand_spell_01
nag_grand_spell_01_4	nag_grand_spell_01
nag_grand_spell_01_5	nag_grand_spell_01
nag_grand_spell_01_6	nag_grand_spell_01
nag_grand_spell_01_7	nag_grand_spell_01
nag_grand_spell_01_8	nag_grand_spell_01
nag_grand_spell_01_9	nag_grand_spell_01
nag_grand_spell_01_10	nag_grand_spell_01
nag_grand_spell_01_11	nag_grand_spell_01
nag_grand_spell_01_12	nag_grand_spell_01
nag_grand_spell_01_13	nag_grand_spell_01
nag_grand_spell_01_14	nag_grand_spell_01
nag_grand_spell_01_15	nag_grand_spell_01
nag_grand_spell_01_16	nag_grand_spell_01
nag_grand_spell_01_17	nag_grand_spell_01
nag_grand_spell_01_18	nag_grand_spell_01
nag_grand_spell_01_19	nag_grand_spell_01
nag_grand_spell_01_20	nag_grand_spell_01
nag_grand_spell_02_0	nag_grand_spell_02
nag_grand_spell_02_1	nag_grand_spell_02
nag_grand_spell_02_2	nag_grand_spell_02
nag_grand_spell_02_3	nag_grand_spell_02
nag_grand_spell_02_4	nag_grand_spell_02
nag_grand_spell_02_5	nag_grand_spell_02
nag_grand_spell_02_6	nag_grand_spell_02
nag_grand_spell_02_7	nag_grand_spell_02
nag_grand_spell_02_8	nag_grand_spell_02
nag_grand_spell_02_9	nag_grand_spell_02
nag_grand_spell_02_10	nag_grand_spell_02
nag_grand_spell_02_11	nag_grand_spell_02
nag_grand_spell_02_12	nag_grand_spell_02
nag_grand_spell_02_13	nag_grand_spell_02
nag_grand_spell_02_14	nag_grand_spell_02
nag_grand_spell_02_15	nag_grand_spell_02
nag_grand_spell_02_16	nag_grand_spell_02
nag_grand_spell_02_17	nag_grand_spell_02
nag_grand_spell_02_18	nag_grand_spell_02
nag_grand_spell_02_19	nag_grand_spell_02
nag_grand_spell_02_20	nag_grand_spell_02
nag_grand_spell_03_0	nag_grand_spell_03
nag_grand_spell_03_1	nag_grand_spell_03
nag_grand_spell_03_2	nag_grand_spell_03
nag_grand_spell_03_3	nag_grand_spell_03
nag_grand_spell_03_4	nag_grand_spell_03
nag_grand_spell_03_5	nag_grand_spell_03
nag_grand_spell_03_6	nag_grand_spell_03
nag_grand_spell_03_7	nag_grand_spell_03
nag_grand_spell_03_8	nag_grand_spell_03
nag_grand_spell_03_9	nag_grand_spell_03
nag_grand_spell_03_10	nag_grand_spell_03
nag_grand_spell_03_11	nag_grand_spell_03
nag_grand_spell_03_12	nag_grand_spell_03
nag_grand_spell_03_13	nag_grand_spell_03
nag_grand_spell_03_14	nag_grand_spell_03
nag_grand_spell_03_15	nag_grand_spell_03
nag_grand_spell_03_16	nag_grand_spell_03
nag_grand_spell_03_17	nag_grand_spell_03
nag_grand_spell_03_18	nag_grand_spell_03
nag_grand_spell_03_19	nag_grand_spell_03
nag_grand_spell_03_20	nag_grand_spell_03
wh3_main_corruption_vampiric_1-10_mixer_nag_nagash	wh3_main_corruption_vampiric
wh3_main_corruption_vampiric_11-20_mixer_nag_nagash	wh3_main_corruption_vampiric
wh3_main_corruption_vampiric_21-30_mixer_nag_nagash	wh3_main_corruption_vampiric
wh3_main_corruption_vampiric_31-40_mixer_nag_nagash	wh3_main_corruption_vampiric
wh3_main_corruption_vampiric_41-50_mixer_nag_nagash	wh3_main_corruption_vampiric
wh3_main_corruption_vampiric_51-60_mixer_nag_nagash	wh3_main_corruption_vampiric
wh3_main_corruption_vampiric_61-70_mixer_nag_nagash	wh3_main_corruption_vampiric
wh3_main_corruption_vampiric_71-80_mixer_nag_nagash	wh3_main_corruption_vampiric
wh3_main_corruption_vampiric_81-90_mixer_nag_nagash	wh3_main_corruption_vampiric
wh3_main_corruption_vampiric_91-100_mixer_nag_nagash	wh3_main_corruption_vampiric
