ancillary_key	set_key
#ancillary_set_ancillary_junctions_tables;0;db/ancillary_set_ancillary_junctions_tables/rhox_nagash	
nag_anc_armour_morikhane_the_black_armour	rhox_nagash_nagash_set
nag_anc_weapon_the_mortis_blade	rhox_nagash_nagash_set
nag_anc_arcane_item_alakanash_staff_of_power	rhox_nagash_nagash_set
nag_anc_enchanted_item_crown_of_nagash	rhox_nagash_nagash_set
nag_anc_armour_armour_of_templehof	rhox_nagash_mannfred_set
nag_anc_weapon_sword_of_unholy_power	rhox_nagash_mannfred_set
nag_anc_talisman_the_carstein_ring	rhox_nagash_vlad_set
nag_anc_weapon_blood_drinker	rhox_nagash_vlad_set
nag_anc_arcane_item_staff_of_nagash	rhox_nagash_arkhan_set
nag_anc_weapon_the_tomb_blade_of_arkhan	rhox_nagash_arkhan_set
nag_anc_weapon_dagger_of_jet	rhox_nagash_neferata_set
nag_anc_arcane_item_staff_of_pain	rhox_nagash_neferata_set
nag_anc_weapon_chaos_tomb_blade	rhox_nagash_krell_set
nag_anc_armour_armour_of_the_barrows	rhox_nagash_krell_set
nag_anc_weapon_black_axe_of_krell	rhox_nagash_krell_set
mixu_vmp_dieter_helsnicht_arcane_item_staff_of_flaming_death	rhox_nagash_dieter_set
mixu_vmp_dieter_helsnicht_weapon_chaos_runesword	rhox_nagash_dieter_set
nag_anc_armour_azhags_ard_armour	rhox_nagash_azhag_set
nag_anc_enchanted_item_the_crown_of_sorcery	rhox_nagash_azhag_set
nag_anc_weapon_slaggas_slashas	rhox_nagash_azhag_set
