attribute	phase	attribute_type
#special_ability_phase_attribute_effects_tables;1;db/special_ability_phase_attribute_effects_tables/rhox_nagash		
construct	wh_main_spell_nagash_become_construct	positive
unbreakable	nag_nagash_passive_death_magic_incarnate	positive
cannot_die	nag_nagash_passive_death_magic_incarnate	positive
rampage	nag_unit_passive_marshlight_aura_1	positive
unspottable	nag_unit_abilities_beyond_the_veil	positive
rampage	nag_azhag_abilities_reckless_whispers_iii	positive
glorious_charge	nag_azhag_abilities_reckless_whispers_iii	positive
unbreakable	nag_azhag_abilities_reckless_whispers_v	positive
executor	nag_unit_passive_doom_of_nagashizzar_hidden	positive
cannot_die	nag_unit_abilities_refuse_to_die	positive
