from	to
#building_downgrade_junctions_tables;0;db/building_downgrade_junctions_tables/jvj_nagash	
nag_outpost_primary_main_ruin	nag_outpost_primary_main_ruin
nag_outpost_primary_main_1	nag_outpost_primary_main_1
nag_outpost_primary_main_2	nag_outpost_primary_main_2
nag_outpost_primary_main_3	nag_outpost_primary_main_3
nag_outpost_secondary_main_ruin	nag_outpost_secondary_main_ruin
nag_outpost_secondary_main_1	nag_outpost_secondary_main_1
nag_outpost_main_port_ruin	nag_outpost_main_port_ruin
nag_outpost_main_port_1	nag_outpost_main_port_1
nag_outpost_special_nagashizzar_ruin	nag_outpost_special_nagashizzar_ruin
nag_outpost_special_nagashizzar_1	nag_outpost_special_nagashizzar_1
nag_outpost_special_nagashizzar_2	nag_outpost_special_nagashizzar_2
nag_outpost_special_nagashizzar_3	nag_outpost_special_nagashizzar_3
nag_outpost_special_nagashizzar_4	nag_outpost_special_nagashizzar_4
nag_outpost_special_nagashizzar_5	nag_outpost_special_nagashizzar_5
nag_outpost_special_mourkain_ruin	nag_outpost_special_mourkain_ruin
nag_outpost_special_mourkain_1	nag_outpost_special_mourkain_1
nag_outpost_special_mourkain_2	nag_outpost_special_mourkain_2
nag_outpost_special_mourkain_3	nag_outpost_special_mourkain_3
nag_outpost_special_mourkain_4	nag_outpost_special_mourkain_4
nag_outpost_special_mourkain_5	nag_outpost_special_mourkain_5
nag_outpost_special_lahmia_ruin	nag_outpost_special_lahmia_ruin
nag_outpost_special_lahmia_1	nag_outpost_special_lahmia_1
nag_outpost_special_lahmia_2	nag_outpost_special_lahmia_2
nag_outpost_special_lahmia_3	nag_outpost_special_lahmia_3
nag_outpost_special_lahmia_4	nag_outpost_special_lahmia_4
nag_outpost_special_lahmia_5	nag_outpost_special_lahmia_5
nag_outpost_special_khemri_ruin	nag_outpost_special_khemri_ruin
nag_outpost_special_khemri_1	nag_outpost_special_khemri_1
nag_outpost_special_khemri_2	nag_outpost_special_khemri_2
nag_outpost_special_khemri_3	nag_outpost_special_khemri_3
nag_outpost_special_khemri_4	nag_outpost_special_khemri_4
nag_outpost_special_khemri_5	nag_outpost_special_khemri_5
nag_outpost_special_awakening_ruin	nag_outpost_special_awakening_ruin
nag_outpost_special_awakening_1	nag_outpost_special_awakening_1
nag_outpost_special_awakening_2	nag_outpost_special_awakening_2
nag_outpost_special_awakening_3	nag_outpost_special_awakening_3
nag_outpost_special_awakening_4	nag_outpost_special_awakening_4
nag_outpost_special_awakening_5	nag_outpost_special_awakening_5
nag_outpost_special_drakenhof_ruin	nag_outpost_special_drakenhof_ruin
nag_outpost_special_drakenhof_1	nag_outpost_special_drakenhof_1
nag_outpost_special_drakenhof_2	nag_outpost_special_drakenhof_2
nag_outpost_special_drakenhof_3	nag_outpost_special_drakenhof_3
nag_outpost_special_drakenhof_4	nag_outpost_special_drakenhof_4
nag_outpost_special_drakenhof_5	nag_outpost_special_drakenhof_5
nag_outpost_special_quintex_ruin	nag_outpost_special_quintex_ruin
nag_outpost_special_quintex_1	nag_outpost_special_quintex_1
nag_outpost_special_quintex_2	nag_outpost_special_quintex_2
nag_outpost_special_quintex_3	nag_outpost_special_quintex_3
nag_outpost_special_quintex_4	nag_outpost_special_quintex_4
nag_outpost_special_quintex_5	nag_outpost_special_quintex_5
nag_outpost_special_blackpyramid_1	nag_outpost_special_blackpyramid_1
nag_outpost_special_blackpyramid_2	nag_outpost_special_blackpyramid_2
nag_outpost_special_blackpyramid_3	nag_outpost_special_blackpyramid_3
nag_outpost_special_blackpyramid_ruin	nag_outpost_special_blackpyramid_ruin
