from	to
#building_downgrade_junctions_tables	0	db/building_downgrade_junctions_tables/jvj_nagash_buildings
nag_bpyramid_main_1	nag_bpyramid_main_1
nag_bpyramid_main_2	nag_bpyramid_main_2
nag_bpyramid_main_3	nag_bpyramid_main_3
nag_bpyramid_main_4	nag_bpyramid_main_4
nag_bpyramid_main_5	nag_bpyramid_main_5
nag_nagash_horde_special_1	nag_nagash_horde_special_1
nag_nagash_horde_special_2	nag_nagash_horde_special_2
nag_nagash_horde_special_3	nag_nagash_horde_special_3
nag_arkhan_horde_special_1	nag_arkhan_horde_special_1
nag_arkhan_horde_special_2	nag_arkhan_horde_special_2
nag_arkhan_horde_special_3	nag_arkhan_horde_special_3
nag_arkhan_horde_special_4	nag_arkhan_horde_special_4
nag_arkhan_horde_special_5	nag_arkhan_horde_special_5
nag_vlad_horde_special_1	nag_vlad_horde_special_1
nag_vlad_horde_special_2	nag_vlad_horde_special_2
nag_vlad_horde_special_3	nag_vlad_horde_special_3
nag_vlad_horde_special_4	nag_vlad_horde_special_4
nag_vlad_horde_special_5	nag_vlad_horde_special_5
nag_neffy_horde_special_1	nag_neffy_horde_special_1
nag_neffy_horde_special_2	nag_neffy_horde_special_2
nag_neffy_horde_special_3	nag_neffy_horde_special_3
nag_neffy_horde_special_4	nag_neffy_horde_special_4
nag_neffy_horde_special_5	nag_neffy_horde_special_5
nag_manny_horde_special_1	nag_manny_horde_special_1
nag_manny_horde_special_2	nag_manny_horde_special_2
nag_manny_horde_special_3	nag_manny_horde_special_3
nag_manny_horde_special_4	nag_manny_horde_special_4
nag_manny_horde_special_5	nag_manny_horde_special_5
nag_krell_horde_special_1	nag_krell_horde_special_1
nag_krell_horde_special_2	nag_krell_horde_special_2
nag_krell_horde_special_3	nag_krell_horde_special_3
nag_krell_horde_special_4	nag_krell_horde_special_4
nag_krell_horde_special_5	nag_krell_horde_special_5
nag_luthor_horde_special_1	nag_luthor_horde_special_1
nag_luthor_horde_special_2	nag_luthor_horde_special_2
nag_luthor_horde_special_3	nag_luthor_horde_special_3
nag_luthor_horde_special_4	nag_luthor_horde_special_4
nag_luthor_horde_special_5	nag_luthor_horde_special_5
nag_subhorde_main_1	nag_subhorde_main_1
nag_subhorde_main_2	nag_subhorde_main_2
nag_subhorde_main_3	nag_subhorde_main_3
nag_outpost_primary_main_ruin	nag_outpost_primary_main_ruin
nag_outpost_primary_main_1	nag_outpost_primary_main_1
nag_outpost_primary_main_2	nag_outpost_primary_main_2
nag_outpost_primary_main_3	nag_outpost_primary_main_3
nag_outpost_primary_main_4	nag_outpost_primary_main_4
nag_outpost_primary_main_5	nag_outpost_primary_main_5
nag_outpost_primary_main_coast_ruin	nag_outpost_primary_main_coast_ruin
nag_outpost_primary_main_coast_1	nag_outpost_primary_main_coast_1
nag_outpost_primary_main_coast_2	nag_outpost_primary_main_coast_2
nag_outpost_primary_main_coast_3	nag_outpost_primary_main_coast_3
nag_outpost_primary_main_coast_4	nag_outpost_primary_main_coast_4
nag_outpost_primary_main_coast_5	nag_outpost_primary_main_coast_5
nag_outpostnorsca_primary_main_ruin	nag_outpostnorsca_primary_main_ruin
nag_outpostnorsca_primary_main_1	nag_outpostnorsca_primary_main_1
nag_outpostnorsca_primary_main_coast_ruin	nag_outpostnorsca_primary_main_coast_ruin
nag_outpostnorsca_primary_main_coast_1	nag_outpostnorsca_primary_main_coast_1
nag_outpost_secondary_main_ruin	nag_outpost_secondary_main_ruin
nag_outpost_secondary_main_1	nag_outpost_secondary_main_1
nag_outpost_secondary_main_coast_ruin	nag_outpost_secondary_main_coast_ruin
nag_outpost_secondary_main_coast_1	nag_outpost_secondary_main_coast_1
nag_outpostnorsca_secondary_main_ruin	nag_outpostnorsca_secondary_main_ruin
nag_outpostnorsca_secondary_main_1	nag_outpostnorsca_secondary_main_1
nag_outpostnorsca_secondary_main_coast_1	nag_outpostnorsca_secondary_main_coast_1
nag_outpostnorsca_secondary_coast_main_ruin	nag_outpostnorsca_secondary_coast_main_ruin
nag_outpost_main_port_ruin	nag_outpost_main_port_ruin
nag_outpost_main_port_1	nag_outpost_main_port_1
wh2_dlc09_special_settlement_altdorf_nag_1	wh2_dlc09_special_settlement_altdorf_nag_1
wh2_dlc09_special_settlement_altdorf_nag_ruin	wh2_dlc09_special_settlement_altdorf_nag_ruin
wh2_dlc09_special_settlement_athel_loren_nag_1	wh2_dlc09_special_settlement_athel_loren_nag_1
wh2_dlc09_special_settlement_athel_loren_nag_ruin	wh2_dlc09_special_settlement_athel_loren_nag_ruin
wh2_dlc09_special_settlement_black_crag_nag_1	wh2_dlc09_special_settlement_black_crag_nag_1
wh2_dlc09_special_settlement_black_crag_nag_ruin	wh2_dlc09_special_settlement_black_crag_nag_ruin
wh2_dlc09_special_settlement_castle_drakenhof_nag_1	wh2_dlc09_special_settlement_castle_drakenhof_nag_1
wh2_dlc09_special_settlement_castle_drakenhof_nag_ruin	wh2_dlc09_special_settlement_castle_drakenhof_nag_ruin
wh2_dlc09_special_settlement_couronne_nag_1	wh2_dlc09_special_settlement_couronne_nag_1
wh2_dlc09_special_settlement_couronne_nag_ruin	wh2_dlc09_special_settlement_couronne_nag_ruin
wh2_dlc09_special_settlement_eight_peaks_nag_1	wh2_dlc09_special_settlement_eight_peaks_nag_1
wh2_dlc09_special_settlement_eight_peaks_nag_ruin	wh2_dlc09_special_settlement_eight_peaks_nag_ruin
wh2_dlc09_special_settlement_gaean_vale_nag_1	wh2_dlc09_special_settlement_gaean_vale_nag_1
wh2_dlc09_special_settlement_gaean_vale_nag_ruin	wh2_dlc09_special_settlement_gaean_vale_nag_ruin
wh2_dlc09_special_settlement_hexoatl_nag_1	wh2_dlc09_special_settlement_hexoatl_nag_1
wh2_dlc09_special_settlement_hexoatl_nag_ruin	wh2_dlc09_special_settlement_hexoatl_nag_ruin
wh2_dlc09_special_settlement_itza_nag_1	wh2_dlc09_special_settlement_itza_nag_1
wh2_dlc09_special_settlement_itza_nag_ruin	wh2_dlc09_special_settlement_itza_nag_ruin
wh2_dlc09_special_settlement_karaz_a_karak_nag_1	wh2_dlc09_special_settlement_karaz_a_karak_nag_1
wh2_dlc09_special_settlement_karaz_a_karak_nag_ruin	wh2_dlc09_special_settlement_karaz_a_karak_nag_ruin
wh2_dlc09_special_settlement_khemri_nag_1	wh2_dlc09_special_settlement_khemri_nag_1
wh2_dlc09_special_settlement_khemri_nag_ruin	wh2_dlc09_special_settlement_khemri_nag_ruin
wh2_dlc09_special_settlement_kislev_nag_1	wh2_dlc09_special_settlement_kislev_nag_1
wh2_dlc09_special_settlement_kislev_nag_ruin	wh2_dlc09_special_settlement_kislev_nag_ruin
wh2_dlc09_special_settlement_konquata_nag_1	wh2_dlc09_special_settlement_konquata_nag_1
wh2_dlc09_special_settlement_konquata_nag_ruin	wh2_dlc09_special_settlement_konquata_nag_ruin
wh2_dlc09_special_settlement_lahmia_nag_1	wh2_dlc09_special_settlement_lahmia_nag_1
wh2_dlc09_special_settlement_lahmia_nag_ruin	wh2_dlc09_special_settlement_lahmia_nag_ruin
wh2_dlc09_special_settlement_lothern_nag_1	wh2_dlc09_special_settlement_lothern_nag_1
wh2_dlc09_special_settlement_lothern_nag_ruin	wh2_dlc09_special_settlement_lothern_nag_ruin
wh2_dlc09_special_settlement_miragliano_nag_1	wh2_dlc09_special_settlement_miragliano_nag_1
wh2_dlc09_special_settlement_miragliano_nag_ruin	wh2_dlc09_special_settlement_miragliano_nag_ruin
wh2_dlc09_special_settlement_naggarond_nag_1	wh2_dlc09_special_settlement_naggarond_nag_1
wh2_dlc09_special_settlement_naggarond_nag_ruin	wh2_dlc09_special_settlement_naggarond_nag_ruin
wh2_dlc09_special_settlement_pyramid_of_nagash_nag_1	wh2_dlc09_special_settlement_pyramid_of_nagash_nag_1
wh2_dlc09_special_settlement_pyramid_of_nagash_nag_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_nag_ruin
wh2_dlc15_special_settlement_massif_orcal_nag_1	wh2_dlc15_special_settlement_massif_orcal_nag_1
wh2_dlc15_special_settlement_massif_orcal_nag_ruin	wh2_dlc15_special_settlement_massif_orcal_nag_ruin
wh2_dlc15_special_settlement_tor_yvresse_nag_1	wh2_dlc15_special_settlement_tor_yvresse_nag_1
wh2_dlc15_special_settlement_tor_yvresse_nag_ruin	wh2_dlc15_special_settlement_tor_yvresse_nag_ruin
wh2_main_special_settlement_sartosa_nag_1	wh2_main_special_settlement_sartosa_nag_1
wh2_main_special_settlement_sartosa_nag_ruin	wh2_main_special_settlement_sartosa_nag_ruin
wh2_main_special_settlement_the_awakening_nag_1	wh2_main_special_settlement_the_awakening_nag_1
wh2_main_special_settlement_the_awakening_nag_ruin	wh2_main_special_settlement_the_awakening_nag_ruin
wh2_dlc11_special_settlement_galleons_graveyard_nag_1	wh2_dlc11_special_settlement_galleons_graveyard_nag_1
wh2_dlc11_special_settlement_galleons_graveyard_nag_ruin	wh2_dlc11_special_settlement_galleons_graveyard_nag_ruin
wh2_main_special_settlement_hellpit_nag_1	wh2_main_special_settlement_hellpit_nag_1
wh2_main_special_settlement_hellpit_nag_ruin	wh2_main_special_settlement_hellpit_nag_ruin
wh2_main_special_settlement_skavenblight_nag_1	wh2_main_special_settlement_skavenblight_nag_1
wh2_main_special_settlement_skavenblight_nag_ruin	wh2_main_special_settlement_skavenblight_nag_ruin
wh2_main_special_empire_fort_nag_1	wh2_main_special_empire_fort_nag_1
wh2_main_special_empire_fort_nag_ruins	wh2_main_special_empire_fort_nag_ruins
wh2_main_special_fortress_gate_eagle_nag_1	wh2_main_special_fortress_gate_eagle_nag_1
wh2_main_special_fortress_gate_eagle_nag_ruins	wh2_main_special_fortress_gate_eagle_nag_ruins
wh2_main_special_fortress_gate_griffon_nag_1	wh2_main_special_fortress_gate_griffon_nag_1
wh2_main_special_fortress_gate_griffon_nag_ruins	wh2_main_special_fortress_gate_griffon_nag_ruins
wh2_main_special_fortress_gate_phoenix_nag_1	wh2_main_special_fortress_gate_phoenix_nag_1
wh2_main_special_fortress_gate_phoenix_nag_ruins	wh2_main_special_fortress_gate_phoenix_nag_ruins
wh2_main_special_fortress_gate_unicorn_nag_1	wh2_main_special_fortress_gate_unicorn_nag_1
wh2_main_special_fortress_gate_unicorn_nag_ruins	wh2_main_special_fortress_gate_unicorn_nag_ruins
wh2_main_special_settlement_colony_major_nag_1	wh2_main_special_settlement_colony_major_nag_1
wh2_main_special_settlement_colony_major_nag_ruin	wh2_main_special_settlement_colony_major_nag_ruin
wh2_main_special_settlement_colony_minor_nag_1	wh2_main_special_settlement_colony_minor_nag_1
wh2_main_special_settlement_colony_minor_nag_ruin	wh2_main_special_settlement_colony_minor_nag_ruin
wh2_main_wef_oak_of_ages_nag_1	wh2_main_wef_oak_of_ages_nag_1
wh2_main_wef_oak_of_ages_nag_ruin	wh2_main_wef_oak_of_ages_nag_ruin
wh2_dlc14_special_copher_port_nag_1	wh2_dlc14_special_copher_port_nag_1
wh2_dlc14_special_copher_port_nag_ruin	wh2_dlc14_special_copher_port_nag_ruin
wh_main_brt_legendary_port_nag_1	wh_main_brt_legendary_port_nag_1
wh_main_brt_legendary_port_nag_ruin	wh_main_brt_legendary_port_nag_ruin
wh2_dlc14_special_dragon_isle_port_nag_1	wh2_dlc14_special_dragon_isle_port_nag_1
wh2_dlc14_special_dragon_isle_port_ruin_nag	wh2_dlc14_special_dragon_isle_port_ruin_nag
wh2_main_special_lothern_port_nag_1	wh2_main_special_lothern_port_nag_1
wh2_main_special_lothern_port_nag_ruin	wh2_main_special_lothern_port_nag_ruin
wh_main_special_erengrad_port_nag_1	wh_main_special_erengrad_port_nag_1
wh_main_special_erengrad_port_nag_ruin	wh_main_special_erengrad_port_nag_ruin
wh_main_special_marienburg_port_nag_1	wh_main_special_marienburg_port_nag_1
wh_main_special_marienburg_port_nag_ruin	wh_main_special_marienburg_port_nag_ruin
wh_twa03_special_albion_port_nag_1	wh_twa03_special_albion_port_nag_1
wh_twa03_special_albion_port_nag_ruin	wh_twa03_special_albion_port_nag_ruin
