from	to
#building_downgrade_junctions_tables;0;db/building_downgrade_junctions_tables/jvj_nagash_buildings_outpost	
nag_outpost_primary_main_ruin	nag_outpost_primary_main_ruin
nag_outpost_primary_main_1	nag_outpost_primary_main_1
nag_outpost_primary_main_2	nag_outpost_primary_main_2
nag_outpost_primary_main_3	nag_outpost_primary_main_3
nag_outpost_primary_main_4	nag_outpost_primary_main_4
nag_outpost_primary_main_5	nag_outpost_primary_main_5
nag_outpost_primary_main_coast_ruin	nag_outpost_primary_main_coast_ruin
nag_outpost_primary_main_coast_1	nag_outpost_primary_main_coast_1
nag_outpost_primary_main_coast_2	nag_outpost_primary_main_coast_2
nag_outpost_primary_main_coast_3	nag_outpost_primary_main_coast_3
nag_outpost_primary_main_coast_4	nag_outpost_primary_main_coast_4
nag_outpost_primary_main_coast_5	nag_outpost_primary_main_coast_5
nag_outpost_norsca_primary_main_ruin	nag_outpost_norsca_primary_main_ruin
nag_outpost_norsca_primary_main_1	nag_outpost_norsca_primary_main_1
nag_outpost_norsca_primary_main_2	nag_outpost_norsca_primary_main_2
nag_outpost_norsca_primary_main_3	nag_outpost_norsca_primary_main_3
nag_outpost_norsca_primary_main_4	nag_outpost_norsca_primary_main_4
nag_outpost_norsca_primary_main_5	nag_outpost_norsca_primary_main_5
nag_outpost_norsca_primary_main_coast_ruin	nag_outpost_norsca_primary_main_coast_ruin
nag_outpost_norsca_primary_main_coast_1	nag_outpost_norsca_primary_main_coast_1
nag_outpost_norsca_primary_main_coast_2	nag_outpost_norsca_primary_main_coast_2
nag_outpost_norsca_primary_main_coast_3	nag_outpost_norsca_primary_main_coast_3
nag_outpost_norsca_primary_main_coast_4	nag_outpost_norsca_primary_main_coast_4
nag_outpost_norsca_primary_main_coast_5	nag_outpost_norsca_primary_main_coast_5
nag_outpost_secondary_main_ruin	nag_outpost_secondary_main_ruin
nag_outpost_secondary_main_1	nag_outpost_secondary_main_1
nag_outpost_secondary_main_coast_ruin	nag_outpost_secondary_main_coast_ruin
nag_outpost_secondary_main_coast_1	nag_outpost_secondary_main_coast_1
nag_outpost_norsca_secondary_main_ruin	nag_outpost_norsca_secondary_main_ruin
nag_outpost_norsca_secondary_main_1	nag_outpost_norsca_secondary_main_1
nag_outpost_norsca_secondary_main_coast_1	nag_outpost_norsca_secondary_main_coast_1
nag_outpost_norsca_secondary_coast_main_ruin	nag_outpost_norsca_secondary_coast_main_ruin
nag_outpost_main_port_ruin	nag_outpost_main_port_ruin
nag_outpost_main_port_1	nag_outpost_main_port_1
nag_outpost_primary_main_altdorf_ruin	nag_outpost_primary_main_altdorf_ruin
nag_outpost_primary_main_altdorf_1	nag_outpost_primary_main_altdorf_1
nag_outpost_primary_main_altdorf_2	nag_outpost_primary_main_altdorf_2
nag_outpost_primary_main_altdorf_3	nag_outpost_primary_main_altdorf_3
nag_outpost_primary_main_altdorf_4	nag_outpost_primary_main_altdorf_4
nag_outpost_primary_main_altdorf_5	nag_outpost_primary_main_altdorf_5
nag_outpost_primary_main_athel_loren_ruin	nag_outpost_primary_main_athel_loren_ruin
nag_outpost_primary_main_athel_loren_1	nag_outpost_primary_main_athel_loren_1
nag_outpost_primary_main_athel_loren_2	nag_outpost_primary_main_athel_loren_2
nag_outpost_primary_main_athel_loren_3	nag_outpost_primary_main_athel_loren_3
nag_outpost_primary_main_athel_loren_4	nag_outpost_primary_main_athel_loren_4
nag_outpost_primary_main_athel_loren_5	nag_outpost_primary_main_athel_loren_5
nag_outpost_primary_main_black_crag_ruin	nag_outpost_primary_main_black_crag_ruin
