id	building_superchain	slot_template
#slot_template_to_building_superchain_junctions_tables;0;db/slot_template_to_building_superchain_junctions_tables/jvj_natasha_mains		
67010001	nag_sch_settlement_cavalry	wh2_dlc14_special_the_broken_teeth_nagashizar_secondary
67010002	nag_sch_settlement_chariots	wh2_dlc14_special_the_broken_teeth_nagashizar_secondary
67010003	nag_sch_settlement_citadel	wh2_dlc14_special_the_broken_teeth_nagashizar_secondary
67010004	nag_sch_settlement_defence_major	wh2_dlc14_special_the_broken_teeth_nagashizar_secondary
67010005	nag_sch_settlement_estate	wh2_dlc14_special_the_broken_teeth_nagashizar_secondary
67010006	nag_sch_settlement_growth	wh2_dlc14_special_the_broken_teeth_nagashizar_secondary
67010007	nag_sch_settlement_hierotitan	wh2_dlc14_special_the_broken_teeth_nagashizar_secondary
67010008	nag_sch_settlement_income	wh2_dlc14_special_the_broken_teeth_nagashizar_secondary
67010009	nag_sch_settlement_infantry	wh2_dlc14_special_the_broken_teeth_nagashizar_secondary
67010010	nag_sch_settlement_necrosphinx	wh2_dlc14_special_the_broken_teeth_nagashizar_secondary
67010011	nag_sch_settlement_scorpions	wh2_dlc14_special_the_broken_teeth_nagashizar_secondary
67010012	nag_sch_settlement_ushabti	wh2_dlc14_special_the_broken_teeth_nagashizar_secondary
67010013	nag_sch_settlement_warsphinx	wh2_dlc14_special_the_broken_teeth_nagashizar_secondary
67010015	nag_sch_settlement_cavalry	wh2_dlc15_special_morgheim_secondary
67010016	nag_sch_settlement_chariots	wh2_dlc15_special_morgheim_secondary
67010017	nag_sch_settlement_citadel	wh2_dlc15_special_morgheim_secondary
67010018	nag_sch_settlement_defence_major	wh2_dlc15_special_morgheim_secondary
67010019	nag_sch_settlement_estate	wh2_dlc15_special_morgheim_secondary
67010020	nag_sch_settlement_growth	wh2_dlc15_special_morgheim_secondary
67010021	nag_sch_settlement_hierotitan	wh2_dlc15_special_morgheim_secondary
67010022	nag_sch_settlement_income	wh2_dlc15_special_morgheim_secondary
67010023	nag_sch_settlement_infantry	wh2_dlc15_special_morgheim_secondary
67010024	nag_sch_settlement_necrosphinx	wh2_dlc15_special_morgheim_secondary
67010025	nag_sch_settlement_scorpions	wh2_dlc15_special_morgheim_secondary
67010026	nag_sch_settlement_ushabti	wh2_dlc15_special_morgheim_secondary
67010027	nag_sch_settlement_warsphinx	wh2_dlc15_special_morgheim_secondary
