id	building_superchain	slot_template
#slot_template_to_building_superchain_junctions_tables	0	db/slot_template_to_building_superchain_junctions_tables/jvj_natasha_resources
5601000	nag_outpost_primary_coast	wh_main_special_marienburg_secondary
5601001	nag_outpost_primary_coast	major_secondary_land_of_the_dervishes_sudenburg
5601002	nag_outpost_primary_coast	wh_main_special_bordeleux_secondary
5601003	nag_outpost_primary_coast	major_secondary_pastures_lyonesse_lyonesse
5601004	nag_outpost_primary_coast	wh_main_special_magritta_secondary
5601005	nag_outpost_primary_coast	wh_main_special_miragliano_secondary
5601006	nag_outpost_primary_coast	major_secondary_pottery_western_border_princes_myrmidens
5601007	nag_outpost_primary_coast	wh2_main_special_sartosa_secondary
5601008	nag_outpost_primary_coast	major_secondary_salt_coast_of_araby_al_haikk
5601009	nag_outpost_primary_coast	wh2_main_special_the_awakening_secondary
5601010	nag_outpost_primary_coast	wh2_main_special_galleons_graveyard_secondary
5601011	nag_outpost_primary_coast	minor_secondary_northern_jungle_of_pahualaxa_port_reaver
5601012	nag_outpost_primary_coast	minor_secondary_southern_jungle_of_pahualaxa_monument_of_the_moon
5601013	nag_outpost_primary_count	wh_main_special_castle_drakenhof_secondary
5601014	nag_outpost_primary_count	wh2_main_special_castle_drachenfels_secondary
5601015	nag_outpost_primary_count	major_secondary_wine_western_sylvania_castle_templehof
5601016	nag_outpost_primary_count	wh2_main_special_mousillon_secondary
5601017	nag_outpost_primary_count	major_secondary_averland_averheim
5601018	nag_outpost_primary_count	wh_main_special_pfeildorf_secondary
5601019	nag_outpost_primary_count	wh_main_special_nuln_secondary
5601020	nag_outpost_primary_count	major_secondary_wine_stirland_wurtbad
5601021	nag_outpost_primary_count	major_secondary_pottery_ostermark_bechafen
5601022	nag_outpost_primary_count	wh_main_special_talabheim_secondary
5601023	nag_outpost_primary_count	wh_main_special_altdorf_secondary
5601024	nag_outpost_primary_count	wh_main_special_middenheim_secondary
5601025	nag_outpost_primary_count	wh2_main_special_salzenmund_secondary
5601026	nag_outpost_primary_count	major_secondary_timber_hochland_hergig
5601027	nag_outpost_primary_count	major_secondary_gold_ostland_wolfenburg
5601028	nag_outpost_primary_count	wh_main_special_kislev_secondary
5601029	nag_outpost_primary_count	wh_main_special_erengrad_secondary
5601030	nag_outpost_primary_count	major_secondary_northern_oblast_fort_ostrosk
5601031	nag_outpost_primary_count	major_secondary_pastures_eastern_border_princes_akendorf
5601032	nag_outpost_primary_count	wh_main_special_carcassonne_secondary
5601033	nag_outpost_primary_count	wh2_main_special_parravon_secondary
5601034	nag_outpost_primary_count	major_secondary_bastonne_et_montfort_castle_bastonne
5601035	nag_outpost_primary_count	major_secondary_timber_forest_of_arden_castle_artois
5601036	nag_outpost_primary_count	wh_main_special_couronne_secondary
5601037	nag_outpost_primary_nagashizzar	wh2_dlc09_special_black_tower_of_arkhan_secondary
5601038	nag_outpost_primary_nagashizzar	wh2_main_special_pyramid_of_nagash_secondary
5601039	nag_outpost_primary_nagashizzar	wh2_dlc15_special_morgheim_secondary
5601040	nag_outpost_primary_nagashizzar	major_secondary_northern_dark_lands_silver_pinnacle
5601041	nag_outpost_primary_nagashizzar	minor_secondary_the_broken_teeth_desolation_of_nagash
5601042	nag_outpost_primary_nagashizzar	major_secondary_the_plain_of_bones_the_fortress_of_vorag
5601043	nag_outpost_primary_nagashizzar	minor_secondary_marble_ash_river_springs_of_eternal_life
5601044	nag_outpost_primary_nehek	major_secondary_land_of_assassins_palace_of_the_wizard_caliph
5601045	nag_outpost_primary_nehek	wh2_main_special_khemri_secondary
5601046	nag_outpost_primary_nehek	wh2_dlc09_special_ka_sabar_secondary
5601047	nag_outpost_primary_nehek	wh2_dlc09_special_numas_secondary
5601048	nag_outpost_primary_nehek	major_secondary_crater_of_the_walking_dead_rasetra
5601049	nag_outpost_primary_nehek	wh2_main_special_lahmia_secondary
5601050	nag_outpost_primary_warpstone	wh2_dlc14_special_the_broken_teeth_nagashizar_secondary
5601051	nag_outpost_primary_warpstone	wh2_main_special_mordheim_secondary
5601052	nag_outpost_primary_warpstone	wh2_main_special_skavenblight_secondary
5601053	nag_outpost_primary_warpstone	wh2_main_special_hellpit_secondary
5601054	nag_outpost_primary_warpstone	wh2_main_special_altar_of_ultimate_darkness_secondary
5601055	nag_outpost_primary_warpstone	major_norsca_southern_dark_lands_desolation_of_drakenmoor
5601056	nag_outpost_primary_warpstone	wh2_dlc14_special_the_wolf_lands_crookback_mountain_secondary
5601057	nag_outpost_primary_warpstone	wh2_dlc14_special_gnoblar_country_flayed_rock_secondary
5601058	nag_outpost_primary_warpstone	wh2_main_special_quintex_secondary
5601059	nag_outpost_primary_warpstone	major_secondary_iron_the_clawed_coast_hoteks_column
5601060	nag_outpost_primary_warpstone	major_secondary_deadwood_the_frozen_city
5601061	nag_outpost_primary_warpstone	wh2_main_special_karak_zorn_secondary
5601062	nag_outpost_primary_warpstone	wh_main_special_karak_azul_secondary
5601063	nag_outpost_primary_warpstone	wh_main_special_karaz_a_karak_secondary
5601064	nag_outpost_primary_warpstone	wh2_main_special_karak_izor_secondary
5601065	nag_outpost_primary_warpstone	wh2_main_special_kraka_drak_secondary
