id	building_superchain	slot_template
#slot_template_to_building_superchain_junctions_tables;0;db/slot_template_to_building_superchain_junctions_tables/jvj_natasha_horde		
540101	nag_bpyramid_main	nag_bp_horde_primary
540102	nag_bpyramid_main_obelisk	nag_bp_horde_secondary
540103	nag_bpyramid_ew1_barracks	nag_bp_horde_secondary
540104	nag_bpyramid_ww1_stables	nag_bp_horde_secondary
540105	nag_bpyramid_ew2_mortuary	nag_bp_horde_secondary
540106	nag_bpyramid_ww2_warmachines	nag_bp_horde_secondary
540107	nag_bpyramid_ew3_growth	nag_bp_horde_secondary
540108	nag_bpyramid_ww3_industry	nag_bp_horde_secondary
540109	nag_bpyramid_ew4_other	nag_bp_horde_secondary
540110	nag_bpyramid_ww4_extra	nag_bp_horde_secondary
540111	nag_bpyramid_hidden	nag_bp_horde_secondary
540116	nag_arkhan_horde_special	nag_arkhan_horde_primary
540117	nag_vlad_horde_special	nag_vlad_horde_primary
540118	nag_neffy_horde_special	nag_neferata_horde_primary
540119	nag_manny_horde_special	nag_mannfred_horde_primary
540120	nag_krell_horde_special	nag_krell_horde_primary
540121	nag_luthor_horde_special	nag_harkon_horde_primary
540122	nag_arkhan_horde_landmark	nag_horde_secondary
540123	nag_vlad_horde_landmark	nag_horde_secondary
540124	nag_neffy_horde_landmark	nag_horde_secondary
540125	nag_manny_horde_landmark	nag_horde_secondary
540126	nag_krell_horde_landmark	nag_horde_secondary
540127	nag_luthor_horde_landmark	nag_horde_secondary
540128	nag_horde_military1_barracks	nag_horde_secondary
540129	nag_horde_military2_stables	nag_horde_secondary
540130	nag_horde_military3_warmachines	nag_horde_secondary
540131	nag_horde_military4_monsters	nag_horde_secondary
540132	nag_horde_support1_smith	nag_horde_secondary
540133	nag_horde_support2_worship	nag_horde_secondary
540134	nag_horde_support3_wizards	nag_horde_secondary
540135	nag_horde_support4_other	nag_horde_secondary
540136	nag_horde_support5_extra	nag_horde_secondary
540137	nag_horde_infrastructure1_growth	nag_horde_secondary
540138	nag_horde_infrastructure2_industry	nag_horde_secondary
540139	nag_horde_infrastructure3_energy	nag_horde_secondary
540140	nag_horde_infrastructure4_other	nag_horde_secondary
540141	nag_nagash_horde_special	nag_husk_horde_primary
540142	nag_nagash_horde_landmark	nag_subhorde_secondary
540143	nag_subhorde_main	nag_subhorde_primary
540144	nag_subhorde_military0_guard	nag_subhorde_secondary
540145	nag_subhorde_military1_barracks	nag_subhorde_secondary
540146	nag_subhorde_military2_stables	nag_subhorde_secondary
540147	nag_subhorde_military3_warmachines	nag_subhorde_secondary
540148	nag_subhorde_military4_monsters	nag_subhorde_secondary
540149	nag_subhorde_support1_smith	nag_subhorde_secondary
540150	nag_subhorde_support2_worship	nag_subhorde_secondary
540151	nag_subhorde_infrastructure1_growth	nag_subhorde_secondary
540152	nag_subhorde_infrastructure2_industry	nag_subhorde_secondary
