units_custom_battle_permissions_tables	8
faction	general_unit	unit	siege_unit_attacker	siege_unit_defender	general_portrait	general_uniform	set_piece_character	campaign_exclusive
nag_nagash	true	nag_nagash_boss	true	true	ui/portraits/portholes/no_culture/nag_nagash_boss.png			false
nag_nagash	true	nag_nagash_husk	true	true	ui/portraits/portholes/no_culture/nag_nagash_husk.png		nag_nagash_husk	false
nag_nagash	true	nag_mortarch_neferata	true	true	ui/portraits/portholes/no_culture/nag_mortarch_neferata.png		nag_mortarch_neferata	false
nag_nagash	true	nag_mortarch_neferata_warhorse	true	true	ui/portraits/portholes/no_culture/nag_mortarch_neferata.png		nag_mortarch_neferata_warhorse	false
nag_nagash	true	nag_mortarch_neferata_abyssal	true	true	ui/portraits/portholes/no_culture/nag_mortarch_neferata.png		nag_mortarch_neferata_abyssal	false
nag_nagash	true	nag_mortarch_krell	true	true	ui/portraits/portholes/no_culture/nag_mortarch_krell.png		nag_mortarch_krell	false
nag_nagash	true	nag_mortarch_arkhan	true	true	ui/portraits/portholes/no_culture/nag_mortarch_arkhan.png		nag_mortarch_arkhan	false
nag_nagash	true	nag_mortarch_arkhan_warhorse	true	true	ui/portraits/portholes/no_culture/nag_mortarch_arkhan.png		nag_mortarch_arkhan_warhorse	false
nag_nagash	true	nag_mortarch_arkhan_chariot	true	true	ui/portraits/portholes/no_culture/nag_mortarch_arkhan.png		nag_mortarch_arkhan_chariot	false
nag_nagash	true	nag_mortarch_arkhan_abyssal	true	true	ui/portraits/portholes/no_culture/nag_mortarch_arkhan.png		nag_mortarch_arkhan_abyssal	false
nag_nagash	true	nag_mortarch_vlad	true	true	ui/portraits/portholes/no_culture/nag_mortarch_vlad.png		nag_mortarch_vlad	false
nag_nagash	true	nag_mortarch_mannfred	true	true	ui/portraits/portholes/no_culture/nag_mortarch_mannfred.png		nag_mortarch_mannfred	false
nag_nagash	true	nag_mortarch_mannfred_warhorse	true	true	ui/portraits/portholes/no_culture/nag_mortarch_mannfred.png		nag_mortarch_mannfred_warhorse	false
