phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/rhox_nagash			
wh2_dlc17_lord_passive_aura_of_dark_majesty_upgrade	stat_melee_attack	-6.0000	add
wh2_dlc17_lord_passive_aura_of_dark_majesty_upgrade	stat_morale	-4.0000	add
wh2_dlc17_lord_passive_aura_of_dark_majesty_upgrade	stat_accuracy	0.7500	mult
wh_dlc04_lord_passive_aura_of_dark_majesty	stat_melee_attack	-6.0000	add
wh_dlc04_lord_passive_aura_of_dark_majesty	stat_morale	-4.0000	add
nag_neferata_abilities_mortarch_of_blood_death_01	stat_armour	-60.0000	add
nag_neferata_abilities_mortarch_of_blood_death_01	stat_melee_defence	-30.0000	add
nag_neferata_item_passive_staff_of_pain	scalar_speed	0.7500	mult
nag_neferata_item_passive_staff_of_pain	stat_melee_defence	-8.0000	add
nag_unit_contact_screaming_blade	scalar_missile_damage_ap	0.8500	mult
nag_unit_contact_screaming_blade	scalar_missile_damage_base	0.8500	mult
nag_unit_contact_screaming_blade	scalar_speed	0.8500	mult
nag_unit_contact_screaming_blade	stat_melee_damage_ap	0.8500	mult
nag_unit_contact_screaming_blade	stat_melee_damage_base	0.8500	mult
nag_army_abilities_batocalypse_02	stat_morale	-5.0000	add
nag_army_abilities_batocalypse_02	scalar_speed	0.8000	mult
nag_army_abilities_batocalypse_02	stat_melee_attack	0.2000	mult
nag_army_abilities_batocalypse_02	scalar_missile_range	0.2000	mult
nag_nagash_abilities_morikhane_black_armour	scalar_speed	0.5000	mult
nag_nagash_abilities_morikhane_black_armour	stat_resistance_all	50.0000	add
nag_nagash_abilities_morikhane_black_armour	stat_damage_reflection	28.0000	add
nag_nagash_passive_eternal_danse_macabre	scalar_speed	1.2500	mult
nag_nagash_passive_eternal_danse_macabre	stat_melee_attack	6.0000	add
nag_nagash_passive_malediction_of_nagash	stat_melee_damage_ap	0.7500	mult
nag_nagash_passive_malediction_of_nagash	stat_melee_damage_base	0.7500	mult
nag_nagash_abilities_mortis_blade	stat_melee_damage_ap	1.6000	mult
nag_nagash_abilities_mortis_blade	stat_melee_damage_base	1.6000	mult
nag_nagash_abilities_staff_of_power	scalar_speed	0.8000	mult
nag_nagash_abilities_staff_of_power	scalar_miscast_chance	1.5000	mult
nag_unit_abilities_heralds_of_the_accursed_one	stat_melee_attack	5.0000	add
nag_unit_abilities_heralds_of_the_accursed_one	stat_resistance_physical	5.0000	add
nag_unit_passive_torment	stat_melee_damage_ap	1.2800	mult
nag_unit_passive_torment	stat_melee_damage_base	1.2800	mult
nag_unit_passive_marshlight_aura_1	scalar_speed	0.5000	mult
nag_unit_passive_marshlight_aura_2	scalar_speed	0.5000	mult
nag_unit_passive_marshlight_aura_2	stat_melee_damage_base	0.5000	mult
nag_unit_passive_marshlight_aura_2	stat_melee_attack	-8.0000	add
nag_unit_passive_marshlight_aura_2	stat_melee_defence	-8.0000	add
nag_warp_ghouls_poison	stat_reloading	-20.0000	add
nag_warp_ghouls_poison	scalar_speed	0.8500	mult
nag_warp_ghouls_poison	stat_melee_damage_ap	0.8500	mult
nag_warp_ghouls_poison	stat_melee_damage_base	0.8500	mult
nag_warp_ghouls_poison	stat_melee_attack	-8.0000	add
nag_warp_ghouls_aura	stat_resistance_magic	20.0000	add
nag_warp_ghouls_aura	stat_melee_attack	6.0000	add
nag_warp_ghouls_aura_skaven	stat_melee_attack	6.0000	add
nag_warp_ghouls_aura_skaven	stat_melee_defence	-6.0000	add
wh_main_spell_nagash_breath_of_darkness	scalar_speed	1.2500	mult
wh_main_spell_nagash_breath_of_darkness_upgraded	scalar_speed	1.2500	mult
nag_unit_passive_grasping_hands	scalar_speed	0.7000	mult
nag_unit_abilities_malevolent_assault	scalar_speed	1.2500	mult
nag_unit_abilities_malevolent_assault	stat_melee_damage_ap	1.1500	mult
nag_unit_abilities_malevolent_assault	stat_melee_attack	8.0000	add
nag_unit_abilities_malevolent_assault	stat_charge_bonus	30.0000	add
nag_unit_passive_heavy_with_death	scalar_speed	1.2500	mult
nag_unit_passive_heavy_with_death	stat_resistance_magic	20.0000	add
nag_unit_passive_heavy_with_death	stat_weakness_flame	-80.0000	add
nag_unit_passive_heavy_with_death	stat_melee_defence	6.0000	add
nag_contact_slownado	scalar_speed	0.5000	mult
nag_contact_slownado	stat_melee_defence	-8.0000	add
nag_azhag_abilities_reckless_whispers_i	stat_resistance_all	40.0000	add
nag_azhag_abilities_reckless_whispers_ii	stat_melee_attack	8.0000	add
nag_azhag_abilities_reckless_whispers_ii	stat_melee_damage_ap	1.4000	mult
nag_azhag_abilities_reckless_whispers_ii	stat_melee_damage_base	1.4000	mult
nag_azhag_abilities_reckless_whispers_iii	scalar_speed	1.5000	mult
nag_azhag_abilities_reckless_whispers_iii	stat_charge_bonus	32.0000	add
nag_azhag_abilities_reckless_whispers_iv	scalar_spell_mastery	1.5000	mult
nag_nagash_abilities_master_arcane_conduit	scalar_spell_mastery	1.2000	mult
nag_nagash_abilities_crown_of_sorcery	scalar_spell_mastery	1.3000	mult
nag_unit_passive_dread_prowess	stat_morale	12.0000	add
nag_unit_passive_dread_prowess	stat_melee_defence	4.0000	add
nag_unit_passive_doom_of_nagashizzar	stat_melee_damage_ap	1.3500	mult
nag_unit_passive_doom_of_nagashizzar	stat_melee_damage_base	1.3500	mult
nag_kalledria_solo_performance	stat_melee_defence	24.0000	add
nag_kalledria_solo_performance	stat_morale	16.0000	add
