attrition_record	bonus_value_id	effect
#effect_bonus_value_attrition_record_junctions_tables;0;db/effect_bonus_value_attrition_record_junctions_tables/nagash		
athel_loren	immunity	nag_effect_landmark_krell_attrition_immunity
awakened_forest	immunity	nag_effect_landmark_krell_attrition_immunity
besieged	immunity	nag_effect_landmark_krell_attrition_immunity
besieging	immunity	nag_effect_landmark_krell_attrition_immunity
blockaded	immunity	nag_effect_landmark_krell_attrition_immunity
blockading	immunity	nag_effect_landmark_krell_attrition_immunity
chaos_territory	immunity	nag_effect_landmark_krell_attrition_immunity
chaos_wastes	immunity	nag_effect_landmark_krell_attrition_immunity
deep_sea	immunity	nag_effect_landmark_krell_attrition_immunity
desert	immunity	nag_effect_landmark_krell_attrition_immunity
disease	immunity	nag_effect_landmark_krell_attrition_immunity
event_attrition	immunity	nag_effect_landmark_krell_attrition_immunity
hostile_territory	immunity	nag_effect_landmark_krell_attrition_immunity
low_morale	immunity	nag_effect_landmark_krell_attrition_immunity
maelstrom	immunity	nag_effect_landmark_krell_attrition_immunity
mist	immunity	nag_effect_landmark_krell_attrition_immunity
mountain	immunity	nag_effect_landmark_krell_attrition_immunity
non_vampire_territory	immunity	nag_effect_landmark_krell_attrition_immunity
nurgle_plague	immunity	nag_effect_landmark_krell_attrition_immunity
reef	immunity	nag_effect_landmark_krell_attrition_immunity
sabotage	immunity	nag_effect_landmark_krell_attrition_immunity
snow	immunity	nag_effect_landmark_krell_attrition_immunity
storm_level_1	immunity	nag_effect_landmark_krell_attrition_immunity
storm_level_2	immunity	nag_effect_landmark_krell_attrition_immunity
storm_level_3	immunity	nag_effect_landmark_krell_attrition_immunity
storm_level_4	immunity	nag_effect_landmark_krell_attrition_immunity
storm_level_5	immunity	nag_effect_landmark_krell_attrition_immunity
storm_sandstorm	immunity	nag_effect_landmark_krell_attrition_immunity
swamp	immunity	nag_effect_landmark_krell_attrition_immunity
vampire_territory	immunity	nag_effect_landmark_krell_attrition_immunity
very_low_morale	immunity	nag_effect_landmark_krell_attrition_immunity
wasteland	immunity	nag_effect_landmark_krell_attrition_immunity
