character_skills_to_quest_ancillaries_tables	1
ancillary	skill	use_quest_for_prefix
nag_anc_armour_morikhane_the_black_armour	nag_skill_unique_nagash_morikhane	false
nag_anc_weapon_the_mortis_balde	nag_skill_unique_nagash_mortis	false
nag_anc_talisman_nine_books_of_nagash	nag_skill_unique_nagash_nine_books	false
nag_anc_arcane_item_alakanash_staff_of_power	nag_skill_unique_nagash_alakanash	false
nag_anc_enchanted_item_crown_of_nagash	nag_skill_unique_nagash_crown	false
nag_anc_arcane_item_staff_of_nagash	nag_skill_unique_arkhan_staff_of_nagash	false
nag_anc_weapon_the_tomb_blade_of_arkhan	nag_skill_unique_arkhan_the_tomb_blade_of_arkhan	false
nag_anc_weapon_blood_drinker	nag_skill_unique_vlad_blood_drinker	false
nag_anc_talisman_the_carstein_ring	nag_skill_unique_vlad_the_carstein_ring	false
nag_anc_enchanted_item_slann_gold	nag_skill_unique_luthor_slann_gold	false
nag_anc_weapon_dagger_of_jet	nag_skill_unique_neferatal_dagger_of_jet	false
nag_anc_arcane_item_staff_of_pain	nag_skill_unique_neferatal_staff_of_pain	false
nag_anc_armour_armour_of_the_barrows	nag_skill_unique_krell_armour_of_the_barrows	false
nag_anc_weapon_black_axe_of_krell	nag_skill_unique_krell_black_axe_of_krell	false
nag_anc_weapon_chaos_tomb_blade	nag_skill_unique_krell_chaos_tomb_blade	false
nag_anc_armour_armour_of_templehof	nag_skill_unique_mannfred_armour_of_templehof	false
nag_anc_weapon_sword_of_unholy_power	nag_skill_unique_mannfred_sword_of_unholy_power	false
nag_anc_enchanted_item_blood_chalice_of_bathori	nag_skill_unique_isabella_blood_chalice_of_bathori	false
