ancillary	skill	use_quest_for_prefix
#character_skills_to_quest_ancillaries_tables;1;db/character_skills_to_quest_ancillaries_tables/rhox_nagash		
nag_anc_armour_morikhane_the_black_armour	nag_skill_unique_nagash_morikhane	true
nag_anc_weapon_the_mortis_blade	nag_skill_unique_nagash_mortis	true
nag_anc_arcane_item_alakanash_staff_of_power	nag_skill_unique_nagash_alakanash	true
nag_anc_talisman_books_of_nagash_book_one	nag_skill_unique_nagash_book_one	true
nag_anc_talisman_books_of_nagash_book_two	nag_skill_unique_nagash_book_two	true
nag_anc_talisman_books_of_nagash_book_three	nag_skill_unique_nagash_book_three	true
nag_anc_talisman_books_of_nagash_book_four	nag_skill_unique_nagash_book_four	true
nag_anc_talisman_books_of_nagash_book_five	nag_skill_unique_nagash_book_five	true
nag_anc_talisman_books_of_nagash_book_six	nag_skill_unique_nagash_book_six	true
nag_anc_talisman_books_of_nagash_book_seven	nag_skill_unique_nagash_book_seven	true
nag_anc_talisman_books_of_nagash_book_eight	nag_skill_unique_nagash_book_eight	true
nag_anc_talisman_books_of_nagash_book_nine	nag_skill_unique_nagash_book_nine	true
nag_anc_husk_talisman_books_of_nagash_book_two	nag_skill_unique_nagash_husk_book_two	true
nag_anc_husk_talisman_books_of_nagash_book_three	nag_skill_unique_nagash_husk_book_three	true
nag_anc_husk_talisman_books_of_nagash_book_eight	nag_skill_unique_nagash_husk_book_eight	true
nag_anc_arcane_item_staff_of_nagash	nag_skill_unique_arkhan_staff_of_nagash	true
nag_anc_weapon_the_tomb_blade_of_arkhan	nag_skill_unique_arkhan_the_tomb_blade_of_arkhan	true
nag_anc_weapon_blood_drinker	nag_skill_unique_vlad_blood_drinker	true
nag_anc_talisman_the_carstein_ring	nag_skill_unique_vlad_the_carstein_ring	true
nag_anc_enchanted_item_slann_gold	nag_skill_unique_luthor_slann_gold	true
nag_anc_weapon_dagger_of_jet	nag_skill_unique_neferatal_dagger_of_jet	true
nag_anc_arcane_item_staff_of_pain	nag_skill_unique_neferatal_staff_of_pain	true
nag_anc_armour_armour_of_the_barrows	nag_skill_unique_krell_armour_of_the_barrows	true
nag_anc_weapon_black_axe_of_krell	nag_skill_unique_krell_black_axe_of_krell	true
nag_anc_weapon_chaos_tomb_blade	nag_skill_unique_krell_chaos_tomb_blade	true
nag_anc_armour_armour_of_templehof	nag_skill_unique_mannfred_armour_of_templehof	true
nag_anc_weapon_sword_of_unholy_power	nag_skill_unique_mannfred_sword_of_unholy_power	true
nag_anc_enchanted_item_blood_chalice_of_bathori	nag_skill_unique_isabella_blood_chalice_of_bathori	true
mixu_vmp_dieter_helsnicht_weapon_chaos_runesword	nag_skill_vmp_dieter_helsnicht_item_01	true
mixu_vmp_dieter_helsnicht_arcane_item_staff_of_flaming_death	nag_skill_vmp_dieter_helsnicht_item_02	true
nag_anc_armour_azhags_ard_armour	nag_skill_azhag_anc_armour_azhags_ard_armour	true
nag_anc_enchanted_item_the_crown_of_sorcery	nag_skill_azhag_anc_enchanted_item_the_crown_of_sorcery	true
nag_anc_weapon_slaggas_slashas	nag_skill_azhag_anc_weapon_slaggas_slashas	true
