unit	faction_override	character_level
#campaign_mercenary_unit_character_level_restrictions_tables;1;db/campaign_mercenary_unit_character_level_restrictions_tables/rhox_nagash		
nag_bone_colossus	mixer_nag_nagash	22
gp_nag_virion_plague_cart	mixer_nag_nagash	12
nag_revenants	mixer_nag_nagash	8
nag_shade_haunts	mixer_nag_nagash	5
nag_doomed_legion	mixer_nag_nagash	0
nag_blood_beasts	mixer_nag_nagash	18
nag_thrall_crossbowmen	mixer_nag_nagash	0
nag_thrall_handgunners	mixer_nag_nagash	0
burning_dead_ror	mixer_nag_nagash	14
