technology	effect	effect_scope	value
#technology_effects_junction_tables;0;db/technology_effects_junction_tables/rhox_nagash_dieter			
nag_dieter_battle_1	nag_effect_battle_barrier_health_add_moghast	faction_to_force_own_unseen	600.0000
nag_dieter_battle_1	wh_main_effect_character_stat_fire_resistance	faction_to_character_own	15.0000
nag_dieter_battle_2	nag_effect_healing_cap_zombies	faction_to_force_own_unseen	10.0000
nag_dieter_battle_2	wh3_dlc20_effect_healing_cap_modifier	faction_to_character_own	20.0000
nag_dieter_battle_2	wh_main_effect_character_stat_unit_health	faction_to_character_own	10.0000
nag_dieter_battle_3	nag_effect_phys_resistance_monstrous_infantry	faction_to_force_own_unseen	10.0000
nag_dieter_battle_3	nag_effect_phys_resistance_monstrous_infantry_hidden	faction_to_force_own_unseen	10.0000
nag_dieter_battle_3	nag_effect_fire_resistance_ghouls_horrors	faction_to_force_own_unseen	20.0000
nag_dieter_battle_3	nag_effect_ability_enable_frenzy_ghouls	faction_to_force_own_unseen	1.0000
nag_dieter_battle_3	nag_effect_ability_enable_blood_frenzy_horrors	faction_to_force_own_unseen	1.0000
nag_mortarch_dieter_unlock	wh2_dlc09_effect_increase_army_capacity	faction_to_faction_own_unseen	1.0000
nag_mortarch_dieter_unlock	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	-15.0000
nag_dieter_proclamation	nag_effect_agent_recruitment_xp_general_master_necromancer	faction_to_province_own_unseen	3.0000
nag_dieter_proclamation	nag_effect_agent_recruitment_xp_general_master_necromancer_hidden	faction_to_force_own_unseen	3.0000
nag_dieter_proclamation	nag_effect_ability_uses_raise_dead_zombie	faction_to_character_own_unseen	1.0000
nag_dieter_proclamation	nag_effect_ability_uses_raise_dead_reapers	faction_to_character_own_unseen	1.0000
nag_dieter_proclamation	nag_effect_ability_uses_raise_dead_crypt_ghoul	faction_to_character_own_unseen	1.0000
nag_dieter_proclamation	nag_effect_ability_uses_raise_dead_cairn_wraiths	faction_to_character_own_unseen	1.0000
nag_dieter_proclamation	nag_effect_ability_uses_raise_dead_fell_bats	faction_to_character_own_unseen	1.0000
nag_dieter_proclamation	nag_effect_ability_uses_raise_dead_corpse_cart_balefire	faction_to_character_own_unseen	1.0000
nag_dieter_proclamation	nag_effect_ability_uses_raise_dead_corpse_cart_lodestone	faction_to_character_own_unseen	1.0000
nag_dieter_archai	nag_effect_agent_cap_increase_archai	faction_to_faction_own_unseen	1.0000
nag_mortarch_dieter_event_1	nag_effect_character_stat_fire_resistance_dieter	faction_to_character_own_unseen	10.0000
nag_mortarch_dieter_event_1	nag_effect_character_stat_magic_resistance_dieter	faction_to_character_own_unseen	10.0000
nag_mortarch_dieter_event_1	nag_effect_character_stat_missile_resistance_dieter	faction_to_character_own_unseen	10.0000
nag_mortarch_dieter_event_1	nag_effect_character_stat_physical_resistance_dieter	faction_to_character_own_unseen	10.0000
nag_mortarch_dieter_event_1	nag_effect_character_stat_ward_save_dieter	faction_to_character_own_unseen	10.0000
nag_mortarch_dieter_event_2	wh_main_effect_force_all_campaign_post_battle_loot_mod	faction_to_character_own_unseen	15.0000
nag_mortarch_dieter_event_3	nag_effect_unit_enable_spell_mastery_nag_spell_caster_lords	faction_to_force_own_unseen	1.0000
nag_mortarch_dieter_event_3	nag_effect_unit_enable_spell_mastery_nag_vampire_heroes	faction_to_force_own_unseen	1.0000
nag_mortarch_dieter_event_3	nag_effect_unit_enable_spell_mastery_nag_liche_priests	faction_to_force_own_unseen	1.0000
nag_mortarch_dieter_event_3	nag_effect_ability_uses_staff_of_flaming_death	faction_to_character_own_unseen	1.0000
nag_mortarch_dieter_unlock	nag_dieter_unlock	faction_to_faction_own_unseen	1.0000
nag_mortarch_dieter_unlock	wh_main_effect_force_army_campaign_recruitment_points	faction_to_faction_own_unseen	1.0000
nag_dieter_archai	nag_archai_spawn_effect_dummy	faction_to_faction_own_unseen	1.0000
