technology	effect	effect_scope	value
#technology_effects_junction_tables;0;db/technology_effects_junction_tables/rhox_nagash_kalledria			
rhox_nagash_kalledria_hex_upgrade_1	rhox_nagash_kalledria_hex_upgrade_1	faction_to_faction_own_unseen	1.0000
rhox_nagash_kalledria_hex_upgrade_2	rhox_nagash_kalledria_hex_upgrade_2	faction_to_faction_own_unseen	1.0000
rhox_nagash_kalledria_hex_upgrade_3	rhox_nagash_kalledria_hex_upgrade_3	faction_to_faction_own_unseen	1.0000
rhox_nagash_kalledria_hex_upgrade_4	rhox_nagash_kalledria_hex_upgrade_4	faction_to_faction_own_unseen	1.0000
rhox_nagash_kalledria_hex_upgrade_5	rhox_nagash_kalledria_hex_upgrade_5	faction_to_faction_own_unseen	1.0000
nag_mortarch_kalledria_unlock	wh2_dlc09_effect_increase_army_capacity	faction_to_faction_own_unseen	1.0000
nag_mortarch_kalledria_unlock	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	-15.0000
nag_mortarch_kalledria_unlock	nag_kalledria_unlock	faction_to_faction_own_unseen	1.0000
nag_mortarch_kalledria_unlock	wh_main_effect_force_army_campaign_recruitment_points	faction_to_faction_own_unseen	1.0000
nag_kalledria_archai	nag_archai_spawn_effect_dummy	faction_to_faction_own_unseen	1.0000
nag_kalledria_archai	nag_effect_agent_cap_increase_archai	faction_to_faction_own_unseen	1.0000
nag_kalledria_proclamation	wh_main_effect_economy_gdp_mod_subsistence	faction_to_region_own_unseen	30.0000
nag_mortarch_kalledria_event_1	nag_effect_force_replenishment_rate_ethereal	faction_to_force_own	10.0000
nag_mortarch_kalledria_event_2	wh3_main_effect_force_all_campaign_movement_range_post_battle_win	faction_to_character_own	10.0000
nag_mortarch_kalledria_event_3	wh3_main_effect_winds_of_magic_technology	faction_to_force_own	3.0000
nag_kalledria_battle_1	wh_main_effect_force_stat_leadership	faction_to_force_own	3.0000
nag_kalledria_battle_2	wh_main_effect_character_stat_leadership_aura_size	faction_to_character_own	50.0000
nag_kalledria_battle_3	nag_effect_force_stat_melee_defence_ethereal	faction_to_force_own	5.0000
