technology	effect	effect_scope	value
#technology_effects_junction_tables;0;db/technology_effects_junction_tables/rhox_nagash			
nag_arkhan_battle_1	nag_force_stat_armour_nehekhara_warriors_chariots	faction_to_force_own_unseen	10.0000
nag_arkhan_battle_1	nag_effect_force_stat_weapon_strength_nehekhara_warriors_chariots	faction_to_force_own_unseen	10.0000
nag_arkhan_battle_2	nag_effect_force_stat_charge_bonus_nehekhara_warriors_chariots	faction_to_force_own_unseen	8.0000
nag_arkhan_battle_2	nag_effect_force_stat_melee_attack_nehekhara_warriors_chariots	faction_to_force_own_unseen	5.0000
nag_arkhan_battle_2	nag_effect_force_stat_melee_defence_nehekhara_warriors_chariots	faction_to_force_own_unseen	5.0000
nag_arkhan_battle_3	wh_main_faction_xp_increase_generals	faction_to_province_own_unseen	3.0000
nag_arkhan_battle_3	wh_main_faction_xp_increase_generals_hidden	faction_to_force_own_unseen	3.0000
nag_arkhan_battle_3	nag_effect_army_construct_melee_defence_skill	faction_to_force_own_unseen	10.0000
nag_luthor_battle_1	nag_effect_army_ranged_ammo_skill	faction_to_force_own_unseen	15.0000
nag_luthor_battle_1	wh_main_effect_force_stat_range	faction_to_force_own_unseen	10.0000
nag_luthor_battle_2	wh2_main_effect_force_army_campaign_attrition_all_sea_resistance	faction_to_force_own_unseen	-25.0000
nag_luthor_battle_2	wh2_main_effect_character_stat_melee_attack_at_sea	faction_to_force_own	8.0000
nag_luthor_battle_2	wh_main_effect_agent_movement_range_mod	faction_to_character_own_unseen	10.0000
nag_luthor_battle_3	nag_effect_self_luthor_missile_strength_gunnery_carronade	faction_to_force_own_unseen	15.0000
nag_luthor_battle_3	wh_main_effect_character_stat_magic_resistance	faction_to_character_own	15.0000
nag_mannfred_battle_1	wh_main_effect_character_mod_ancillary_drop	faction_to_character_own_unseen	15.0000
nag_mannfred_battle_2	nag_effect_force_stat_movement_speed_zombies	faction_to_force_own_unseen	15.0000
nag_mannfred_battle_2	nag_effect_force_stat_melee_defence_zombies_skeletons	faction_to_force_own_unseen	4.0000
nag_mannfred_battle_3	nag_effect_resource_upkeep_reduction_count	faction_to_force_own_unseen	-15.0000
nag_krell_battle_1	wh_dlc08_effect_force_stat_melee_attack_vs_empire	faction_to_force_own_unseen	5.0000
nag_krell_battle_1	nag_effect_force_stat_leadership_infantry	faction_to_force_own_unseen	5.0000
nag_krell_battle_1	wh_main_effect_force_all_campaign_sacking_income	faction_to_character_own_unseen	10.0000
nag_krell_battle_2	wh_main_effect_force_army_campaign_siege_attack_attrition	faction_to_force_enemy	10.0000
nag_krell_battle_2	wh_main_effect_character_stat_leadership_aura_size_sieging	faction_to_character_own	50.0000
nag_krell_battle_2	wh_main_effect_force_stat_leadership_siege_attack	faction_to_force_own	10.0000
nag_krell_battle_2	wh_main_effect_character_stat_weapon_strength	faction_to_character_own	8.0000
nag_krell_battle_3	nag_effect_tech_armour_all_guards	faction_to_force_own_unseen	10.0000
nag_krell_battle_3	nag_effect_tech_dmg_all_guards	faction_to_force_own_unseen	10.0000
nag_neferata_battle_1	nag_effect_landmark_neffy_buff_ushabti_melee	faction_to_force_own_unseen	6.0000
nag_neferata_battle_1	nag_effect_landmark_neffy_buff_ushabti_defence	faction_to_force_own_unseen	6.0000
nag_neferata_battle_2	nag_effect_force_stat_melee_defence_stalker_necropolis_knight	faction_to_force_own_unseen	10.0000
nag_neferata_battle_2	wh_main_effect_agent_action_cost_mod	faction_to_character_own_unseen	-33.0000
nag_neferata_battle_3	nag_effect_force_stat_melee_attack_blood_knights	faction_to_force_own_unseen	10.0000
nag_neferata_battle_3	nag_effect_upkeep_reduction_blood_knights_mortis	faction_to_force_own_unseen	-10.0000
nag_neferata_battle_3	nag_effect_contact_charmed_vampires	faction_to_force_own_unseen	1.0000
nag_vlad_battle_1	nag_effect_force_stat_armour_necropolis_knights	faction_to_force_own_unseen	8.0000
nag_vlad_battle_1	nag_effect_force_stat_weapon_strength_horsemen_necropolice	faction_to_force_own_unseen	10.0000
nag_vlad_battle_2	nag_effect_tech_vanguard_necropolis	faction_to_force_own_unseen	1.0000
