technology	effect	effect_scope	value
#technology_effects_junction_tables;0;db/technology_effects_junction_tables/rhox_nagash_dk			
nag_dk_battle_1	nag_effect_force_stat_armour_dk	faction_to_force_own_unseen	5.0000
nag_dk_battle_1	nag_effect_force_stat_defence_skele_inf_defending	faction_to_force_own_unseen	4.0000
nag_dk_battle_2	nag_effect_enable_attribute_devastating_flanker_dk_cavalry	faction_to_force_own_unseen	1.0000
nag_dk_battle_2	nag_effect_force_stat_attack_skele_cav_attacking	faction_to_force_own_unseen	10.0000
nag_dk_battle_3	nag_effect_force_stat_ward_save_dk_infantry	faction_to_force_own_unseen	5.0000
nag_dk_battle_3	nag_effect_force_stat_speed_dk_missile	faction_to_force_own_unseen	20.0000
nag_dk_battle_3	dread_effect_discouraged_attacks_royal_guard	faction_to_force_own_unseen	1.0000
nag_mortarch_dk_unlock	wh2_dlc09_effect_increase_army_capacity	faction_to_faction_own_unseen	1.0000
nag_mortarch_dk_unlock	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	-15.0000
nag_dk_proclamation	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	30.0000
nag_dk_proclamation	wh_dlc05_effect_global_recruitment_duration_all	faction_to_faction_own_unseen	-1.0000
nag_dk_proclamation	wh3_main_effect_allied_recruitment_global_pool_cost_percentage_mod	faction_to_faction_own_unseen	-15.0000
nag_dk_proclamation	nag_effect_tech_unit_xp_levels	faction_to_character_own_unseen	1.0000
nag_dk_archai	nag_effect_agent_cap_increase_archai	faction_to_faction_own_unseen	1.0000
nag_mortarch_dk_event_1	rhox_nagash_spawn_hand_dummy	faction_to_faction_own_unseen	1.0000
nag_mortarch_dk_event_2	nag_effect_unit_cap_nagash_ovn_dk_mon_skeleton_elephant	faction_to_faction_own_unseen	2.0000
nag_mortarch_dk_event_1	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	15.0000
nag_mortarch_dk_event_2	nag_effect_force_stat_bonus_vs_large_dk_elephant	faction_to_force_own_unseen	20.0000
nag_mortarch_dk_event_2	nag_effect_unit_cap_bone_giant_0	faction_to_faction_own_unseen	2.0000
nag_mortarch_dk_event_2	nag_effect_unit_cap_necrofex_colossus_0	faction_to_faction_own_unseen	2.0000
nag_mortarch_dk_event_2	nag_effect_unit_cap_nag_bone_colossus	faction_to_faction_own_unseen	1.0000
nag_mortarch_dk_event_3	wh3_main_effect_undead_post_battle_unit_saving_chance	faction_to_character_own_unseen	15.0000
nag_mortarch_dk_event_3	nag_effect_horde_growth	faction_to_force_own_unseen	5.0000
nag_mortarch_dk_unlock	nag_dk_unlock	faction_to_faction_own_unseen	1.0000
nag_mortarch_dk_unlock	wh_main_effect_force_army_campaign_recruitment_points	faction_to_faction_own_unseen	1.0000
nag_dk_archai	nag_archai_spawn_effect_dummy	faction_to_faction_own_unseen	1.0000
