chain	set	super_chain	remove
#building_chain_set_items_tables;0;db/building_chain_set_items_tables/rhox_nagash_not_for_unique_settlement			
nag_non_unique_settlement_cavalry	rhox_nagash_not_for_unique_settlement		false
nag_non_unique_settlement_chariots	rhox_nagash_not_for_unique_settlement		false
nag_non_unique_settlement_defence_major	rhox_nagash_not_for_unique_settlement		false
nag_non_unique_settlement_growth	rhox_nagash_not_for_unique_settlement		false
nag_non_unique_settlement_income	rhox_nagash_not_for_unique_settlement		false
nag_non_unique_settlement_infantry	rhox_nagash_not_for_unique_settlement		false
nag_non_unique_settlement_ushabti	rhox_nagash_not_for_unique_settlement		false
nag_non_unique_settlement_priest	rhox_nagash_not_for_unique_settlement		false
nag_non_unique_settlement_spirit	rhox_nagash_not_for_unique_settlement		false
nag_outpost_primary_nehek	rhox_nagash_not_for_unique_settlement		false
nag_outpost_primary_nagashizzar	rhox_nagash_not_for_unique_settlement		false
nag_outpost_primary_coast	rhox_nagash_not_for_unique_settlement		false
nag_outpost_primary_count	rhox_nagash_not_for_unique_settlement		false
nag_outpost_primary_research	rhox_nagash_not_for_unique_settlement		false
nag_outpost_primary_arcane	rhox_nagash_not_for_unique_settlement		false
nag_outpost_primary_support	rhox_nagash_not_for_unique_settlement		false
