chain	set	super_chain	remove
#building_chain_set_items_tables;0;db/building_chain_set_items_tables/rhox_nagash_copied_landmark			
rhox_nagash_special_black_tower_of_arkhan	wh3_main_secondary_addon_landmark_black_tower_of_arkhan		false
rhox_nagash_special_pyramid_alcadizaar	wh3_main_secondary_addon_landmark_bhagar		false
rhox_nagash_special_pyramid_amenemhetum	wh3_main_secondary_addon_landmark_ka_sabar		false
rhox_nagash_special_pyramid_khatep	wh3_main_secondary_addon_landmark_khemri		false
rhox_nagash_special_pyramid_phar	wh3_main_secondary_addon_landmark_numas		false
rhox_nagash_special_pyramid_settra	wh3_main_secondary_addon_landmark_quatar		false
rhox_nagash_special_college_of_magic_vampires	wh3_main_secondary_addon_landmark_altdorf		false
rhox_nagash_special_blood_keep	wh3_main_secondary_addon_landmark_nuln		false
rhox_nagash_special_castle_drachenfels	wh3_main_secondary_addon_landmark_castle_drachenfels		false
rhox_nagash_special_ghrond_convent_of_sorcery_vmp	wh3_main_secondary_addon_landmark_ghrond		false
rhox_nagash_special_ogham_stones	wh3_main_secondary_addon_landmark_ogham_stones		false
rhox_nagash_special_standing_stones_others	wh3_main_secondary_addon_landmark_standing_stones		false
