chain	set	super_chain	remove
#building_chain_set_items_tables;0;db/building_chain_set_items_tables/rhox_nagash_horde			
nag_bpyramid_main	rhox_nagash_special_horde_boss		false
nag_arkhan_horde_special	rhox_nagash_special_horde_arkhan		false
nag_vlad_horde_special	rhox_nagash_special_horde_vlad		false
nag_neffy_horde_special	rhox_nagash_special_horde_neffy		false
nag_manny_horde_special	rhox_nagash_special_horde_manny		false
nag_krell_horde_special	rhox_nagash_special_horde_krell		false
nag_luthor_horde_special	rhox_nagash_special_horde_luthor		false
nag_nagash_horde_special	rhox_nagash_special_horde_husk		false
nag_bpyramid_main_obelisk	rhox_nagash_bp_horde_secondary		false
nag_bpyramid_ew1_barracks	rhox_nagash_bp_horde_secondary		false
nag_bpyramid_ww1_stables	rhox_nagash_bp_horde_secondary		false
nag_bpyramid_ew2_mortuary	rhox_nagash_bp_horde_secondary		false
nag_bpyramid_ww2_warmachines	rhox_nagash_bp_horde_secondary		false
nag_bpyramid_ew3_growth	rhox_nagash_bp_horde_secondary		false
nag_bpyramid_ww3_industry	rhox_nagash_bp_horde_secondary		false
nag_bpyramid_ew4_other	rhox_nagash_bp_horde_secondary		false
nag_bpyramid_ww4_extra	rhox_nagash_bp_horde_secondary		false
nag_bpyramid_hidden	rhox_nagash_bp_horde_secondary		false
nag_nagash_horde_landmark	rhox_nagash_subhorde_secondary		false
nag_subhorde_military0_guard	rhox_nagash_subhorde_secondary		false
nag_subhorde_military1_barracks	rhox_nagash_subhorde_secondary		false
nag_subhorde_military2_stables	rhox_nagash_subhorde_secondary		false
nag_subhorde_military3_warmachines	rhox_nagash_subhorde_secondary		false
nag_subhorde_military4_monsters	rhox_nagash_subhorde_secondary		false
nag_subhorde_support1_smith	rhox_nagash_subhorde_secondary		false
nag_subhorde_support2_worship	rhox_nagash_subhorde_secondary		false
nag_subhorde_infrastructure1_growth	rhox_nagash_subhorde_secondary		false
nag_subhorde_infrastructure2_industry	rhox_nagash_subhorde_secondary		false
nag_arkhan_horde_landmark	rhox_nag_horde_secondary		false
nag_vlad_horde_landmark	rhox_nag_horde_secondary		false
nag_neffy_horde_landmark	rhox_nag_horde_secondary		false
nag_manny_horde_landmark	rhox_nag_horde_secondary		false
nag_krell_horde_landmark	rhox_nag_horde_secondary		false
nag_luthor_horde_landmark	rhox_nag_horde_secondary		false
nag_horde_military1_barracks	rhox_nag_horde_secondary		false
nag_horde_military2_stables	rhox_nag_horde_secondary		false
nag_horde_military3_warmachines	rhox_nag_horde_secondary		false
nag_horde_military4_monsters	rhox_nag_horde_secondary		false
nag_horde_support1_smith	rhox_nag_horde_secondary		false
nag_horde_support2_worship	rhox_nag_horde_secondary		false
nag_horde_support3_wizards	rhox_nag_horde_secondary		false
nag_horde_infrastructure1_growth	rhox_nag_horde_secondary		false
nag_horde_infrastructure2_industry	rhox_nag_horde_secondary		false
nag_horde_infrastructure3_energy	rhox_nag_horde_secondary		false
nag_horde_infrastructure4_other	rhox_nag_horde_secondary		false
