key	model_id	building_bmd	port_bmd	construction_bmd	damaged_bmd	destroyed_bmd	port_construction_bmd	port_walled_bmd	wall_bmd	on_sea_bmd
#campaign_settlement_display_buildings_tables;7;db/campaign_settlement_display_buildings_tables/rhox_nagash										
7784598	nag_bpyramid_1	prefabs/campaign/tmb_blackpyramid_06.bmd								
7784599	nag_bpyramid_2	prefabs/campaign/tmb_blackpyramid_06.bmd								
7784600	nag_bpyramid_3	prefabs/campaign/tmb_blackpyramid_06.bmd								
7784601	nag_bpyramid_4	prefabs/campaign/tmb_blackpyramid_06.bmd								
7784602	nag_bpyramid_5	prefabs/campaign/tmb_blackpyramid_06.bmd								
7784603	nag_nagash_horde_1	prefabs\campaign\cst_encampment.bmd								
7784604	nag_nagash_horde_2	prefabs\campaign\cst_encampment.bmd								
7784605	nag_nagash_horde_3	prefabs\campaign\cst_encampment.bmd								
7784606	nag_arkhan_horde_1	prefabs\campaign\cst_encampment.bmd								
7784607	nag_arkhan_horde_2	prefabs\campaign\cst_encampment.bmd								
7784608	nag_arkhan_horde_3	prefabs\campaign\cst_encampment.bmd								
7784609	nag_arkhan_horde_4	prefabs\campaign\cst_encampment.bmd								
7784610	nag_arkhan_horde_5	prefabs\campaign\cst_encampment.bmd								
7784611	nag_vlad_horde_1	prefabs\campaign\cst_encampment.bmd								
7784612	nag_vlad_horde_2	prefabs\campaign\cst_encampment.bmd								
7784613	nag_vlad_horde_3	prefabs\campaign\cst_encampment.bmd								
7784614	nag_vlad_horde_4	prefabs\campaign\cst_encampment.bmd								
7784615	nag_vlad_horde_5	prefabs\campaign\cst_encampment.bmd								
7784616	nag_neffy_horde_1	prefabs\campaign\cst_encampment.bmd								
7784617	nag_neffy_horde_2	prefabs\campaign\cst_encampment.bmd								
7784618	nag_neffy_horde_3	prefabs\campaign\cst_encampment.bmd								
7784619	nag_neffy_horde_4	prefabs\campaign\cst_encampment.bmd								
7784620	nag_neffy_horde_5	prefabs\campaign\cst_encampment.bmd								
7784621	nag_manny_horde_1	prefabs\campaign\cst_encampment.bmd								
7784622	nag_manny_horde_2	prefabs\campaign\cst_encampment.bmd								
7784623	nag_manny_horde_3	prefabs\campaign\cst_encampment.bmd								
7784624	nag_manny_horde_4	prefabs\campaign\cst_encampment.bmd								
7784625	nag_manny_horde_5	prefabs\campaign\cst_encampment.bmd								
7784626	nag_krell_horde_1	prefabs\campaign\cst_encampment.bmd								
7784627	nag_krell_horde_2	prefabs\campaign\cst_encampment.bmd								
7784628	nag_krell_horde_3	prefabs\campaign\cst_encampment.bmd								
7784629	nag_krell_horde_4	prefabs\campaign\cst_encampment.bmd								
7784630	nag_krell_horde_5	prefabs\campaign\cst_encampment.bmd								
7784631	nag_luthor_horde_1	prefabs\campaign\cst_encampment.bmd								
7784632	nag_luthor_horde_2	prefabs\campaign\cst_encampment.bmd								
7784633	nag_luthor_horde_3	prefabs\campaign\cst_encampment.bmd								
7784634	nag_luthor_horde_4	prefabs\campaign\cst_encampment.bmd								
7784635	nag_luthor_horde_5	prefabs\campaign\cst_encampment.bmd								
7784636	nag_subhorde_main_1	prefabs\campaign\cst_encampment.bmd								
7784637	nag_subhorde_main_2	prefabs\campaign\cst_encampment.bmd								
7784638	nag_subhorde_main_3	prefabs\campaign\cst_encampment.bmd								
7784639	nag_dieter_horde_1	prefabs\campaign\cst_encampment.bmd								
7784640	nag_dieter_horde_2	prefabs\campaign\cst_encampment.bmd								
7784641	nag_dieter_horde_3	prefabs\campaign\cst_encampment.bmd								
7784642	nag_dieter_horde_4	prefabs\campaign\cst_encampment.bmd								
7784643	nag_dieter_horde_5	prefabs\campaign\cst_encampment.bmd								
7784644	nag_azhag_horde_1	prefabs\campaign\cst_encampment.bmd								
7784645	nag_azhag_horde_2	prefabs\campaign\cst_encampment.bmd								
7784646	nag_azhag_horde_3	prefabs\campaign\cst_encampment.bmd								
7784647	nag_azhag_horde_4	prefabs\campaign\cst_encampment.bmd								
7784648	nag_azhag_horde_5	prefabs\campaign\cst_encampment.bmd								
7784649	nag_dk_horde_1	prefabs/campaign/dkl_acropolis_01.bmd								
7784650	nag_dk_horde_2	prefabs/campaign/dkl_acropolis_01.bmd								
7784651	nag_dk_horde_3	prefabs/campaign/dkl_acropolis_01.bmd								
7784652	nag_dk_horde_4	prefabs/campaign/dkl_acropolis_01.bmd								
7784653	nag_dk_horde_5	prefabs/campaign/dkl_acropolis_01.bmd								
