effect	effect list	scope	value
#campaign_effect_list_effect_junctions_tables;0;db/campaign_effect_list_effect_junctions_tables/rhox_nagash			
wh3_main_effect_forced_vassalage_disabled	rhox_nagash_diplomacy_effect_nagash_to_vassal	faction_to_faction_own_unseen	1.0000
nag_effect_faction_political_diplomacy_mod_nagash	rhox_nagash_diplomacy_effect_nagash_to_vassal	faction_to_faction_own_unseen	250.0000
wh3_main_effect_corruption_vampiric_characters	rhox_nagash_lahmia_gift_of_lahmia_character	character_to_province_any	5.0000
wh_main_effect_character_stat_leadership_vs_vampire_counts	rhox_nagash_lahmia_gift_of_lahmia_character	general_to_force_own	-8.0000
rhox_nagash_lahmia_effect_pooled_resource_coven_influence_mark_of_neferata	rhox_nagash_lahmia_gift_of_lahmia_character	faction_to_faction_own_unseen	8.0000
wh2_dlc14_effect_attrition_immunity_undead	rhox_nagash_lahmia_diplomacy_effect_lahmia_to_vassal	faction_to_force_own_unseen	1.0000
wh3_main_effect_corruption_vampiric_events	rhox_nagash_lahmia_diplomacy_effect_lahmia_to_vassal	faction_to_province_own	1.0000
wh3_main_effect_forced_vassalage_disabled	rhox_nagash_lahmia_diplomacy_effect_lahmia_to_vassal	faction_to_faction_own_unseen	1.0000
wh3_main_effect_forced_vassalage_enabled	rhox_nagash_lahmia_diplomacy_effect_lahmia_to_vassal	faction_to_faction_own_unseen	-1.0000
wh2_dlc16_effect_unit_enable_attribute_undead	rhox_nagash_lahmia_diplomacy_effect_lahmia_to_vassal	faction_to_character_own	1.0000
rhox_nagash_lahmia_effect_diplo_mod	rhox_nagash_lahmia_relation_bonus	faction_to_faction_own_unseen	10.0000
