invalid_usage_flag	special_ability
#special_ability_to_invalid_usage_flags_tables;0;db/special_ability_to_invalid_usage_flags_tables/rhox_nagash	
morale_is_broken_or_lower	wh_main_spell_nagash_breath_of_darkness_upgraded
morale_is_broken_or_lower	wh_main_spell_nagash_breath_of_darkness
morale_is_broken_or_lower	wh_main_spell_nagash_soul_stealer
morale_is_broken_or_lower	nag_bound_spell_nagash_breath_of_darkness
climbing	nag_bound_spell_nagash_breath_of_darkness
morale_is_broken_or_lower	nag_bound_spell_nagash_soul_stealer
climbing	nag_bound_spell_nagash_soul_stealer
climbing	nag_bound_spell_death_purple_sun
climbing	nag_bound_spell_light_banishment
climbing	nag_bound_spell_vamp_wind_of_death
climbing	nag_bound_spell_nehek_skullstorm
manning_equipment	nag_bound_spell_nehek_skullstorm
climbing	nag_bound_spell_deep_krakens_pull
phase_is_deployment	nag_army_abilities_endless_tomb
phase_is_deployment	nag_army_abilities_endless_tomb_hidden_dummy
phase_is_deployment	nag_army_abilities_blyramid_bombardment_targeting
climbing	wh_main_spell_nagash_dark_riders
climbing	wh_main_spell_nagash_dark_riders_upgraded
climbing	wh_main_spell_nagash_hand_of_dust
climbing	wh_main_spell_nagash_breath_of_darkness
climbing	wh_main_spell_nagash_breath_of_darkness_upgraded
climbing	wh_main_spell_nagash_harbinger
climbing	wh_main_spell_nagash_harbinger_upgraded
climbing	wh_main_spell_nagash_soul_stealer
climbing	wh_main_spell_nagash_grave_call_master
climbing	wh_main_spell_nagash_grave_call_master_upgraded
climbing	wh_main_spell_nagash_abyssal_swarm
climbing	wh_main_spell_nagash_abyssal_swarm_upgrade
manning_equipment	wh_main_spell_nagash_dark_riders
manning_equipment	wh_main_spell_nagash_dark_riders_upgraded
manning_equipment	wh_main_spell_nagash_hand_of_dust
manning_equipment	wh_main_spell_nagash_breath_of_darkness
manning_equipment	wh_main_spell_nagash_breath_of_darkness_upgraded
manning_equipment	wh_main_spell_nagash_harbinger
manning_equipment	wh_main_spell_nagash_harbinger_upgraded
manning_equipment	wh_main_spell_nagash_soul_stealer
manning_equipment	wh_main_spell_nagash_grave_call_master
manning_equipment	wh_main_spell_nagash_grave_call_master_upgraded
manning_equipment	wh_main_spell_nagash_abyssal_swarm
manning_equipment	wh_main_spell_nagash_abyssal_swarm_upgrade
moving	nag_unit_abilities_beyond_the_veil
morale_is_wavering_or_lower	nag_luthor_harkon_carcinization
