invalid_usage_flag	special_ability
#special_ability_to_invalid_usage_flags_tables;0;db/special_ability_to_invalid_usage_flags_tables/nagash	
morale_is_broken_or_lower	wh_main_spell_nagash_breath_of_darkness_upgraded
morale_is_broken_or_lower	wh_main_spell_nagash_breath_of_darkness
morale_is_broken_or_lower	wh_main_spell_nagash_soul_stealer
climbing_manning_eq_on_platform	nag_krell_passive_mortarch_of_despair
morale_is_broken_or_lower	nag_bound_spell_nagash_breath_of_darkness
climbing	nag_bound_spell_nagash_breath_of_darkness
morale_is_broken_or_lower	nag_bound_spell_nagash_soul_stealer
climbing	nag_bound_spell_nagash_soul_stealer
climbing	nag_bound_spell_nagash_purple_sun
climbing	nag_bound_spell_nagash_banishment
climbing	nag_bound_spell_nagash_wind_of_death
climbing	nag_bound_spell_nagash_skullstorm
manning_equipment	nag_bound_spell_nagash_skullstorm
climbing	nag_bound_spell_deep_krakens_pull
climbing	nag_double_spell_vampires_gaze_of_nagash_upgraded
manning_equipment	nag_double_spell_vampires_gaze_of_nagash_upgraded
climbing	nag_double_spell_vampires_gaze_of_nagash
manning_equipment	nag_double_spell_vampires_gaze_of_nagash
morale_is_broken_or_lower	nag_double_spell_vampires_invocation_of_nehek_upgraded
morale_is_broken_or_lower	nag_double_spell_vampires_invocation_of_nehek
climbing	nag_double_spell_vampires_raise_dead_upgraded
climbing	nag_double_spell_vampires_raise_dead
climbing	nag_double_spell_vampires_wind_of_death_upgraded
climbing	nag_double_spell_vampires_wind_of_death
phase_is_deployment	nag_army_abilities_batocalypse
phase_is_deployment	nag_army_abilities_endless_tomb
phase_is_deployment	nag_army_abilities_endless_tomb_hidden_dummy
phase_is_deployment	nag_army_abilities_blyramid_bombardment_targeting
