campaign_group	ritual	unlock_mission	unlock_turn	initially_unlocked
#campaign_group_rituals_tables;1;db/campaign_group_rituals_tables/rhox_nagash				
rhox_nagash_feature_group	nag_death		0	false
rhox_nagash_feature_group	nag_divinity		0	false
rhox_nagash_feature_group	nag_man		0	false
rhox_nagash_feature_group	nag_winds		0	false
rhox_nagash_feature_group	rhox_nagash_ritual_forced_vassalisation		0	true
rhox_nagash_lahmia_feature	rhox_nagash_lahmia_ritual_forced_vassalisation		0	true
rhox_nagash_lahmia_feature	rhox_nagash_lahmia_ritual_create_cults		0	true
rhox_nagash_feature_group	nag_army		0	true
rhox_nagash_kalledria_feature	rhox_nagash_kalledria_ritual_hex_1		0	false
rhox_nagash_kalledria_feature	rhox_nagash_kalledria_ritual_hex_1_empowered		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_forest_of_gloom		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_forest_of_gloom_empowered		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_gaean_vale		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_gaean_vale_empowered		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_gryphon_wood		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_gryphon_wood_empowered		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_heart_of_the_jungle		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_heart_of_the_jungle_empowered		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_jungles_of_chian		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_jungles_of_chian_empowered		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_laurelorn_forest		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_laurelorn_forest_empowered		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_oak_of_ages		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_oak_of_ages_empowered		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_haunted_forest		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_haunted_forest_empowered		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_sacred_pools		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_sacred_pools_empowered		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_witchwood		0	false
rhox_nagash_kalledria_feature	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_witchwood_empowered		0	false
rhox_nagash_kalledria_feature	rhox_nagash_kalledria_ritual_hex_3		0	false
rhox_nagash_kalledria_feature	rhox_nagash_kalledria_ritual_hex_3_empowered		0	false
rhox_nagash_kalledria_feature	rhox_nagash_kalledria_ritual_hex_4		0	false
rhox_nagash_kalledria_feature	rhox_nagash_kalledria_ritual_hex_4_empowered		0	false
rhox_nagash_kalledria_feature	rhox_nagash_kalledria_ritual_hex_5		0	false
rhox_nagash_kalledria_feature	rhox_nagash_kalledria_ritual_hex_5_empowered		0	false
rhox_nagash_kalledria_feature	rhox_nagash_kalledria_ritual_hex_6		0	false
rhox_nagash_kalledria_feature_iee	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_far_place		0	false
rhox_nagash_kalledria_feature_iee	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_far_place_empowered		0	false
