key	unit_ability	unit_set
#unit_set_unit_ability_junctions_tables;0;db/unit_set_unit_ability_junctions_tables/rhox_nagash		
nag_bats_refuse_to_die	nag_unit_abilities_refuse_to_die	nag_bats_unit_set
nag_morghasts_regen	wh_main_unit_passive_regeneration	nag_morghasts_unit_set
nag_army_nehek_mortal_realm_of_souls	nag_unit_passive_mortal_realm_of_souls	nag_army_nehek_units
nag_army_nagash_deathblow	wh_main_unit_passive_deathblow	nag_army_nagashizzar_units
nag_blood_queen_vamps	nag_neferata_passive_blood_queen	nag_female_vampires
nag_carcinization	nag_luthor_harkon_carcinization	nag_luthor_harkon
nag_frenzy_grave_guard	wh_main_unit_passive_frenzy	nag_tech_graveguard
nag_guardian_ghouls	wh2_dlc10_unit_passive_guardian	nag_crypt_ghouls
nag_guardian_blood_knights	wh2_dlc10_unit_passive_guardian	nag_tech_blood_knights
nag_zombie_battery	nag_unit_passive_zombie_battery	nag_vanilla_vmp_inf_zombie
nag_warpball_casket	wh2_dlc14_spell_bound_warpfireball	nag_tech_casket_of_souls
nag_warpball_liche_priests	wh2_dlc14_spell_bound_warpfireball	nag_liche_priests
nag_zombie	wh_dlc04_unit_passive_chilling_aura	nag_zombie
nag_curse_quintex	nag_unit_passive_curse_quintex	characters
nag_vlad_unit_set_raise_dead	wh_main_spell_vampires_raise_dead	nag_vlad_unit_set
nag_vlad_unit_set_raise_dead_upgraded	wh_main_spell_vampires_raise_dead_upgraded	nag_vlad_unit_set
nag_mannfred_unit_set_curse	wh_main_spell_vampires_curse_of_years	nag_mannfred_unit_set
nag_mannfred_unit_set_gaze	wh_main_spell_vampires_gaze_of_nagash	nag_mannfred_unit_set
nag_mannfred_unit_set_gaze_up	wh_main_spell_vampires_gaze_of_nagash_upgraded	nag_mannfred_unit_set
nag_mannfred_unit_set_nehek	wh_main_spell_vampires_invocation_of_nehek	nag_mannfred_unit_set
nag_mannfred_unit_set_nehek_up	wh_main_spell_vampires_invocation_of_nehek_upgraded	nag_mannfred_unit_set
nag_mannfred_unit_set_raise	wh_main_spell_vampires_raise_dead	nag_mannfred_unit_set
nag_mannfred_unit_set_raise_up	wh_main_spell_vampires_raise_dead_upgraded	nag_mannfred_unit_set
nag_mannfred_unit_set_danse	wh_main_spell_vampires_vanhels_danse_macabre	nag_mannfred_unit_set
nag_mannfred_unit_set_danse_up	wh_main_spell_vampires_vanhels_danse_macabre_upgraded	nag_mannfred_unit_set
nag_mannfred_unit_set_wind	wh_main_spell_vampires_wind_of_death	nag_mannfred_unit_set
nag_mannfred_unit_set_wind_up	wh_main_spell_vampires_wind_of_death_upgraded	nag_mannfred_unit_set
nag_morghasts_magic_attacks	nag_unit_passive_magical_attacks	nag_morghasts_unit_set
nag_army_nagash_deathblow_azhag	wh_main_unit_passive_deathblow	nag_army_nagashizzar_units_azhag
nag_frenzy_undead	wh_main_unit_passive_frenzy	nag_undead_green
nag_tech_hunger_dire_wolves_fell_bats	wh2_dlc11_unit_passive_the_hunger	nag_tech_dire_wolves_fell_bats
nag_ghouls_horrors_horrible_regen	wh2_dlc17_unit_passive_horrible_regeneration	nag_ghouls_horrros
nag_ghouls_frenzy	wh_main_unit_passive_frenzy	nag_crypt_ghouls
nag_horrors_blood_frenzy	nag_unit_passive_blood_frenzy	nag_crypt_horrors
nag_vlad_unit_set_raise_dead	wh_main_spell_vampires_raise_dead	nag_vlad_unit_set
nag_vlad_unit_set_raise_dead_upgraded	wh_main_spell_vampires_raise_dead_upgraded	nag_vlad_unit_set
