key	resource
#slot_templates_tables	1	db/slot_templates_tables/jvj_natasha_resources
wh_main_special_marienburg_secondary	res_nag_coast
major_secondary_land_of_the_dervishes_sudenburg	res_nag_coast
wh_main_special_bordeleux_secondary	res_nag_coast
major_secondary_pastures_lyonesse_lyonesse	res_nag_coast
wh_main_special_magritta_secondary	res_nag_coast
wh_main_special_miragliano_secondary	res_nag_coast
major_secondary_pottery_western_border_princes_myrmidens	res_nag_coast
wh2_main_special_sartosa_secondary	res_nag_coast
major_secondary_salt_coast_of_araby_al_haikk	res_nag_coast
wh2_main_special_the_awakening_secondary	res_nag_coast
wh2_main_special_galleons_graveyard_secondary	res_nag_coast
minor_secondary_northern_jungle_of_pahualaxa_port_reaver	res_nag_coast
minor_secondary_southern_jungle_of_pahualaxa_monument_of_the_moon	res_nag_coast
wh_main_special_castle_drakenhof_secondary	res_nag_counts
wh2_main_special_castle_drachenfels_secondary	res_nag_counts
major_secondary_wine_western_sylvania_castle_templehof	res_nag_counts
wh2_main_special_mousillon_secondary	res_nag_counts
major_secondary_averland_averheim	res_nag_counts
wh_main_special_pfeildorf_secondary	res_nag_counts
wh_main_special_nuln_secondary	res_nag_counts
major_secondary_wine_stirland_wurtbad	res_nag_counts
major_secondary_pottery_ostermark_bechafen	res_nag_counts
wh_main_special_talabheim_secondary	res_nag_counts
wh_main_special_altdorf_secondary	res_nag_counts
wh_main_special_middenheim_secondary	res_nag_counts
wh2_main_special_salzenmund_secondary	res_nag_counts
major_secondary_timber_hochland_hergig	res_nag_counts
major_secondary_gold_ostland_wolfenburg	res_nag_counts
wh_main_special_kislev_secondary	res_nag_counts
wh_main_special_erengrad_secondary	res_nag_counts
major_secondary_northern_oblast_fort_ostrosk	res_nag_counts
major_secondary_pastures_eastern_border_princes_akendorf	res_nag_counts
wh_main_special_carcassonne_secondary	res_nag_counts
wh2_main_special_parravon_secondary	res_nag_counts
major_secondary_bastonne_et_montfort_castle_bastonne	res_nag_counts
major_secondary_timber_forest_of_arden_castle_artois	res_nag_counts
wh_main_special_couronne_secondary	res_nag_counts
wh2_dlc09_special_black_tower_of_arkhan_secondary	res_nag_nagash
wh2_main_special_pyramid_of_nagash_secondary	res_nag_nagash
wh2_dlc15_special_morgheim_secondary	res_nag_nagash
major_secondary_northern_dark_lands_silver_pinnacle	res_nag_nagash
minor_secondary_desolation_of_nagash_spitepeak	res_nag_nagash
major_secondary_the_plain_of_bones_the_fortress_of_vorag	res_nag_nagash
minor_secondary_marble_ash_river_springs_of_eternal_life	res_nag_nagash
major_secondary_land_of_assassins_palace_of_the_wizard_caliph	res_nag_nehek
wh2_main_special_khemri_secondary	res_nag_nehek
wh2_dlc09_special_ka_sabar_secondary	res_nag_nehek
wh2_dlc09_special_numas_secondary	res_nag_nehek
major_secondary_crater_of_the_walking_dead_rasetra	res_nag_nehek
wh2_main_special_lahmia_secondary	res_nag_nehek
wh2_dlc14_special_the_broken_teeth_nagashizar_secondary	res_nag_warpstone
wh2_main_special_mordheim_secondary	res_nag_warpstone
wh2_main_special_skavenblight_secondary	res_nag_warpstone
wh2_main_special_hellpit_secondary	res_nag_warpstone
wh2_main_special_altar_of_ultimate_darkness_secondary	res_nag_warpstone
major_norsca_southern_dark_lands_desolation_of_drakenmoor	res_nag_warpstone
wh2_dlc14_special_the_wolf_lands_crookback_mountain_secondary	res_nag_warpstone
wh2_dlc14_special_gnoblar_country_flayed_rock_secondary	res_nag_warpstone
wh2_main_special_quintex_secondary	res_nag_warpstone
major_secondary_iron_the_clawed_coast_hoteks_column	res_nag_warpstone
major_secondary_deadwood_the_frozen_city	res_nag_warpstone
wh2_main_special_karak_zorn_secondary	res_nag_warpstone
wh_main_special_karak_azul_secondary	res_nag_warpstone
wh_main_special_karaz_a_karak_secondary	res_nag_warpstone
wh2_main_special_karak_izor_secondary	res_nag_warpstone
wh2_main_special_kraka_drak_secondary	res_nag_warpstone
