ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/rhox_nagash	
nag_nagash_abilities_mortis_blade	wh_main_all_replenish
nag_nagash_abilities_mortis_blade	wh3_dlc20_ability_intensity_combined_time_in_melee_and_ability_wind_up
wh_main_lore_nagash_raise_the_dead	wh_dlc05_spell_trigger_when_casting
wh_main_lore_nagash_raise_the_dead	wh_main_all_resurrect
wh_main_lore_nagash_raise_the_dead	wh_main_all_resurrect_hp
wh_main_lore_nagash_raise_the_dead	wh_main_all_replenish
wh_main_spell_nagash_soul_stealer	wh_main_all_replenish
wh_main_spell_nagash_soul_stealer	wh_main_bombardment_large_strike_aoe
wh_main_spell_nagash_soul_stealer	wh_main_all_strong_against_unit
wh_main_spell_nagash_soul_stealer	nag_aoe_damage_and_heal
wh_main_spell_nagash_grave_call_master	wh_dlc04_all_summon_crypt_ghouls
wh_main_spell_nagash_grave_call_master	wh2_nagash_2_zombies_summon
wh_main_spell_nagash_grave_call_master	wh_main_all_direct_damage_unbinding
wh_main_spell_nagash_grave_call_master_upgraded	wh_dlc04_all_summon_crypt_horrors
wh_main_spell_nagash_grave_call_master_upgraded	wh2_nagash_2_zombies_summon
wh_main_spell_nagash_grave_call_master_upgraded	wh_main_all_direct_damage_unbinding
wh_main_spell_nagash_hand_of_dust	wh_main_all_strong_against_single
wh_main_spell_nagash_hand_of_dust	wh2_main_all_magical_damage_massive
wh_main_spell_nagash_hand_of_dust_upgraded	wh_main_all_strong_against_single
wh_main_spell_nagash_hand_of_dust_upgraded	wh2_main_all_magical_damage_massive
wh_main_spell_nagash_hand_of_dust_upgraded	wh_main_all_good_vs_large
wh_main_spell_nagash_dark_riders	wh2_nagash_black_knights_summon
wh_main_spell_nagash_dark_riders	wh_main_all_direct_damage_unbinding
wh_main_spell_nagash_dark_riders_upgraded	wh2_nagash_blood_knights_summon
wh_main_spell_nagash_dark_riders_upgraded	wh_main_all_direct_damage_unbinding
wh_main_spell_nagash_breath_of_darkness	wh_main_all_replenish
wh_main_spell_nagash_breath_of_darkness	wh_main_all_resurrect_hp
wh_main_spell_nagash_breath_of_darkness_upgraded	wh_main_all_replenish
wh_main_spell_nagash_breath_of_darkness_upgraded	wh_main_all_resurrect_hp
wh_main_spell_nagash_harbinger	wh2_nagash_heroes_party_summon
wh_main_spell_nagash_harbinger	wh_main_all_direct_damage_unbinding
wh_main_spell_nagash_harbinger_upgraded	wh2_nagash_heroes_on_kitty_summon
wh_main_spell_nagash_harbinger_upgraded	wh_main_all_direct_damage_unbinding
wh_main_spell_nagash_abyssal_swarm	wh2_nagash_abyss_wolves
wh_main_spell_nagash_abyssal_swarm	wh2_main_all_magical_damage_moderate
wh_main_spell_nagash_abyssal_swarm	wh_main_all_can_disrupt_formation
wh_main_spell_nagash_abyssal_swarm	wh_main_all_strong_against_units
wh_main_spell_nagash_abyssal_swarm_upgrade	wh2_nagash_spell_stationary_aoe_upgraded
wh_main_spell_nagash_abyssal_swarm_upgrade	wh2_nagash_all_good_against_flying_upgraded
wh_main_spell_nagash_abyssal_swarm_upgrade	wh2_main_all_magical_damage_moderate
nag_unit_passive_mortal_realm_of_souls	wh_main_all_replenish
nag_bound_spell_nagash_dark_riders	wh2_nagash_black_knights_summon
nag_bound_spell_nagash_dark_riders	wh_main_all_direct_damage_unbinding
