ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/nagash	
nag_nagash_abilities_mortis_blade	wh2_dlc15_heal_passive_8
wh_main_lore_nagash_raise_the_dead	wh_main_all_resurrect
wh_main_lore_nagash_raise_the_dead	wh_main_all_resurrect_hp
wh_main_lore_nagash_raise_the_dead	wh2_dlc15_heal_active_72
wh_main_spell_nagash_soul_stealer	wh2_dlc15_heal_active_864
wh_main_spell_nagash_soul_stealer	wh_main_bombardment_large_strike_aoe
wh_main_spell_nagash_soul_stealer	wh_main_all_strong_against_unit
wh_main_spell_nagash_soul_stealer	nag_aoe_damage_and_heal
wh_main_spell_nagash_grave_call_master	wh_dlc04_all_summon_crypt_ghouls
wh_main_spell_nagash_grave_call_master	wh2_nagash_2_zombies_summon
wh_main_spell_nagash_grave_call_master_upgraded	wh_dlc04_all_summon_crypt_horrors
wh_main_spell_nagash_grave_call_master_upgraded	wh2_nagash_2_zombies_summon
wh_main_spell_nagash_hand_of_dust	wh_main_all_strong_against_single
wh_main_spell_nagash_hand_of_dust	wh2_main_all_magical_damage_massive
wh_main_spell_nagash_hand_of_dust	wh_main_all_good_vs_large
wh_main_spell_nagash_dark_riders	wh2_nagash_black_knights_summon
wh_main_spell_nagash_dark_riders_upgraded	wh2_nagash_blood_knights_summon
wh_main_spell_nagash_breath_of_darkness	wh2_dlc15_heal_active_2088
wh_main_spell_nagash_breath_of_darkness	wh_main_all_resurrect_hp
wh_main_spell_nagash_breath_of_darkness_upgraded	wh2_dlc15_heal_active_2088
wh_main_spell_nagash_breath_of_darkness_upgraded	wh_main_all_resurrect_hp
wh_main_spell_nagash_harbinger	wh2_nagash_heroes_party_summon
wh_main_spell_nagash_harbinger_upgraded	wh2_nagash_heroes_on_kitty_summon
wh_main_spell_nagash_abyssal_swarm	wh2_nagash_abyss_wolves
wh_main_spell_nagash_abyssal_swarm	wh2_main_all_magical_damage_moderate
wh_main_spell_nagash_abyssal_swarm	wh_main_all_can_disrupt_formation
wh_main_spell_nagash_abyssal_swarm	wh_main_all_strong_against_units
wh_main_spell_nagash_abyssal_swarm_upgrade	wh2_nagash_spell_stationary_aoe_upgraded
wh_main_spell_nagash_abyssal_swarm_upgrade	wh2_nagash_all_good_against_flying_upgraded
wh_main_spell_nagash_abyssal_swarm_upgrade	wh2_main_all_magical_damage_moderate
nag_unit_passive_mortal_realm_of_souls	wh2_dlc15_heal_passive_2
nag_bound_spell_nagash_dark_riders	wh2_nagash_black_knights_summon
nag_bound_spell_nagash_hand_of_dust	wh_main_all_strong_against_single
nag_bound_spell_nagash_hand_of_dust	wh2_main_all_magical_damage_massive
nag_bound_spell_nagash_hand_of_dust	wh_main_all_good_vs_large
nag_bound_spell_nagash_breath_of_darkness	wh2_dlc15_heal_active_2088
nag_bound_spell_nagash_breath_of_darkness	wh_main_all_resurrect_hp
nag_bound_spell_nagash_abyssal_swarm	wh2_nagash_abyss_wolves
nag_bound_spell_nagash_abyssal_swarm	wh2_main_all_magical_damage_moderate
nag_bound_spell_nagash_abyssal_swarm	wh_main_all_can_disrupt_formation
nag_bound_spell_nagash_abyssal_swarm	wh_main_all_strong_against_units
nag_bound_spell_nagash_soul_stealer	wh2_dlc15_heal_active_864
nag_bound_spell_nagash_soul_stealer	wh_main_bombardment_large_strike_aoe
nag_bound_spell_nagash_soul_stealer	wh_main_all_strong_against_unit
nag_bound_spell_nagash_soul_stealer	nag_aoe_damage_and_heal
nag_bound_spell_death_purple_sun	wh2_main_all_good_against_armour
nag_bound_spell_death_purple_sun	wh2_main_all_magical_damage_major
nag_bound_spell_death_purple_sun	wh2_main_spell_huge_vortex
nag_bound_spell_death_purple_sun	wh_main_all_can_disrupt_formation
nag_bound_spell_death_purple_sun	wh_main_all_strong_against_units
nag_bound_spell_light_banishment	wh2_main_all_good_against_armour
nag_bound_spell_light_banishment	wh2_main_all_magical_damage_moderate
nag_bound_spell_light_banishment	wh2_main_spell_huge_vortex
nag_bound_spell_light_banishment	wh_main_all_can_disrupt_formation
nag_bound_spell_light_banishment	wh_main_all_strong_against_units
nag_bound_spell_vamp_wind_of_death	wh2_main_all_good_against_armour
nag_bound_spell_vamp_wind_of_death	wh2_main_all_magical_damage_major
nag_bound_spell_vamp_wind_of_death	wh2_main_spell_medium_wind
nag_bound_spell_vamp_wind_of_death	wh_main_all_strong_against_units
nag_bound_spell_vamp_wind_of_death	wh_main_all_weak_against_single
nag_bound_spell_nehek_skullstorm	wh2_main_all_magical_damage_major
nag_bound_spell_nehek_skullstorm	wh2_main_spell_medium_vortex
nag_bound_spell_nehek_skullstorm	wh_main_all_strong_against_units
nag_bound_spell_nehek_skullstorm	wh_main_all_weak_against_single
nag_bound_spell_deep_krakens_pull	wh2_main_all_good_against_armour
nag_bound_spell_deep_krakens_pull	wh2_main_all_magical_damage_moderate
nag_bound_spell_deep_krakens_pull	wh2_main_spell_stationary_aoe
nag_bound_spell_deep_krakens_pull	wh_main_all_can_disrupt_formation
nag_bound_spell_deep_krakens_pull	wh_main_all_strong_against_units
nag_bound_spell_deep_krakens_pull	wh_main_spell_upgraded_duration
nag_arkhan_abilities_mortarch_of_sacraments_swarm	wh_main_all_direct_damage
nag_arkhan_abilities_mortarch_of_sacraments_swarm	wh_main_all_direct_damage_resist_high
nag_arkhan_abilities_mortarch_of_sacraments_swarm	wh_main_all_strong_against_multiple
nag_arkhan_abilities_mortarch_of_sacraments_swarm	wh_main_all_weak_against_single
nag_krell_passive_mortarch_of_despair	wh2_dlc15_heal_active_2496
nag_neferata_passive_blood_queen	wh2_dlc15_heal_passive_8
nag_neferata_abilities_mortarch_of_blood_death	wh_main_all_direct_damage
nag_neferata_item_passive_staff_of_pain	wh_main_all_direct_damage
nag_neferata_item_passive_staff_of_pain	nag_bound_gaze_of_nagash
nag_double_spell_vampires_gaze_of_nagash_upgraded	wh2_main_all_good_against_armour
nag_double_spell_vampires_gaze_of_nagash_upgraded	wh2_main_all_magical_damage_moderate
nag_double_spell_vampires_gaze_of_nagash_upgraded	wh_main_all_good_vs_large
nag_double_spell_vampires_gaze_of_nagash_upgraded	wh_main_all_strong_against_single
nag_double_spell_vampires_gaze_of_nagash_upgraded	wh_main_projectile_good_high_angle
nag_double_spell_vampires_gaze_of_nagash_upgraded	wh_main_spell_upgraded_projectiles
nag_double_spell_vampires_gaze_of_nagash	wh2_main_all_good_against_armour
nag_double_spell_vampires_gaze_of_nagash	wh2_main_all_magical_damage_moderate
nag_double_spell_vampires_gaze_of_nagash	wh_main_all_good_vs_large
nag_double_spell_vampires_gaze_of_nagash	wh_main_all_strong_against_single
nag_double_spell_vampires_gaze_of_nagash	wh_main_projectile_good_high_angle
nag_double_spell_vampires_invocation_of_nehek_upgraded	wh2_dlc15_heal_active_864
nag_double_spell_vampires_invocation_of_nehek_upgraded	wh_main_all_resurrect
nag_double_spell_vampires_invocation_of_nehek_upgraded	wh_main_all_resurrect_hp
nag_double_spell_vampires_invocation_of_nehek_upgraded	wh_main_spell_upgraded_added_effect_range
nag_double_spell_vampires_invocation_of_nehek	wh2_dlc15_heal_active_864
nag_double_spell_vampires_invocation_of_nehek	wh_main_all_resurrect
nag_double_spell_vampires_invocation_of_nehek	wh_main_all_resurrect_hp
nag_double_spell_vampires_raise_dead_upgraded	wh_main_all_defend_vs_charge
nag_double_spell_vampires_raise_dead_upgraded	wh_main_all_direct_damage_unbinding
nag_double_spell_vampires_raise_dead_upgraded	wh_main_spell_upgraded_summon_skeletons
nag_double_spell_vampires_raise_dead	wh_main_all_defend_vs_charge
nag_double_spell_vampires_raise_dead	wh_main_all_direct_damage_unbinding
nag_double_spell_vampires_raise_dead	wh_main_all_summon_zombies
nag_double_spell_vampires_vanhels_danse_macabre_upgraded	wh_main_spell_upgraded_added_effect_range
nag_double_spell_vampires_wind_of_death_upgraded	wh2_main_all_magical_damage_major
nag_double_spell_vampires_wind_of_death_upgraded	wh2_main_spell_medium_wind
nag_double_spell_vampires_wind_of_death_upgraded	wh_main_all_strong_against_units
nag_double_spell_vampires_wind_of_death_upgraded	wh_main_all_weak_against_single
nag_double_spell_vampires_wind_of_death_upgraded	wh_main_spell_upgraded_damage
nag_double_spell_vampires_wind_of_death	wh2_main_all_good_against_armour
nag_double_spell_vampires_wind_of_death	wh2_main_all_magical_damage_major
nag_double_spell_vampires_wind_of_death	wh2_main_spell_medium_wind
nag_double_spell_vampires_wind_of_death	wh_main_all_strong_against_units
nag_double_spell_vampires_wind_of_death	wh_main_all_weak_against_single
nag_army_abilities_endless_tomb	nag_summon_of_summon
nag_army_abilities_endless_tomb_hidden_raise_dead	nag_summon_of_summon
nag_army_abilities_blyramid_bombardment_targeting	wh2_main_army_ap_damage_explosion_ranged
nag_army_abilities_blyramid_bombardment_targeting	wh2_main_army_damage_explosion_ranged
nag_army_abilities_blyramid_bombardment_targeting	wh_main_all_magical
nag_army_abilities_blyramid_bombardment_targeting	wh_main_all_strong_against_units
nag_army_abilities_blyramid_bombardment_targeting	wh_main_all_weak_against_single
nag_nagash_abilities_master_arcane_conduit	wh_main_all_improved_recharge_rate
nag_nagash_abilities_master_arcane_conduit	nag_all_increased_max_power_very_high
nag_nagash_passive_death_magic_incarnate	nag_heal_active_990
nag_nagash_abilities_staff_of_power	nag_decreased_reserves
nag_nagash_abilities_staff_of_power	wh_main_all_reduced_recharge_rate
nag_unit_abilities_refuse_to_die	wh2_dlc12_refuse_to_die
nag_unit_abilities_feaster_of_souls	wh2_dlc15_heal_passive_4
nag_shade_haunt_dummy_vortex	wh_main_all_strong_against_units
nag_spectre_swarm_dummy_vortex	wh_main_all_strong_against_units
nag_passive_grim_aura	nag_summon_skeletons
nag_passive_grim_aura	wh_dlc06_automatic
nag_passive_grim_aura	wh_main_all_direct_damage_high
nag_passive_grim_aura	wh_main_all_direct_damage_unbinding
nag_passive_marshlight_aura	wh_main_all_direct_damage_resist
nag_passive_marshlight_aura	nag_drain_essence
nag_double_spell_vampires_curse_of_years	wh_main_spell_upgraded_cast_range
nag_double_spell_vampires_gaze_of_nagash	wh_main_spell_upgraded_cast_range
nag_double_spell_vampires_gaze_of_nagash_upgraded	wh_main_spell_upgraded_cast_range
nag_double_spell_vampires_invocation_of_nehek	wh_main_spell_upgraded_cast_range
nag_double_spell_vampires_invocation_of_nehek_upgraded	wh_main_spell_upgraded_cast_range
