battle_personality	group
#land_units_additional_personalities_groups_junctions_tables;0;db/land_units_additional_personalities_groups_junctions_tables/nagash_units	
nag_mortis_engine_banshee1	nag_mortis_engine
nag_mortis_engine_banshee2	nag_mortis_engine
nag_mortis_engine_banshee3	nag_mortis_engine
nag_mortis_engine_cairn_wraith1	nag_mortis_engine
nag_mortis_engine_cairn_wraith2	nag_mortis_engine
nag_mortis_engine_horse1	nag_mortis_engine
nag_mortis_engine_horse2	nag_mortis_engine
nag_mortis_engine_horse3	nag_mortis_engine
nag_mortis_engine_knight01	nag_mortis_engine
nag_mortis_engine_knight02	nag_mortis_engine
nag_mortis_engine_knight03	nag_mortis_engine
nag_mortis_engine_rider1	nag_mortis_engine
nag_mortis_engine_skeleton1	nag_mortis_engine
nag_mortis_engine_skeleton2	nag_mortis_engine
nag_mortis_engine_skeleton3	nag_mortis_engine
nag_mortis_engine_skeleton4	nag_mortis_engine
nag_mortis_engine_skeleton5	nag_mortis_engine
nag_mortis_engine_skeleton6	nag_mortis_engine
nag_hero_warsphinx_rider_0	nag_hero_warsphinx_rider_0
nag_hero_warsphinx_rider_1	nag_hero_warsphinx_rider_0
nag_hero_warsphinx_rider_2	nag_hero_warsphinx_rider_0
nag_hero_warsphinx_rider_3	nag_hero_warsphinx_rider_0
