id	incident_key	payload_key	value	target_key
#cdir_events_incident_payloads_tables;2;db/cdir_events_incident_payloads_tables/rhox_nagash				
1402080409	rhox_nagash_uber_husk	GIVE_TRAIT	TRAIT_LEVEL_KEY[rhox_nagash_uber_husk]	default
1402080410	rhox_nagash_azhag_mortarch	TEXT_DISPLAY	LOOKUP[nag_azhag_recruit]	default
1402080411	rhox_nagash_mortarch_notify	TEXT_DISPLAY	LOOKUP[nag_mortarch_confederation]	default
1402080412	rhox_nagash_declare_war	TEXT_DISPLAY	LOOKUP[nag_mortarch_war]	default
1402080413	rhox_nagash_harkon_restoed_incident	GIVE_TRAIT	TRAIT_LEVEL_KEY[wh2_dlc11_trait_harkon_personality_restored]	default
1402080414	rhox_nagash_mortarch_notify_coast	TEXT_DISPLAY	LOOKUP[nag_mortarch_confederation]	default
1402080415	rhox_nagash_declare_war_coast	TEXT_DISPLAY	LOOKUP[nag_mortarch_war]	default
1402080416	rhox_nagash_mortarch_notify_tk	TEXT_DISPLAY	LOOKUP[nag_mortarch_confederation]	default
1402080417	rhox_nagash_declare_war_tk	TEXT_DISPLAY	LOOKUP[nag_mortarch_war]	default
1402080418	rhox_nagash_mortarch_notify_jv	TEXT_DISPLAY	LOOKUP[nag_mortarch_confederation]	default
1402080419	rhox_nagash_declare_war_jv	TEXT_DISPLAY	LOOKUP[nag_mortarch_war]	default
1402080420	rhox_nagash_guin_arrive	TEXT_DISPLAY	LOOKUP[rhox_nagash_guinevere_joins]	default
