effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/rhox_nagash		
nag_spell_nagash_enable_abyssal_swarm	enable	wh_main_spell_nagash_abyssal_swarm
nag_spell_nagash_enable_abyssal_swarm_upgrade	enable	wh_main_spell_nagash_abyssal_swarm
nag_spell_nagash_enable_abyssal_swarm_upgrade	enable_overchage	wh_main_spell_nagash_abyssal_swarm
nag_spell_nagash_cooldown_abyssal_swarm	recharge_mod	wh_main_spell_nagash_abyssal_swarm
nag_spell_nagash_miscast_reduction_abyssal_swarm_upgraded	miscast_percentage_mod	wh_main_spell_nagash_abyssal_swarm_upgrade
nag_spell_nagash_reduce_wom_cost_abyssal_swarm	cost_mod	wh_main_spell_nagash_abyssal_swarm
nag_spell_nagash_reduce_wom_cost_abyssal_swarm_upgraded	cost_mod	wh_main_spell_nagash_abyssal_swarm_upgrade
nag_effect_ability_uses_abyssal_swarm	uses_mod	wh_main_spell_nagash_abyssal_swarm
nag_effect_ability_uses_abyssal_swarm	uses_mod	wh_main_spell_nagash_abyssal_swarm_upgrade
nag_spell_nagash_enable_breath_of_darkness	enable	wh_main_spell_nagash_breath_of_darkness
nag_spell_nagash_enable_breath_of_darkness_upgrade	enable	wh_main_spell_nagash_breath_of_darkness
nag_spell_nagash_enable_breath_of_darkness_upgrade	enable_overchage	wh_main_spell_nagash_breath_of_darkness
nag_spell_nagash_cooldown_breath_of_darkness	recharge_mod	wh_main_spell_nagash_breath_of_darkness
nag_spell_nagash_miscast_reduction_breath_of_darkness_upgraded	miscast_percentage_mod	wh_main_spell_nagash_breath_of_darkness_upgraded
nag_spell_nagash_reduce_wom_cost_breath_of_darkness	cost_mod	wh_main_spell_nagash_breath_of_darkness
nag_spell_nagash_reduce_wom_cost_breath_of_darkness_upgraded	cost_mod	wh_main_spell_nagash_breath_of_darkness_upgraded
nag_spell_nagash_enable_soul_stealer	enable	wh_main_spell_nagash_soul_stealer
nag_spell_nagash_reduce_wom_cost_soul_stealer	cost_mod	wh_main_spell_nagash_soul_stealer
nag_spell_nagash_enable_dark_riders	enable	wh_main_spell_nagash_dark_riders
nag_spell_nagash_enable_dark_riders_upgrade	enable	wh_main_spell_nagash_dark_riders
nag_spell_nagash_enable_dark_riders_upgrade	enable_overchage	wh_main_spell_nagash_dark_riders
nag_spell_nagash_cooldown_dark_riders	recharge_mod	wh_main_spell_nagash_dark_riders
nag_spell_nagash_miscast_reduction_dark_riders_upgraded	miscast_percentage_mod	wh_main_spell_nagash_dark_riders_upgraded
nag_spell_nagash_reduce_wom_cost_dark_riders	cost_mod	wh_main_spell_nagash_dark_riders
nag_spell_nagash_reduce_wom_cost_dark_riders_upgraded	cost_mod	wh_main_spell_nagash_dark_riders_upgraded
nag_spell_nagash_ability_uses_dark_riders	uses_mod	wh_main_spell_nagash_dark_riders
nag_spell_nagash_ability_uses_dark_riders	uses_mod	wh_main_spell_nagash_dark_riders_upgraded
nag_spell_nagash_enable_grave_call_master	enable	wh_main_spell_nagash_grave_call_master
nag_spell_nagash_enable_grave_call_master_hidden	enable	wh_main_spell_nagash_grave_call_hidden_dummy
nag_spell_nagash_enable_grave_call_master_upgrade	enable	wh_main_spell_nagash_grave_call_master
nag_spell_nagash_enable_grave_call_master_upgrade	enable_overchage	wh_main_spell_nagash_grave_call_master
nag_spell_nagash_cooldown_grave_call_master	recharge_mod	wh_main_spell_nagash_grave_call_master
nag_spell_nagash_miscast_reduction_grave_call_master_upgraded	miscast_percentage_mod	wh_main_spell_nagash_grave_call_master_upgraded
nag_spell_nagash_reduce_wom_cost_grave_call_master	cost_mod	wh_main_spell_nagash_grave_call_master
nag_spell_nagash_reduce_wom_cost_grave_call_master_upgraded	cost_mod	wh_main_spell_nagash_grave_call_master_upgraded
nag_spell_nagash_ability_uses_grave_call_master	uses_mod	wh_main_spell_nagash_grave_call_master
nag_spell_nagash_ability_uses_grave_call_master	uses_mod	wh_main_spell_nagash_grave_call_master_upgraded
nag_spell_nagash_ability_uses_grave_call_master_hidden	uses_mod	wh_main_spell_nagash_grave_call_hidden_dummy
nag_spell_nagash_enable_hand_of_dust	enable	wh_main_spell_nagash_hand_of_dust
nag_spell_nagash_reduce_wom_cost_hand_of_dust	cost_mod	wh_main_spell_nagash_hand_of_dust
nag_spell_nagash_ability_uses_hand_of_dust	uses_mod	wh_main_spell_nagash_hand_of_dust
nag_spell_nagash_enable_harbinger	enable	wh_main_spell_nagash_harbinger
nag_spell_nagash_enable_harbinger_upgrade	enable	wh_main_spell_nagash_harbinger
nag_spell_nagash_enable_harbinger_upgrade	enable_overchage	wh_main_spell_nagash_harbinger
nag_spell_nagash_cooldown_harbinger	recharge_mod	wh_main_spell_nagash_harbinger
nag_spell_nagash_ability_uses_harbinger	uses_mod	wh_main_spell_nagash_harbinger
nag_spell_nagash_miscast_reduction_harbinger	miscast_percentage_mod	wh_main_spell_nagash_harbinger
nag_spell_nagash_reduce_wom_cost_harbinger	cost_mod	wh_main_spell_nagash_harbinger
nag_spell_nagash_reduce_wom_cost_harbinger_upgraded	cost_mod	wh_main_spell_nagash_harbinger_upgraded
nag_effect_enable_bound_spell_nagash_dark_riders	enable	nag_bound_spell_nagash_dark_riders
nag_effect_enable_bound_spell_nagash_hand_of_dust	enable	nag_bound_spell_nagash_hand_of_dust
nag_effect_enable_bound_spell_nagash_breath_of_darkness	enable	nag_bound_spell_nagash_breath_of_darkness
nag_effect_enable_bound_spell_nagash_abyssal_swarm	enable	nag_bound_spell_nagash_abyssal_swarm
nag_effect_enable_bound_spell_nagash_soul_stealer	enable	nag_bound_spell_nagash_soul_stealer
nag_effect_enable_bound_spell_death_purple_sun	enable	nag_bound_spell_death_purple_sun
nag_effect_enable_bound_spell_death_soulblight	enable	wh2_dlc10_spell_bound_soulblight
nag_effect_enable_bound_spell_light_banishment	enable	nag_bound_spell_light_banishment
