effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/rhox_nagash_lore		
wh2_dlc14_effect_magic_cost_all_lores_percentage	cost_percentage_mod	wh_main_spell_nagash_dark_riders
wh2_dlc14_effect_magic_cost_all_lores_percentage	cost_percentage_mod	wh_main_spell_nagash_dark_riders_upgraded
wh2_dlc14_effect_magic_cost_all_lores_percentage	cost_percentage_mod	wh_main_spell_nagash_hand_of_dust
wh2_dlc14_effect_magic_cost_all_lores_percentage	cost_percentage_mod	wh_main_spell_nagash_hand_of_dust_upgraded
wh2_dlc14_effect_magic_cost_all_lores_percentage	cost_percentage_mod	wh_main_spell_nagash_breath_of_darkness
wh2_dlc14_effect_magic_cost_all_lores_percentage	cost_percentage_mod	wh_main_spell_nagash_breath_of_darkness_upgraded
wh2_dlc14_effect_magic_cost_all_lores_percentage	cost_percentage_mod	wh_main_spell_nagash_grave_call_secondary_hidden_01
wh2_dlc14_effect_magic_cost_all_lores_percentage	cost_percentage_mod	wh_main_spell_nagash_grave_call_secondary_hidden_02
wh2_dlc14_effect_magic_cost_all_lores_percentage	cost_percentage_mod	wh_main_spell_nagash_soul_stealer
wh2_dlc14_effect_magic_cost_all_lores_percentage	cost_percentage_mod	wh_main_spell_nagash_grave_call_master
wh2_dlc14_effect_magic_cost_all_lores_percentage	cost_percentage_mod	wh_main_spell_nagash_grave_call_master_upgraded
wh2_dlc14_effect_magic_cost_all_lores_percentage	cost_percentage_mod	wh_main_spell_nagash_abyssal_swarm
wh2_dlc14_effect_magic_cost_all_lores_percentage	cost_percentage_mod	wh_main_spell_nagash_abyssal_swarm_upgrade
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh_main_spell_nagash_dark_riders
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh_main_spell_nagash_dark_riders_upgraded
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh_main_spell_nagash_hand_of_dust
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh_main_spell_nagash_hand_of_dust_upgraded
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh_main_spell_nagash_breath_of_darkness
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh_main_spell_nagash_breath_of_darkness_upgraded
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh_main_spell_nagash_soul_stealer
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh_main_spell_nagash_grave_call_master
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh_main_spell_nagash_grave_call_master_upgraded
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh_main_spell_nagash_abyssal_swarm
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh_main_spell_nagash_abyssal_swarm_upgrade
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh_main_spell_nagash_harbinger
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh_main_spell_nagash_harbinger_upgraded
