effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/nagash		
nag_effect_landmark_manny_spell_cost	cost_mod	nag_double_spell_vampires_curse_of_years
nag_effect_landmark_manny_spell_cost	cost_mod	nag_double_spell_vampires_gaze_of_nagash
nag_effect_landmark_manny_spell_cost	cost_mod	nag_double_spell_vampires_gaze_of_nagash_upgraded
nag_effect_landmark_manny_spell_cost	cost_mod	nag_double_spell_vampires_invocation_of_nehek
nag_effect_landmark_manny_spell_cost	cost_mod	nag_double_spell_vampires_invocation_of_nehek_upgraded
nag_effect_landmark_manny_spell_cost	cost_mod	nag_double_spell_vampires_raise_dead
nag_effect_landmark_manny_spell_cost	cost_mod	nag_double_spell_vampires_raise_dead_upgraded
nag_effect_landmark_manny_spell_cost	cost_mod	nag_double_spell_vampires_vanhels_danse_macabre
nag_effect_landmark_manny_spell_cost	cost_mod	nag_double_spell_vampires_vanhels_danse_macabre_upgraded
nag_effect_landmark_manny_spell_cost	cost_mod	nag_double_spell_vampires_wind_of_death
nag_effect_landmark_manny_spell_cost	cost_mod	nag_double_spell_vampires_wind_of_death_upgraded
nag_spell_nagash_enable_abyssal_swarm	enable	wh_main_spell_nagash_abyssal_swarm
nag_spell_nagash_enable_abyssal_swarm_upgrade	enable	wh_main_spell_nagash_abyssal_swarm
nag_spell_nagash_enable_abyssal_swarm_upgrade	enable_overchage	wh_main_spell_nagash_abyssal_swarm
nag_spell_nagash_cooldown_abyssal_swarm	recharge_mod	wh_main_spell_nagash_abyssal_swarm
nag_spell_nagash_miscast_reduction_abyssal_swarm_upgraded	miscast_percentage_mod	wh_main_spell_nagash_abyssal_swarm_upgrade
nag_spell_nagash_reduce_wom_cost_abyssal_swarm	cost_mod	wh_main_spell_nagash_abyssal_swarm
nag_spell_nagash_reduce_wom_cost_abyssal_swarm_upgraded	cost_mod	wh_main_spell_nagash_abyssal_swarm_upgrade
nag_effect_ability_uses_abyssal_swarm	uses_mod	wh_main_spell_nagash_abyssal_swarm
nag_effect_ability_uses_abyssal_swarm	uses_mod	wh_main_spell_nagash_abyssal_swarm_upgrade
nag_spell_nagash_enable_breath_of_darkness	enable	wh_main_spell_nagash_breath_of_darkness
nag_spell_nagash_enable_breath_of_darkness_upgrade	enable	wh_main_spell_nagash_breath_of_darkness
nag_spell_nagash_enable_breath_of_darkness_upgrade	enable_overchage	wh_main_spell_nagash_breath_of_darkness
nag_spell_nagash_cooldown_breath_of_darkness	recharge_mod	wh_main_spell_nagash_breath_of_darkness
nag_spell_nagash_miscast_reduction_breath_of_darkness_upgraded	miscast_percentage_mod	wh_main_spell_nagash_breath_of_darkness_upgraded
nag_spell_nagash_reduce_wom_cost_breath_of_darkness	cost_mod	wh_main_spell_nagash_breath_of_darkness
nag_spell_nagash_reduce_wom_cost_breath_of_darkness_upgraded	cost_mod	wh_main_spell_nagash_breath_of_darkness_upgraded
nag_spell_nagash_enable_soul_stealer	enable	wh_main_spell_nagash_soul_stealer
nag_spell_nagash_enable_dark_riders	enable	wh_main_spell_nagash_dark_riders
nag_spell_nagash_enable_dark_riders_upgrade	enable	wh_main_spell_nagash_dark_riders
nag_spell_nagash_enable_dark_riders_upgrade	enable_overchage	wh_main_spell_nagash_dark_riders
nag_spell_nagash_cooldown_dark_riders	recharge_mod	wh_main_spell_nagash_dark_riders
nag_spell_nagash_miscast_reduction_dark_riders_upgraded	miscast_percentage_mod	wh_main_spell_nagash_dark_riders_upgraded
nag_spell_nagash_reduce_wom_cost_dark_riders	cost_mod	wh_main_spell_nagash_dark_riders
nag_spell_nagash_reduce_wom_cost_dark_riders_upgraded	cost_mod	wh_main_spell_nagash_dark_riders_upgraded
nag_spell_nagash_enable_grave_call_master	enable	wh_main_spell_nagash_grave_call_master
nag_spell_nagash_enable_grave_call_master	enable	wh_main_spell_nagash_grave_call_hidden_dummy
nag_spell_nagash_enable_grave_call_master_upgrade	enable	wh_main_spell_nagash_grave_call_master
nag_spell_nagash_enable_grave_call_master_upgrade	enable_overchage	wh_main_spell_nagash_grave_call_master
nag_spell_nagash_cooldown_grave_call_master	recharge_mod	wh_main_spell_nagash_grave_call_master
nag_spell_nagash_miscast_reduction_grave_call_master_upgraded	miscast_percentage_mod	wh_main_spell_nagash_grave_call_master_upgraded
nag_spell_nagash_reduce_wom_cost_grave_call_master	cost_mod	wh_main_spell_nagash_grave_call_master
nag_spell_nagash_reduce_wom_cost_grave_call_master_upgraded	cost_mod	wh_main_spell_nagash_grave_call_master_upgraded
nag_spell_nagash_enable_hand_of_dust	enable	wh_main_spell_nagash_hand_of_dust
nag_spell_nagash_enable_harbinger	enable	wh_main_spell_nagash_harbinger
nag_spell_nagash_enable_harbinger_upgrade	enable	wh_main_spell_nagash_harbinger
nag_spell_nagash_enable_harbinger_upgrade	enable_overchage	wh_main_spell_nagash_harbinger
nag_spell_nagash_cooldown_harbinger	recharge_mod	wh_main_spell_nagash_harbinger
nag_spell_nagash_miscast_reduction_harbinger_upgraded	miscast_percentage_mod	wh_main_spell_nagash_harbinger_upgraded
nag_spell_nagash_reduce_wom_cost_harbinger	cost_mod	wh_main_spell_nagash_harbinger
nag_spell_nagash_reduce_wom_cost_harbinger_upgraded	cost_mod	wh_main_spell_nagash_harbinger_upgraded
nag_effect_enable_bound_spell_nagash_dark_riders	enable	nag_bound_spell_nagash_dark_riders
nag_effect_enable_bound_spell_nagash_hand_of_dust	enable	nag_bound_spell_nagash_hand_of_dust
nag_effect_enable_bound_spell_nagash_breath_of_darkness	enable	nag_bound_spell_nagash_breath_of_darkness
nag_effect_enable_bound_spell_nagash_abyssal_swarm	enable	nag_bound_spell_nagash_abyssal_swarm
nag_effect_enable_bound_spell_nagash_soul_stealer	enable	nag_bound_spell_nagash_soul_stealer
nag_effect_enable_bound_spell_death_purple_sun	enable	nag_bound_spell_death_purple_sun
nag_effect_enable_bound_spell_death_soulblight	enable	wh2_dlc10_spell_bound_soulblight
nag_effect_enable_bound_spell_light_banishment	enable	nag_bound_spell_light_banishment
nag_effect_enable_bound_spell_light_phas_protection	enable	nag_bound_spell_light_phas_protection
nag_effect_enable_bound_spell_vamp_wind_of_death	enable	nag_bound_spell_vamp_wind_of_death
nag_effect_enable_bound_spell_vamp_curse_of_years	enable	nag_bound_spell_vamp_curse_of_years
nag_effect_enable_bound_spell_nehek_cursed_blades	enable	nag_bound_spell_nehek_cursed_blades
nag_effect_enable_bound_spell_nehek_skullstorm	enable	nag_bound_spell_nehek_skullstorm
nag_effect_enable_bound_spell_deep_krakens_pull	enable	nag_bound_spell_deep_krakens_pull
nag_effect_self_enable_ability_mortarch_of_despair	enable	nag_krell_passive_mortarch_of_despair
nag_effect_self_enable_ability_armour_of_barrow	enable	nag_krell_armour_passive_armour_of_barrow
nag_effect_self_arkhan_enable_mortarch_of_sacrements_summon	enable	nag_arkhan_abilities_mortarch_of_sacrements_swarm
nag_effect_self_neferata_enable_ability_blood_queen	enable	nag_neferata_passive_blood_queen
nag_effect_self_neferata_enable_ability_mortarch_of_blood	enable	nag_neferata_abilities_mortarch_of_blood_death
nag_effect_item_neferata_ability_enable_staff_of_pain	enable	nag_neferata_item_passive_staff_of_pain
nag_effect_item_neferata_ability_dagger_of_jet	enable	nag_neferata_item_passive_dagger_of_jet
nag_effect_number_uses_mortarch_of_sacrements	uses_mod	nag_arkhan_abilities_mortarch_of_sacrements_swarm
nag_effect_self_vlad_enable_mortarch_of_shadows_aura	enable	nag_vlad_passive_mortarch_of_shadows_aura
nag_effect_self_vlad_ability_upgrade_mortarch_of_shadows	enable	nag_vlad_passive_mortarch_of_shadows_aura_upgrade
nag_double_magic_lore_of_vampires_cooldown_rate	recharge_mod	wh_main_spell_vampires_curse_of_years
nag_double_magic_lore_of_vampires_cooldown_rate	recharge_mod	wh_main_spell_vampires_gaze_of_nagash
nag_double_magic_lore_of_vampires_cooldown_rate	recharge_mod	wh_main_spell_vampires_gaze_of_nagash_upgraded
nag_double_magic_lore_of_vampires_cooldown_rate	recharge_mod	wh_main_spell_vampires_invocation_of_nehek
nag_double_magic_lore_of_vampires_cooldown_rate	recharge_mod	wh_main_spell_vampires_invocation_of_nehek_upgraded
nag_double_magic_lore_of_vampires_cooldown_rate	recharge_mod	wh_main_spell_vampires_raise_dead
nag_double_magic_lore_of_vampires_cooldown_rate	recharge_mod	wh_main_spell_vampires_raise_dead_upgraded
nag_double_magic_lore_of_vampires_cooldown_rate	recharge_mod	wh_main_spell_vampires_vanhels_danse_macabre
nag_double_magic_lore_of_vampires_cooldown_rate	recharge_mod	wh_main_spell_vampires_vanhels_danse_macabre_upgraded
nag_double_magic_lore_of_vampires_cooldown_rate	recharge_mod	wh_main_spell_vampires_wind_of_death
nag_double_magic_lore_of_vampires_cooldown_rate	recharge_mod	wh_main_spell_vampires_wind_of_death_upgraded
nag_double_vampires_enable_invocation_of_nehek	enable	nag_double_spell_vampires_invocation_of_nehek
nag_double_vampires_reduce_wom_cost_invocation_of_nehek	cost_percentage_mod	nag_double_spell_vampires_invocation_of_nehek
nag_double_vampires_cooldown_invocation_of_nehek	recharge_mod	nag_double_spell_vampires_invocation_of_nehek
nag_double_vampires_enable_invocation_of_nehek_upgraded	enable	nag_double_spell_vampires_invocation_of_nehek_upgraded
nag_double_vampires_miscast_reduction_invocation_of_nehek_upgraded	miscast_percentage_mod	nag_double_spell_vampires_invocation_of_nehek_upgraded
nag_double_vampires_reduce_wom_cost_invocation_of_nehek_upgraded	cost_percentage_mod	nag_double_spell_vampires_invocation_of_nehek_upgraded
nag_double_vampires_enable_vanhels_danse_macabre	enable	nag_double_spell_vampires_vanhels_danse_macabre
nag_double_vampires_cooldown_vanhels_danse_macabre	recharge_mod	nag_double_spell_vampires_vanhels_danse_macabre
nag_double_vampires_reduce_wom_cost_vanhels_danse_macabre	cost_percentage_mod	nag_double_spell_vampires_vanhels_danse_macabre
nag_double_vampires_enable_vanhels_danse_macabre_upgraded	enable	nag_double_spell_vampires_vanhels_danse_macabre_upgraded
nag_double_vampires_miscast_reduction_vanhels_danse_macabre_upgraded	miscast_percentage_mod	nag_double_spell_vampires_vanhels_danse_macabre_upgraded
nag_double_vampires_reduce_wom_cost_vanhels_danse_macabre_upgraded	cost_percentage_mod	nag_double_spell_vampires_vanhels_danse_macabre_upgraded
nag_double_vampires_enable_gaze_of_nagash	enable	nag_double_spell_vampires_gaze_of_nagash
