ability	default_amount	max_amount	intensity_source	intensity_type	intensity_decay_delay	intensity_decay_duration	reset_intensity_in_reinforcement_pool
#special_ability_intensity_settings_tables;3;db/special_ability_intensity_settings_tables/rhox_nagash							
nag_nagash_abilities_mortis_blade	0.0000	500.0000	combined_time_in_melee_and_self_wom_spent	linear_multiplier	-1.0000	0.0000	false
wh_main_spell_nagash_dark_riders	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_spell_nagash_dark_riders_upgraded	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_lore_nagash_raise_the_dead	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_spell_nagash_hand_of_dust	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_spell_nagash_hand_of_dust_upgraded	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_spell_nagash_breath_of_darkness	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_spell_nagash_breath_of_darkness_upgraded	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_spell_nagash_harbinger	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_spell_nagash_harbinger_upgraded	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_spell_nagash_grave_call_hidden_dummy	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_spell_nagash_grave_call_secondary_hidden_01	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_spell_nagash_grave_call_secondary_hidden_02	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_spell_nagash_soul_stealer	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_spell_nagash_become_construct	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_spell_nagash_grave_call_master	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_spell_nagash_grave_call_master_upgraded	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_spell_nagash_abyssal_swarm	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_spell_nagash_abyssal_swarm_upgrade	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_spell_nagash_floating_vandus_catus	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
nag_unit_passive_doom_of_nagashizzar	1.0000	120.0000	kills_made	linear_multiplier	-1.0000	0.0000	false
nag_lord_passive_dreads_embrace	0.0000	100.0000	time_in_melee	linear_multiplier	-1.0000	0.0000	true
