bonus_value_id	effect	scripted_record
#effect_bonus_value_scripted_junctions_tables;0;db/effect_bonus_value_scripted_junctions_tables/rhox_nagash		
value	nag_effect_warpstone_token	rhox_nagash_warpstone_chance
value	nag_effect_raise_dead_max_cap	rhox_nagash_raisedead_cap
value	nag_effect_force_starting_health_zombies	recruit_hp_nag_vanilla_vmp_inf_zombie
value	nag_effect_enable_stance_tunnelling	tunnelling_nagash_boss
value	nag_effect_enable_stance_astromancy	astromancy_dieter_brains
value	rhox_nagash_lahmia_effect_levy_chance_up	rhox_nagash_lahmia_levy_chance
value	rhox_nagash_effect_rebel_spawn	rhox_nagash_lahmia_rebel_spawn
value	rhox_nagash_guinevere_effect_diplomacy_mod_prostitute_dummy	rhox_nagash_guine_prostitute
value	rhox_nagash_guinevere_effect_diplomacy_mod_settlement_action_dummy	rhox_nagash_guine_settlement
value	rhox_nagash_guinevere_effect_longer_stay_dummy	rhox_nagash_guine_longer_stay
value	rhox_nagash_kalledria_create_disciple_army	rhox_nagash_kalledria_disciple_army
