art_set_id	agent_type	culture	subculture	faction	is_custom	is_male	agent_subtype	campaign_map_scale
#campaign_character_art_sets_tables;6;db/campaign_character_art_sets_tables/rhox_nagash								
nag_nagash_boss	general				false	true	nag_nagash_boss	1.0000
nag_nagash_husk	general				false	true	nag_nagash_husk	1.0000
nag_mortarch_luthor_1	general				false	true	nag_mortarch_luthor	1.0000
nag_mortarch_luthor_2	general				false	true	nag_mortarch_luthor	1.0000
nag_mortarch_luthor_3	general				false	true	nag_mortarch_luthor	1.0000
nag_mortarch_luthor_4	general				false	true	nag_mortarch_luthor	1.0000
nag_mortarch_vlad	general				false	true	nag_mortarch_vlad	1.0000
nag_mortarch_mannfred	general				false	true	nag_mortarch_mannfred	1.0000
nag_mortarch_arkhan	general				false	true	nag_mortarch_arkhan	1.0000
nag_mortarch_krell	general				false	true	nag_mortarch_krell	1.0000
nag_mortarch_neferata	general				false	true	nag_mortarch_neferata	1.0000
nag_traitor_king_01	general				false	true	nag_traitor_king	1.0000
nag_traitor_king_02	general				false	true	nag_traitor_king	1.0000
nag_traitor_king_03	general				false	true	nag_traitor_king	1.0000
nag_traitor_king_04	general				false	true	nag_traitor_king	1.0000
nag_traitor_king_05	general				false	true	nag_traitor_king	1.0000
nag_mortarch_isabella	dignitary				false	false	nag_mortarch_isabella	1.0000
nag_tomb_prince_01	champion				false	true	nag_tomb_prince	1.0000
nag_tomb_prince_02	champion				false	true	nag_tomb_prince	1.0000
nag_tomb_prince_03	champion				false	true	nag_tomb_prince	1.0000
nag_tomb_prince_04	champion				false	true	nag_tomb_prince	1.0000
nag_tomb_prince_05	champion				false	true	nag_tomb_prince	1.0000
nag_liche_priest_01_nehek	wizard				false	true	nag_liche_priest_nehekhara	1.0000
nag_liche_priest_01_death	wizard				false	true	nag_liche_priest_death	1.0000
nag_liche_priest_01_light	wizard				false	true	nag_liche_priest_light	1.0000
nag_liche_priest_01_shadow	wizard				false	true	nag_liche_priest_shadow	1.0000
nag_liche_priest_01_undeath	wizard				false	true	nag_liche_priest_undeath	1.0000
nag_liche_priest_02_nehek	wizard				false	true	nag_liche_priest_nehekhara	1.0000
nag_liche_priest_02_death	wizard				false	true	nag_liche_priest_death	1.0000
nag_liche_priest_02_light	wizard				false	true	nag_liche_priest_light	1.0000
nag_liche_priest_02_shadow	wizard				false	true	nag_liche_priest_shadow	1.0000
nag_liche_priest_02_undeath	wizard				false	true	nag_liche_priest_undeath	1.0000
