faction	unit	name	variant	unit_card
#unit_variants_tables;5;db/unit_variants_tables/rhox_nagash				
	nag_nagash_husk	nag_nagash_husk	nag_nagash_husk	nag_nagash_husk
	nag_nagash_boss	nag_nagash_boss	nag_nagash_boss	nag_nagash_boss
	nag_mortarch_neferata	nag_mortarch_neferata	nag_neferata	nag_mortarch_neferata
	nag_mortarch_neferata_warhorse	nag_mortarch_neferata	nag_neferata_abyssal	nag_mortarch_neferata
	nag_mortarch_neferata_abyssal	nag_mortarch_neferata	nag_neferata_abyssal	nag_mortarch_neferata
	nag_mortarch_krell	nag_mortarch_krell	wh_pro03_vmp_ch_krell	wh_pro03_vmp_cha_krell
	nag_mortarch_vlad	nag_mortarch_vlad	wh_dlc04_vmp_ch_vlad	nag_mortarch_vlad
	nag_mortarch_mannfred	nag_mortarch_mannfred	wh_vmp_ch_mannfred	nag_mortarch_mannfred
	nag_mortarch_mannfred_warhorse	nag_mortarch_mannfred	wh_vmp_ch_mannfred	nag_mortarch_mannfred
	nag_mortarch_mannfred_abyssal	nag_mortarch_mannfred	wh_vmp_ch_mannfred	nag_mortarch_mannfred
	nag_mortarch_luthor	nag_mortarch_luthor	wh2_dlc11_cst_cha_luthor_harkon	nag_mortarch_luthor
	nag_mortarch_luthor_terrorgheist	nag_mortarch_luthor_terrorgheist	wh2_dlc11_cst_cha_luthor_harkon	nag_mortarch_luthor
	nag_mortarch_arkhan	nag_mortarch_arkhan	wh2_dlc09_tmb_ch_arkhan	nag_mortarch_arkhan
	nag_mortarch_arkhan_warhorse	nag_mortarch_arkhan	wh2_dlc09_tmb_ch_arkhan	nag_mortarch_arkhan
	nag_mortarch_arkhan_chariot	nag_mortarch_arkhan	wh2_dlc09_tmb_ch_arkhan	nag_mortarch_arkhan
	nag_mortarch_arkhan_abyssal	nag_mortarch_arkhan	wh2_dlc09_tmb_ch_arkhan	nag_mortarch_arkhan
	nag_mortarch_isabella	nag_mortarch_isabella	wh_pro02_vmp_ch_isabella	nag_mortarch_isabella
	nag_mortarch_isabella_hellsteed	nag_mortarch_isabella_hellsteed	wh_pro02_vmp_ch_isabella	nag_mortarch_isabella
	nag_mortarch_isabella_warhorse	nag_mortarch_isabella_warhorse	wh_pro02_vmp_ch_isabella	nag_mortarch_isabella
	nag_morghasts	nag_morghasts	nag_morghasts	nag_morghasts
	nag_morghasts_archai	nag_morghasts_archai	nag_morghasts_archai	nag_morghasts_archai
	nag_nagashi_guard	nag_nagashi_guard	nag_nagashi_guard	nag_nagashi_guard
	nag_nagashi_guard_halb	nag_nagashi_guard_halb	nag_nagashi_guard_halb	nag_nagashi_guard_halb
	nag_mortis_engine	nag_mortis_engine	wh_vmp_skeleton_spearmen	wh_dlc04_vmp_mortis_engine
	nag_bone_thrower	nag_bone_thrower	wh2_dlc09_tmb_skeleton_sword	nag_bone_thrower
	nag_bone_golems	nag_bone_golems	nag_bone_golems	nag_bone_golems
	nag_inf_zombie_construct	nag_inf_zombie_construct	wh_vmp_zombie	wh_main_vmp_zombies
	nag_inf_skeleton_warriors_endless_tomb_summoned	nag_inf_skeleton_warriors_endless_tomb_summoned	wh_vmp_skeleton	wh_main_vmp_skeleton_warrior_sword_rampage
	nag_inf_crypt_ghouls_construct	nag_inf_crypt_ghouls_construct	wh_vmp_ghoul	wh_main_vmp_crypt_ghoul
	nag_mon_crypt_horrors_construct	nag_mon_crypt_horrors_construct	wh_vmp_crypt_horror	wh_main_vmp_crypt_horrors
	nag_cav_hexwraiths_0_summon	nag_cav_hexwraiths_0_summon	wh_vmp_ghost_hexwraith	wh_main_vmp_hexwraiths
	nag_cav_black_knights_0_summon	nag_cav_black_knights_0_summon	wh_vmp_black_knight	wh_main_vmp_black_knights
	nag_hero_team_summon	nag_hero_team_summon	wh2_dlc11_cst_ch_vampire_fleet_admiral_female	wh_main_vmp_wight_king
	nag_hero_warsphinx_summon	nag_hero_warsphinx_summon	wh_vmp_ch_wight_king	wh2_dlc09_tmb_warsphinx
	nag_sand_crawlies	nag_sand_crawlies	nag_sand_crawlies	nag_sand_crawlies
	nag_carrion_riders	nag_carrion_riders	wh_vmp_ghost_cairnwraith	cr_nag_carrion_riders
	nag_giant_spoop	nag_giant_spoop	nag_giant_spoop	nag_placeholder
	nag_bone_colossus	nag_bone_colossus	nag_bone_colossus	nag_bone_colossus
	nag_endless_tomb	nag_endless_tomb	nag_endless_tomb	nag_endless_tomb
	nag_bombardment_targeting	nag_bombardment_targeting	nag_bombardment_targeting	nag_bombardment_targeting
	nag_warp_ghouls	nag_warp_ghouls	nag_warp_ghouls	nag_warp_ghouls
	nag_shade_haunts	nag_shade_haunts	wh_vmp_black_knight_lance	nag_shade_haunts
	nag_spirit_hosts	nag_spirit_hosts	wh_vmp_black_knight_lance	nag_spirit_hosts
	nag_spectre_swarm	nag_spectre_swarm	wh_vmp_black_knight_lance	nag_spectre_swarm
	nag_virion_plaguecart	nag_virion_plaguecart	nag_virion	nag_virion_plaguecart
	nag_revenants	nag_revenants	nag_revenants	nag_revenants
	nag_undead_chariot_unit	nag_undead_chariot_unit_crew	nag_undead_chariot_unit	nag_undead_chariot_unit
	vigpro_nagash_skeleton_orcs	vigpro_nagash_skeleton_orcs	vigpro_nagash_skeleton_orcs	vigpro_nagash_skeleton_orcs
	vigpro_nagash_skeleton_giant	vigpro_nagash_skeleton_giant	vigpro_nagash_skeleton_giant	vigpro_nagash_skeleton_giant
	vigpro_nagash_skeleton_goblin_range	vigpro_nagash_skeleton_goblin_range	vigpro_nagash_skeleton_goblin_range	vigpro_nagash_skeleton_goblin_range
	vigpro_nagash_skeleton_goblin_melee	vigpro_nagash_skeleton_goblin_melee	vigpro_nagash_skeleton_goblin_melee	vigpro_nagash_skeleton_goblin_melee
	vigpro_nagash_skeleton_troll_1h	vigpro_nagash_skeleton_troll_1h	vigpro_nagash_skeleton_troll_1h	vigpro_nagash_skeleton_troll_1h
	vigpro_nagash_skeleton_troll_2h	vigpro_nagash_skeleton_troll_2h	vigpro_nagash_skeleton_troll_2h	vigpro_nagash_skeleton_troll_2h
	nag_skeleton_reaper	nag_skeleton_reaper	nag_skeleton_reaper	nag_skeleton_reaper
	nag_doomed_legion	nag_doomed_legion	nag_doomed_legion	nag_doom_legion
	nag_blood_beasts	nag_blood_beasts	nag_blood_beasts	nag_blood_beast
	nag_thrall_crossbowmen	nag_thrall_crossbowmen	wh_emp_state_troops_crossbowmen	wh2_dlc11_vmp_crossbowmen
	nag_thrall_handgunners	nag_thrall_handgunners	wh_emp_state_troops_handgunners	wh2_dlc11_vmp_handgunners
	burning_dead_ror	burning_dead_ror	burning_dead_ror_vmd	burning_dead_ror
	nag_guinevere	wh_pro02_vmp_cha_isabella_von_carstein	vmp_genevieve	vmp_genevieve
	nag_guinevere_warhorse	wh_pro02_vmp_cha_isabella_von_carstein	vmp_genevieve	vmp_genevieve
	nag_lahmia_neferata	nag_mortarch_neferata	nag_neferata	nag_mortarch_neferata
	nag_lahmia_neferata_warhorse	nag_mortarch_neferata	nag_neferata_abyssal	nag_mortarch_neferata
	nag_lahmia_neferata_hellsteed	nag_mortarch_neferata	nag_neferata_abyssal	nag_mortarch_neferata
	nag_throne_guard	nag_throne_guard	nag_throne_guard	nag_throne_guard
	nag_nagashi_knights	nag_nagashi_knights	nag_nagashi_knights	nag_nagashi_knights
	nag_doom_knights	nag_doom_knights	nag_doom_knights	nag_doom_knights
	nag_druthor	nag_druthor	nag_druthor	nag_druthor
