key	campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables	5	db/character_skill_nodes_tables/nagash_skills
nag_skill_supreme_innate_nagash		nag_skill_supreme_innate_nagash	nag_skill_node_set_nagash_boss		6.0	0.0		0	0	true
nag_skill_supreme_nagash_unique_0		nag_skill_unique_nagash_morikhane	nag_skill_node_set_nagash_boss		0.0	0.0		0	0	true
nag_skill_supreme_nagash_unique_1		nag_skill_unique_nagash_mortis	nag_skill_node_set_nagash_boss		0.0	1.0		0	0	true
nag_skill_supreme_nagash_unique_2		nag_skill_unique_nagash_nine_books	nag_skill_node_set_nagash_boss		0.0	2.0		0	0	true
nag_skill_supreme_nagash_unique_3		nag_skill_unique_nagash_alakanash	nag_skill_node_set_nagash_boss		0.0	3.0		0	0	true
nag_skill_supreme_nagash_unique_4		nag_skill_unique_nagash_crown	nag_skill_node_set_nagash_boss		0.0	4.0		0	0	true
nag_skill_supreme_nagash_unique_5		nag_skill_personal_nagash_supreme_lord	nag_skill_node_set_nagash_boss		0.0	5.0		0	0	true
nag_skill_supreme_nagash_unique_6		nag_skill_personal_nagash_undying_king	nag_skill_node_set_nagash_boss		0.0	6.0		0	0	true
nag_skill_supreme_nagash_unique_7		nag_skill_personal_nagash_great_necromancer	nag_skill_node_set_nagash_boss		0.0	7.0		0	0	true
nag_skill_supreme_nagash_unique_8		nag_skill_personal_nagash_world_at_peace	nag_skill_node_set_nagash_boss		0.0	8.0		0	0	true
nag_skill_supreme_nagash_unique_9		nag_skill_personal_nagash_fate_of_flesh	nag_skill_node_set_nagash_boss		0.0	9.0		0	0	true
nag_skill_supreme_nagash_magic1_0		nag_skill_wh_main_spell_nagash_abyssal_swarm	nag_skill_node_set_nagash_boss		1.0	0.0		0	0	true
nag_skill_supreme_nagash_magic1_1		nag_skill_wh_main_spell_nagash_breath_of_darkness	nag_skill_node_set_nagash_boss		1.0	1.0		0	0	true
nag_skill_supreme_nagash_magic1_2		nag_skill_wh_main_spell_nagash_soul_stealer	nag_skill_node_set_nagash_boss		1.0	2.0		0	0	true
nag_skill_supreme_nagash_magic1_3		nag_skill_wh_main_spell_nagash_dark_riders	nag_skill_node_set_nagash_boss		1.0	3.0		0	0	true
nag_skill_supreme_nagash_magic1_4		nag_skill_wh_main_spell_nagash_grave_call_master	nag_skill_node_set_nagash_boss		1.0	4.0		0	0	true
nag_skill_supreme_nagash_magic1_5		wh_main_skill_all_magic_all_06_evasion	nag_skill_node_set_nagash_boss		1.0	5.0		0	4	true
nag_skill_supreme_nagash_magic1_6		nag_skill_wh_main_spell_nagash_hand_of_dust	nag_skill_node_set_nagash_boss		1.0	6.0		0	0	true
nag_skill_supreme_nagash_magic1_7		nag_skill_wh_main_spell_nagash_harbinger	nag_skill_node_set_nagash_boss		1.0	7.0		0	0	true
nag_skill_supreme_nagash_magic1_8		nag_skill_magic_nagash_arch_necromancer	nag_skill_node_set_nagash_boss		1.0	8.0		0	0	true
nag_skill_supreme_nagash_magic1_9		wh2_dlc14_skilll_all_magic_all_greater_arcane_conduit	nag_skill_node_set_nagash_boss		1.0	9.0		0	0	true
nag_skill_supreme_nagash_magic1_10		nag_skill_magic_nagash_death_magic_incarnate	nag_skill_node_set_nagash_boss		1.0	10.0		0	4	true
nag_skill_supreme_nagash_magic1_dummy		nag_skill_magic_nagash_dummy_breath_grave_call	nag_skill_node_set_nagash_boss		1.0	11.0		1	0	false
nag_skill_supreme_nagash_magic2_0		nag_skill_wh_main_spell_death_spirit_leech	nag_skill_node_set_nagash_boss		2.0	0.0		0	0	true
nag_skill_supreme_nagash_magic2_1		nag_skill_wh_main_lore_passive_life_leeching	nag_skill_node_set_nagash_boss		2.0	1.0		0	0	true
nag_skill_supreme_nagash_magic2_2		nag_skill_wh_main_spell_death_soulblight	nag_skill_node_set_nagash_boss		2.0	2.0		0	0	true
nag_skill_supreme_nagash_magic2_3		nag_skill_wh_main_spell_death_the_purple_sun_of_xereus	nag_skill_node_set_nagash_boss		2.0	3.0		0	0	true
nag_skill_supreme_nagash_magic2_4		nag_skill_wh_main_spell_vampires_gaze_of_nagash	nag_skill_node_set_nagash_boss		2.0	4.0		0	0	true
nag_skill_supreme_nagash_magic2_5		nag_skill_wh_main_lore_passive_the_curse_of_undeath	nag_skill_node_set_nagash_boss		2.0	5.0		0	0	true
nag_skill_supreme_nagash_magic2_6		nag_skill_wh_main_spell_vampires_invocation_of_nehek	nag_skill_node_set_nagash_boss		2.0	8.0		0	0	true
nag_skill_supreme_nagash_magic2_7		nag_skill_wh_main_spell_vampires_wind_of_death	nag_skill_node_set_nagash_boss		2.0	9.0		0	0	true
nag_skill_supreme_nagash_magic2_dummy		nag_skill_magic_nagash_dummy_spirit_leech_gaze_of_nagash	nag_skill_node_set_nagash_boss		2.0	10.0		1	0	false
nag_skill_supreme_nagash_magic3_0		nag_skill_wh_main_spell_nehekhara_djafs_incantation_of_cursed_blades	nag_skill_node_set_nagash_boss		3.0	0.0		0	0	true
nag_skill_supreme_nagash_magic3_1		nag_skill_wh_main_lore_passive_the_restless_dead	nag_skill_node_set_nagash_boss		3.0	1.0		0	0	true
nag_skill_supreme_nagash_magic3_2		nag_skill_wh_main_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	nag_skill_node_set_nagash_boss		3.0	2.0		0	0	true
nag_skill_supreme_nagash_magic3_3		nag_skill_wh_main_spell_nehekhara_usirians_incantation_of_vengeance	nag_skill_node_set_nagash_boss		3.0	3.0		0	0	true
nag_skill_supreme_nagash_magic3_4		nag_skill_wh_main_spell_light_banishment	nag_skill_node_set_nagash_boss		3.0	4.0		0	0	true
nag_skill_supreme_nagash_magic3_5		nag_skill_wh_main_lore_passive_exorcism	nag_skill_node_set_nagash_boss		3.0	5.0		0	0	true
nag_skill_supreme_nagash_magic3_6		nag_skill_wh_main_spell_light_bironas_timewarp	nag_skill_node_set_nagash_boss		3.0	8.0		0	0	true
nag_skill_supreme_nagash_magic3_7		nag_skill_wh_main_spell_light_shems_burning_gaze	nag_skill_node_set_nagash_boss		3.0	9.0		0	0	true
nag_skill_supreme_nagash_magic3_dummy		nag_skill_magic_nagash_dummy_cursed_blades_banishment	nag_skill_node_set_nagash_boss		3.0	10.0		1	0	false
nag_skill_supreme_nagash_army_0		wh2_dlc09_skill_tmb_lord_army_base	nag_skill_node_set_nagash_boss		4.0	0.0		0	0	true
nag_skill_supreme_nagash_army_1		nag_skill_army_buff_ranged	nag_skill_node_set_nagash_boss		4.0	1.0		0	0	true
nag_skill_supreme_nagash_army_2		nag_skill_army_buff_infantry	nag_skill_node_set_nagash_boss		4.0	2.0		0	0	true
nag_skill_supreme_nagash_army_3		nag_skill_army_buff_cav	nag_skill_node_set_nagash_boss		4.0	3.0		0	0	true
nag_skill_supreme_nagash_army_4		nag_skill_army_buff_beasts	nag_skill_node_set_nagash_boss		4.0	4.0		0	0	true
nag_skill_supreme_nagash_army_5		nag_skill_army_buff_spirit	nag_skill_node_set_nagash_boss		4.0	5.0		0	0	true
nag_skill_supreme_nagash_army_6		nag_skill_army_buff_construct	nag_skill_node_set_nagash_boss		4.0	6.0		0	0	true
nag_skill_supreme_nagash_army_7		wh2_dlc09_skill_tmb_lord_rally	nag_skill_node_set_nagash_boss		4.0	7.0		0	5	true
nag_skill_supreme_nagash_army_8		nag_skill_army_buff_vet_vamp	nag_skill_node_set_nagash_boss		4.0	8.0		0	0	true
nag_skill_supreme_nagash_army_9		nag_skill_army_buff_vet_nehek	nag_skill_node_set_nagash_boss		4.0	9.0		0	0	true
nag_skill_supreme_nagash_army_10		nag_skill_army_buff_vet_coast	nag_skill_node_set_nagash_boss		4.0	10.0		0	0	true
nag_skill_supreme_nagash_army_11		nag_skill_army_buff_vet_nagash	nag_skill_node_set_nagash_boss		4.0	11.0		0	0	true
nag_skill_supreme_nagash_army_12		wh2_dlc09_skill_tmb_lord_rally_upgraded	nag_skill_node_set_nagash_boss		4.0	12.0		0	1	true
nag_skill_supreme_nagash_campaign_0		nag_skill_campaign_movement	nag_skill_node_set_nagash_boss		5.0	0.0		0	0	true
