effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;3;db/effects_tables/nagash_caps					
nag_effect_unit_cap_nagashi_guard	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_nagashi_guard_halb	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_bone_golems	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_morghasts	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_sand_crawlies	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_carrion_riders	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_mortis_engine	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_bone_thrower	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_nehekhara_warriors_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_tomb_guard_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_tomb_guard_1	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_skeleton_horsemen_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_skeleton_horsemen_archers_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_nehekhara_horsemen_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_necropolis_knights_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_necropolis_knights_1	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_skeleton_archer_chariot_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_skeleton_chariot_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_ushabti_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_ushabti_1	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_sepulchral_stalkers_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_tomb_scorpion_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_khemrian_warsphinx_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_necrosphinx_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_bone_giant_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_screaming_skull_catapult_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_casket_of_souls_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_crypt_ghouls	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_cairn_wraiths	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_grave_guard_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_grave_guard_1	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_black_knights_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_black_knights_3	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_hexwraiths	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_blood_knights_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_corpse_cart_1	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_corpse_cart_2	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_vargheists	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_crypt_horrors	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_varghulf	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_zombie_gunnery_mob_1	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_deck_gunners_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_depth_guard_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_carronade	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_necrofex_colossus_0	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_terrorgheist	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_spectre_swarm	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_spirit_hosts	unit_capacity.png	1	unit_capacity.png	campaign	true
nag_effect_unit_cap_warp_ghouls	unit_capacity.png	1	unit_capacity.png	campaign	true
