special_ability_groups	unit_special_abilities
#special_ability_groups_to_unit_abilities_junctions_tables;1;db/special_ability_groups_to_unit_abilities_junctions_tables/nagash	
wh2_main_lore_nagash	wh_main_lore_nagash_raise_the_dead
wh2_main_lore_nagash	wh_main_spell_nagash_dark_riders
wh2_main_lore_nagash	wh_main_spell_nagash_hand_of_dust
wh2_main_lore_nagash	wh_main_spell_nagash_breath_of_darkness
wh2_main_lore_nagash	wh_main_spell_nagash_soul_stealer
wh2_main_lore_nagash	wh_main_spell_nagash_grave_call_hidden_dummy
wh2_main_lore_nagash	wh_main_spell_nagash_grave_call_master
wh2_main_lore_nagash	wh_main_spell_nagash_abyssal_swarm
wh2_main_lore_nagash_death_vamp	wh_main_lore_passive_life_leeching
wh2_main_lore_nagash_death_vamp	wh_main_spell_death_spirit_leech
wh2_main_lore_nagash_death_vamp	wh_main_spell_death_soulblight
wh2_main_lore_nagash_death_vamp	wh_main_spell_death_the_purple_sun_of_xereus
wh2_main_lore_nagash_death_vamp	wh_main_lore_passive_the_curse_of_undeath
wh2_main_lore_nagash_death_vamp	nag_double_spell_vampires_gaze_of_nagash
wh2_main_lore_nagash_death_vamp	nag_double_spell_vampires_invocation_of_nehek
wh2_main_lore_nagash_death_vamp	nag_double_spell_vampires_wind_of_death
wh2_main_lore_nagash_nehek_light	wh2_dlc09_lore_passive_the_restless_dead
wh2_main_lore_nagash_nehek_light	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades
wh2_main_lore_nagash_nehek_light	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm
wh2_main_lore_nagash_nehek_light	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance
wh2_main_lore_nagash_nehek_light	wh_main_lore_passive_exorcism
wh2_main_lore_nagash_nehek_light	wh_main_spell_light_banishment
wh2_main_lore_nagash_nehek_light	wh_main_spell_light_bironas_timewarp
wh2_main_lore_nagash_nehek_light	wh_main_spell_light_shems_burning_gaze
wh_main_lore_double_vampires	wh_main_lore_passive_the_curse_of_undeath
wh_main_lore_double_vampires	nag_double_spell_vampires_curse_of_years
wh_main_lore_double_vampires	nag_double_spell_vampires_gaze_of_nagash
wh_main_lore_double_vampires	nag_double_spell_vampires_invocation_of_nehek
wh_main_lore_double_vampires	nag_double_spell_vampires_raise_dead
wh_main_lore_double_vampires	nag_double_spell_vampires_vanhels_danse_macabre
wh_main_lore_double_vampires	nag_double_spell_vampires_wind_of_death
wh2_main_lore_undeath	wh_main_lore_nagash_raise_the_dead
wh2_main_lore_undeath	wh_main_spell_nagash_dark_riders
wh2_main_lore_undeath	wh_main_spell_nagash_hand_of_dust
wh2_main_lore_undeath	wh_main_spell_nagash_breath_of_darkness
wh2_main_lore_undeath	wh_main_spell_nagash_soul_stealer
wh2_main_lore_undeath	wh_main_spell_nagash_grave_call_hidden_dummy
wh2_main_lore_undeath	wh_main_spell_nagash_grave_call_master
wh2_main_lore_undeath	wh_main_spell_nagash_abyssal_swarm
