special_ability_groups	unit_special_abilities
#special_ability_groups_to_unit_abilities_junctions_tables;1;db/special_ability_groups_to_unit_abilities_junctions_tables/rhox_nagash	
wh2_main_lore_undeath	wh_main_lore_nagash_raise_the_dead
wh2_main_lore_undeath	wh_main_spell_nagash_dark_riders
wh2_main_lore_undeath	wh_main_spell_nagash_hand_of_dust
wh2_main_lore_undeath	wh_main_spell_nagash_breath_of_darkness
wh2_main_lore_undeath	wh_main_spell_nagash_soul_stealer
wh2_main_lore_undeath	wh_main_spell_nagash_grave_call_hidden_dummy
wh2_main_lore_undeath	wh_main_spell_nagash_grave_call_master
wh2_main_lore_undeath	wh_main_spell_nagash_abyssal_swarm
wh2_main_lore_undeath_upgraded	wh_main_spell_nagash_dark_riders_upgraded
wh2_main_lore_undeath_upgraded	wh_main_spell_nagash_breath_of_darkness_upgraded
wh2_main_lore_undeath_upgraded	wh_main_spell_nagash_harbinger_upgraded
wh2_main_lore_undeath_upgraded	wh_main_spell_nagash_grave_call_master_upgraded
wh2_main_lore_undeath_upgraded	wh_main_spell_nagash_abyssal_swarm_upgrade
