building_chain	id
#building_chain_availability_sets_tables;0;db/building_chain_availability_sets_tables/jvj_nagash_buildings	
nag_bpyramid_main	nag_nagash
nag_bpyramid_ew2_mortuary	nag_nagash
nag_bpyramid_ew1_barracks	nag_nagash
nag_bpyramid_ww1_stables	nag_nagash
nag_bpyramid_ww2_warmachines	nag_nagash
nag_bpyramid_main_obelisk	nag_nagash
nag_bpyramid_ew4_other	nag_nagash
nag_bpyramid_ww4_extra	nag_nagash
nag_bpyramid_ew3_growth	nag_nagash
nag_bpyramid_ww3_industry	nag_nagash
nag_bpyramid_hidden	nag_nagash
nag_outpost_primary_main	nag_nagash
nag_outpost_primary_main_coast	nag_nagash
nag_outpostnorsca_primary_main	nag_nagash
nag_outpostnorsca_primary_main_coast	nag_nagash
nag_outpost_secondary_main	nag_nagash
nag_outpost_secondary_main_coast	nag_nagash
nag_outpostnorsca_secondary_main	nag_nagash
nag_outpostnorsca_secondary_main_coast	nag_nagash
nag_outpost_main_port	nag_nagash
nag_outpost_primary_research	nag_nagash
nag_outpost_primary_arcane	nag_nagash
nag_outpost_primary_support	nag_nagash
nag_outpost_primary_nehek	nag_nagash
nag_outpost_primary_nagashizzar	nag_nagash
nag_outpost_primary_coast	nag_nagash
nag_outpost_primary_count	nag_nagash
nag_outpost_primary_warpstone	nag_nagash
nag_outpost_secondary_fields	nag_nagash
nag_outpost_secondary_corruption	nag_nagash
nag_outpost_secondary_syphon	nag_nagash
nag_outpost_secondary_energy	nag_nagash
nag_nagash_horde_special	nag_nagash
nag_arkhan_horde_special	nag_nagash
nag_vlad_horde_special	nag_nagash
nag_neffy_horde_special	nag_nagash
nag_manny_horde_special	nag_nagash
nag_krell_horde_special	nag_nagash
nag_luthor_horde_special	nag_nagash
nag_nagash_horde_landmark	nag_nagash
nag_arkhan_horde_landmark	nag_nagash
nag_vlad_horde_landmark	nag_nagash
nag_neffy_horde_landmark	nag_nagash
nag_manny_horde_landmark	nag_nagash
nag_krell_horde_landmark	nag_nagash
nag_luthor_horde_landmark	nag_nagash
nag_horde_military1_barracks	nag_nagash
nag_horde_military2_stables	nag_nagash
nag_horde_military3_warmachines	nag_nagash
