building_chain	id
#building_chain_availability_sets_tables;0;db/building_chain_availability_sets_tables/rhox_nagash_copied_landmark	
rhox_nagash_special_black_tower_of_arkhan	nag_nagash
rhox_nagash_special_pyramid_alcadizaar	nag_nagash
rhox_nagash_special_pyramid_amenemhetum	nag_nagash
rhox_nagash_special_pyramid_khatep	nag_nagash
rhox_nagash_special_pyramid_phar	nag_nagash
rhox_nagash_special_pyramid_settra	nag_nagash
rhox_nagash_special_pyramid_tutankhanut	nag_nagash
rhox_nagash_special_college_of_magic_vampires	nag_nagash
rhox_nagash_special_blood_keep	nag_nagash
rhox_nagash_special_castle_drachenfels	nag_nagash
rhox_nagash_special_mousillon_merovech	nag_nagash
rhox_nagash_special_ghrond_convent_of_sorcery_vmp	nag_nagash
rhox_nagash_special_ogham_stones	nag_nagash
rhox_nagash_special_standing_stones_others	nag_nagash
