building_chain	id
#building_chain_availability_sets_tables;0;db/building_chain_availability_sets_tables/rhox_nagash_unorthodox	
wh2_dlc11_special_settlement_galleons_graveyard_other	nag_nagash
wh3_main_special_settlement_bastion_other	nag_nagash
wh3_main_special_settlement_fort_other	nag_nagash
wh2_main_wef_oak_of_ages_occupied	nag_nagash
wh_main_special_erengrad_port	nag_nagash
wh_main_special_marienburg_port	nag_nagash
wh2_dlc14_special_dragon_isle_port	nag_nagash
wh2_main_special_lothern_port_other	nag_nagash
wh2_main_special_fortress_gate_eagle_untainted	nag_nagash
wh2_main_special_fortress_gate_griffon_untainted	nag_nagash
wh2_main_special_fortress_gate_phoenix_untainted	nag_nagash
wh2_main_special_fortress_gate_unicorn_untainted	nag_nagash
wh2_dlc14_special_nagashizzar_vmp	nag_nagash
wh2_dlc15_special_graves_of_the_dragons_vmp	nag_nagash
wh2_dlc15_special_morgheim_necropolis_vmp	nag_nagash
wh2_main_special_drakenhof_court	nag_nagash
wh_pro02_VAMPIRES_isabella_unique	nag_nagash
wh2_main_special_quintex	nag_nagash
wh3_main_special_the_great_desert_other	nag_nagash
wh2_dlc15_special_fortress_of_vorag_tower_of_the_bloodytooth_vmp	nag_nagash
wh2_dlc11_special_ancient_vault	nag_nagash
wh2_main_special_shrine_of_asuryan_vmp	nag_nagash
wh2_main_special_shrine_of_khaine_vmp	nag_nagash
wh3_main_special_desecrated_grove	nag_nagash
wh2_main_special_altar_of_ultimate_darkness_vmp	nag_nagash
