building_chain	id
#building_chain_availability_sets_tables;0;db/building_chain_availability_sets_tables/jvj_nagash_buildings_outposts	
nag_outpost_primary_main	nag_nagash
nag_outpost_primary_main_coast	nag_nagash
nag_outpost_norsca_primary_main	nag_nagash
nag_outpost_norsca_primary_main_coast	nag_nagash
nag_outpost_secondary_main	nag_nagash
nag_outpost_secondary_main_coast	nag_nagash
nag_outpost_norsca_secondary_main	nag_nagash
nag_outpost_norsca_secondary_main_coast	nag_nagash
nag_outpost_main_port	nag_nagash
nag_outpost_primary_main_altdorf	nag_nagash
nag_outpost_primary_main_athel_loren	nag_nagash
nag_outpost_primary_main_black_crag	nag_nagash
nag_outpost_primary_main_castle_drakenhof	nag_nagash
nag_outpost_primary_main_couronne	nag_nagash
nag_outpost_primary_main_eight_peaks	nag_nagash
nag_outpost_primary_main_gaean_vale	nag_nagash
nag_outpost_primary_main_hexoatl	nag_nagash
nag_outpost_primary_main_itza	nag_nagash
nag_outpost_primary_main_karaz_a_karak	nag_nagash
nag_outpost_primary_main_khemri	nag_nagash
nag_outpost_primary_main_kislev	nag_nagash
nag_outpost_primary_main_konquata	nag_nagash
nag_outpost_primary_main_lahmia	nag_nagash
nag_outpost_primary_main_lothern	nag_nagash
nag_outpost_primary_main_miragliano	nag_nagash
nag_outpost_primary_main_naggarond	nag_nagash
nag_outpost_primary_main_pyramid_of_nagash	nag_nagash
nag_outpost_primary_main_massif_orcal	nag_nagash
nag_outpost_primary_main_tor_yvresse	nag_nagash
nag_outpost_primary_main_galleons_graveyard	nag_nagash
nag_outpost_primary_main_sartosa	nag_nagash
nag_outpost_primary_main_awakening	nag_nagash
nag_outpost_primary_main_hellpit	nag_nagash
nag_outpost_primary_main_skavenblight	nag_nagash
nag_outpost_primary_main_empire_fort	nag_nagash
nag_outpost_primary_main_fortress_gate_eagle	nag_nagash
nag_outpost_primary_main_fortress_gate_griffon	nag_nagash
nag_outpost_primary_main_fortress_gate_phoenix	nag_nagash
nag_outpost_primary_main_fortress_gate_unicorn	nag_nagash
nag_outpost_primary_main_elven_colony	nag_nagash
nag_outpost_primary_main_elven_minor_colony	nag_nagash
nag_outpost_primary_main_oak_of_ages	nag_nagash
nag_outpost_landmark_necropolis_mourkain	nag_nagash
nag_outpost_landmark_boneyard_mourkain	nag_nagash
nag_outpost_landmark_copher_port	nag_nagash
nag_outpost_landmark_bordeleaux_port	nag_nagash
nag_outpost_landmark_dragon_isle_port	nag_nagash
nag_outpost_landmark_lothern_port	nag_nagash
nag_outpost_landmark_erengrad_port	nag_nagash
nag_outpost_landmark_marienburg_port	nag_nagash
nag_outpost_landmark_albion_port	nag_nagash
nag_outpost_special_nagashizzar	nag_nagash
nag_outpost_special_mourkain	nag_nagash
nag_outpost_special_lahmia	nag_nagash
nag_outpost_special_khemri	nag_nagash
nag_outpost_special_awakening	nag_nagash
nag_outpost_special_drakenhof	nag_nagash
nag_outpost_special_quintex	nag_nagash
nag_outpost_primary_research	nag_nagash
nag_outpost_primary_arcane	nag_nagash
nag_outpost_primary_support	nag_nagash
nag_outpost_primary_nehek	nag_nagash
nag_outpost_primary_nagashizzar	nag_nagash
nag_outpost_primary_coast	nag_nagash
nag_outpost_primary_count	nag_nagash
nag_outpost_primary_warpstone	nag_nagash
nag_outpost_secondary_fields	nag_nagash
nag_outpost_secondary_corruption	nag_nagash
nag_outpost_secondary_syphon	nag_nagash
nag_outpost_secondary_energy	nag_nagash
nag_settlement_cavalry	nag_nagash
nag_settlement_chariots	nag_nagash
nag_settlement_citadel	nag_nagash
nag_settlement_defence_major	nag_nagash
nag_settlement_estate	nag_nagash
nag_settlement_growth	nag_nagash
nag_settlement_income	nag_nagash
nag_settlement_infantry	nag_nagash
nag_settlement_necrosphinx	nag_nagash
nag_settlement_scorpions	nag_nagash
nag_settlement_ushabti	nag_nagash
nag_settlement_warsphinx	nag_nagash
wh2_main_VAMPIRES_resource_gemstones	nag_nagash
wh2_main_VAMPIRES_resource_obsidian	nag_nagash
wh_main_VAMPIRES_resource_dyes	nag_nagash
wh_main_VAMPIRES_resource_furs	nag_nagash
wh_main_VAMPIRES_resource_gold	nag_nagash
wh_main_VAMPIRES_resource_iron	nag_nagash
wh_main_VAMPIRES_resource_marble	nag_nagash
wh_main_VAMPIRES_resource_pottery	nag_nagash
wh_main_VAMPIRES_resource_salt	nag_nagash
wh_main_VAMPIRES_resource_timber	nag_nagash
wh_main_VAMPIRES_resource_wine	nag_nagash
