key	agent_key	campaign_key	faction_key	subculture	for_army	for_navy	agent_subtype_key
#character_skill_node_sets_tables;2;db/character_skill_node_sets_tables/nagash_skills							
nag_skill_node_set_nagash_husk	general				false	false	nag_nagash_husk
nag_skill_node_set_nagash_boss	general				false	false	nag_nagash_boss
nag_skill_node_set_mortarch_arkhan	general				false	false	nag_mortarch_arkhan
nag_skill_node_set_mortarch_krell	general				false	false	nag_mortarch_krell
nag_skill_node_set_mortarch_luthor	general				false	false	nag_mortarch_luthor
nag_skill_node_set_mortarch_neferata	general				false	false	nag_mortarch_neferata
nag_skill_node_set_mortarch_mannfred	general				false	false	nag_mortarch_mannfred
nag_skill_node_set_mortarch_vlad	general				false	false	nag_mortarch_vlad
nag_skill_node_set_isabella	dignitary				false	false	nag_mortarch_isabella
nag_skill_node_set_traitor_kings	general				false	false	nag_traitor_king
wh2_dlc09_skill_node_set_tmb_tomb_prince	champion				false	false	nag_tomb_prince
wh2_dlc09_skill_node_set_tmb_liche_priest_death	wizard				false	false	nag_liche_priest_death
wh2_dlc09_skill_node_set_tmb_liche_priest_light	wizard				false	false	nag_liche_priest_light
wh2_dlc09_skill_node_set_tmb_liche_priest_nehekhara	wizard				false	false	nag_liche_priest_nehekhara
wh2_dlc09_skill_node_set_tmb_liche_priest_shadow	wizard				false	false	nag_liche_priest_shadow
wh_main_skill_node_set_vmp_vampire	dignitary				false	false	nag_vampire
wh_dlc05_skill_node_set_vmp_vampire_shadow	dignitary				false	false	nag_vampire_shadow
wh2_main_skill_node_set_vmp_wight_king	champion				false	false	nag_wight_king
wh2_dlc11_skill_node_set_cst_gunnery_wight	engineer				false	false	nag_gunnery_wight
nag_skill_node_set_morghast_archai	spy				false	false	nag_morghasts_archai
