unit_record	height_offset	campaign_height_offset
#unit_banner_unit_height_offsets_tables;2;db/unit_banner_unit_height_offsets_tables/rhox_nagash		
nag_nagash_boss	6.0000	0.0000
nag_endless_tomb	4.0000	0.0000
nag_undead_chariot_unit	1.0000	0.0000
nag_morghasts	2.0000	0.0000
nag_morghasts_archai	2.0000	0.0000
nag_mortarch_neferata_warhorse	1.0000	0.0000
nag_mortarch_neferata_abyssal	3.0000	0.0000
nag_mortarch_mannfred_warhorse	1.0000	0.0000
nag_mortarch_mannfred_abyssal	3.0000	0.0000
nag_mortarch_luthor_terrorgheist	3.0000	0.0000
nag_mortarch_arkhan_warhorse	1.0000	0.0000
nag_mortarch_arkhan_chariot	1.0000	0.0000
nag_mortarch_arkhan_abyssal	3.0000	0.0000
nag_mortarch_isabella_hellsteed	2.0000	0.0000
nag_mortarch_isabella_warhorse	1.0000	0.0000
nag_nagashi_guard	0.5000	0.0000
nag_nagashi_guard_halb	0.5000	0.0000
nag_mortis_engine	1.0000	0.0000
nag_bone_thrower	1.0000	0.0000
nag_bone_golems	1.0000	0.0000
nag_cav_hexwraiths_0_summon	1.0000	0.0000
nag_cav_black_knights_0_summon	1.0000	0.0000
nag_hero_warsphinx_summon	1.0000	0.0000
nag_carrion_riders	2.0000	0.0000
nag_bone_colossus	1.0000	0.0000
nag_spirit_hosts	1.0000	0.0000
nag_spectre_swarm	1.0000	0.0000
nag_shade_haunts	1.0000	0.0000
nag_revenants	0.5000	0.0000
vigpro_nagash_skeleton_orcs	0.5000	0.0000
vigpro_nagash_skeleton_giant	1.0000	0.0000
vigpro_nagash_skeleton_goblin_range	0.5000	0.0000
vigpro_nagash_skeleton_goblin_melee	0.5000	0.0000
vigpro_nagash_skeleton_troll_1h	0.5000	0.0000
vigpro_nagash_skeleton_troll_2h	0.5000	0.0000
nag_skeleton_reaper	0.5000	0.0000
nag_doomed_legion	0.5000	0.0000
nag_blood_beasts	1.0000	0.0000
nag_thrall_crossbowmen	0.5000	0.0000
nag_thrall_handgunners	0.5000	0.0000
nag_virion_plaguecart	1.0000	0.0000
burning_dead_ror	0.5000	0.0000
nag_throne_guard	0.5000	0.0000
nag_nagashi_knights	1.0000	0.0000
nag_doom_knights	1.0000	0.0000
nag_druthor	3.0000	0.0000
