unit_record	height_offset	campaign_height_offset
#unit_banner_unit_height_offsets_tables;2;db/unit_banner_unit_height_offsets_tables/rhox_nagash_vanilla		
nag_cha_tomb_king_1	1.0000	0.0000
nag_cha_tomb_king_2	1.0000	0.0000
nag_cha_tomb_king_3	1.0000	0.0000
nag_cha_tomb_prince_0	1.0000	0.0000
nag_cha_tomb_prince_1	1.0000	0.0000
nag_cha_tomb_prince_2	1.0000	0.0000
nag_cha_liche_priest_death_1	1.0000	0.0000
nag_cha_liche_priest_light_1	1.0000	0.0000
nag_cha_liche_priest_nehekhara_1	1.0000	0.0000
nag_cha_liche_priest_shadow_1	1.0000	0.0000
nag_cha_liche_priest_undeath_1	1.0000	0.0000
nag_vanilla_tmb_inf_skeleton_archers_0	0.5000	0.0000
nag_vanilla_tmb_inf_skeleton_spearmen_0	0.5000	0.0000
nag_vanilla_tmb_inf_skeleton_warriors_0	0.5000	0.0000
nag_vanilla_tmb_inf_nehekhara_warriors_0	0.5000	0.0000
nag_vanilla_tmb_inf_tomb_guard_0	0.5000	0.0000
nag_vanilla_tmb_inf_tomb_guard_1	0.5000	0.0000
nag_vanilla_tmb_cav_skeleton_horsemen_0	1.0000	0.0000
nag_vanilla_tmb_cav_skeleton_horsemen_archers_0	1.0000	0.0000
nag_vanilla_tmb_cav_nehekhara_horsemen_0	1.0000	0.0000
nag_vanilla_tmb_cav_necropolis_knights_0	1.0000	0.0000
nag_vanilla_tmb_cav_necropolis_knights_1	1.0000	0.0000
nag_vanilla_tmb_veh_skeleton_archer_chariot_0	1.0000	0.0000
nag_vanilla_tmb_veh_skeleton_chariot_0	1.0000	0.0000
nag_vanilla_tmb_mon_ushabti_0	0.5000	0.0000
nag_vanilla_tmb_mon_ushabti_1	0.5000	0.0000
nag_vanilla_tmb_mon_sepulchral_stalkers_0	1.0000	0.0000
nag_vanilla_tmb_mon_tomb_scorpion_0	1.0000	0.0000
nag_vanilla_tmb_mon_khemrian_warsphinx_0	1.0000	0.0000
nag_vanilla_tmb_mon_necrosphinx_0	1.0000	0.0000
nag_vanilla_tmb_mon_bone_giant_0	2.0000	0.0000
nag_vanilla_tmb_art_screaming_skull_catapult_0	1.0000	0.0000
nag_vanilla_tmb_art_casket_of_souls_0	1.0000	0.0000
nag_vanilla_vmp_inf_zombie	0.5000	0.0000
nag_vanilla_vmp_inf_skeleton_warriors_0	0.5000	0.0000
nag_vanilla_vmp_inf_skeleton_warriors_1	0.5000	0.0000
nag_vanilla_vmp_inf_crypt_ghouls	0.5000	0.0000
nag_vanilla_vmp_inf_cairn_wraiths	0.5000	0.0000
nag_vanilla_vmp_inf_grave_guard_0	0.5000	0.0000
nag_vanilla_vmp_inf_grave_guard_1	0.5000	0.0000
nag_vanilla_vmp_cav_black_knights_0	1.0000	0.0000
nag_vanilla_vmp_cav_black_knights_3	1.0000	0.0000
nag_vanilla_vmp_cav_hexwraiths	1.0000	0.0000
nag_vanilla_vmp_cav_blood_knights_0	1.0000	0.0000
nag_vanilla_vmp_veh_corpse_cart_1	1.0000	0.0000
nag_vanilla_vmp_veh_corpse_cart_2	1.0000	0.0000
nag_vanilla_vmp_mon_dire_wolves	0.5000	0.0000
nag_vanilla_vmp_mon_fell_bats	0.5000	0.0000
nag_vanilla_vmp_mon_vargheists	1.0000	0.0000
nag_vanilla_vmp_mon_crypt_horrors	0.5000	0.0000
nag_vanilla_vmp_mon_varghulf	1.0000	0.0000
nag_vanilla_cst_inf_zombie_deckhands_mob_0	0.5000	0.0000
nag_vanilla_cst_inf_zombie_deckhands_mob_1	0.5000	0.0000
nag_vanilla_cst_inf_zombie_gunnery_mob_0	0.5000	0.0000
nag_vanilla_cst_inf_zombie_gunnery_mob_1	0.5000	0.0000
nag_vanilla_cst_inf_deck_gunners_0	0.5000	0.0000
nag_vanilla_cst_inf_depth_guard_0	0.5000	0.0000
nag_vanilla_cst_mon_bloated_corpse_0	0.5000	0.0000
nag_vanilla_cst_mon_terrorgheist	3.0000	0.0000
nag_vanilla_cst_art_carronade	0.5000	0.0000
nag_vanilla_cst_mon_necrofex_colossus_0	2.0000	0.0000
nag_vampire_lord_2	2.0000	0.0000
nag_vampire_lord_3	3.0000	0.0000
nag_vampire_lord_5	1.0000	0.0000
nag_master_necromancer_1	0.5000	0.0000
nag_master_necromancer_2	0.5000	0.0000
nag_master_necromancer_3	0.5000	0.0000
nag_vanilla_cst_inf_syreen	0.5000	0.0000
