component	icon	state	sort_order
#campaign_payload_ui_details_tables;2;db/campaign_payload_ui_details_tables/rhox_nagash			
nag_mortarch_neferata_technology	ui/skins/default/technology_positive.png	positive	0
nag_mortarch_krell_technology	ui/skins/default/technology_positive.png	positive	0
nag_mortarch_vlad_technology	ui/skins/default/technology_positive.png	positive	0
nag_mortarch_mannfred_technology	ui/skins/default/technology_positive.png	positive	0
nag_mortarch_luthor_technology	ui/skins/default/technology_positive.png	positive	0
nag_mortarch_arkhan_technology	ui/skins/default/technology_positive.png	positive	0
nag_mortarch_dieter_technology	ui/skins/default/technology_positive.png	positive	0
nag_azhag_recruit	ui/battle ui/ability_icons/wh2_dlc15_army_abilities_azhags_waaagh.png	positive	0
nag_mortarch_confederation	ui/campaign ui/effect_bundles/confederation.png	negative	0
nag_mortarch_war	ui/campaign ui/diplomacy_icons/diplomatic_option_declare_war.png	negative	0
rhox_nagash_final_tech_unlock	ui/skins/default/technology_positive.png	positive	0
dummy_rhox_nagash_boss_appear	ui/skins/mixer_nag_nagash/nag_special_pyramids_icon.png	positive	0
dummy_rhox_nagash_end_of_world	ui/campaign ui/effect_bundles/trait_mortarch.png	positive	0
nag_mortarch_dk_technology	ui/skins/default/technology_positive.png	positive	0
rhox_nagash_lahmia_confederation	ui/campaign ui/effect_bundles/confederation.png	positive	0
rhox_nagash_lahmia_20turns	ui/campaign ui/effect_bundles/turns.png	default	0
rhox_nagash_guinevere_joins	ui/campaign ui/effect_bundles/agent.png	default	0
rhox_nagash_guinevere_departs	ui/campaign ui/effect_bundles/agent.png	default	0
rhox_nagash_guinevere_presents	ui/campaign ui/effect_bundles/treasury.png	default	1
rhox_nagash_guinevere_peace	ui/campaign ui/diplomacy_icons/diplomatic_option_peace.png	positive	0
nag_azhag_will_join	ui/battle ui/ability_icons/wh2_dlc15_army_abilities_azhags_waaagh.png	positive	0
