member	faction
#campaign_group_member_criteria_factions_tables;0;db/campaign_group_member_criteria_factions_tables/nagash	
nag_interrogate	wh2_main_hef_yvresse
nagash_climate_chaotic	nag_nagash
nagash_climate_desert	nag_nagash
nagash_climate_frozen	nag_nagash
nagash_climate_island	nag_nagash
nagash_climate_jungle	nag_nagash
nagash_climate_magicforest	nag_nagash
nagash_climate_mountain	nag_nagash
nagash_climate_ocean	nag_nagash
nagash_climate_savannah	nag_nagash
nagash_climate_temperate	nag_nagash
nagash_climate_wasteland	nag_nagash
