key	man_animations_table	variant	battle_entity	battle_entity_stats	autonomous_rider_hero	autonomous_rider_can_shoot_in_melee	can_only_be_used_by_draught
#battle_personalities_tables;12;db/battle_personalities_tables/rhox_nagash							
nag_mortis_engine_banshee1	gh1_banshee_mortisengine	nag_spirit_host_ghost	wh_main_cavalry_rider_standard_ethereal		false	true	false
nag_mortis_engine_banshee2	gh1_banshee_mortisengine	nag_spirit_host_ghost	wh_main_cavalry_rider_standard_ethereal		false	true	false
nag_mortis_engine_banshee3	gh1_banshee_mortisengine	nag_spirit_host_ghost	wh_main_cavalry_rider_standard_ethereal		false	true	false
nag_mortis_engine_cairn_wraith1	gh1_cairn_wraith	wh_vmp_ghost_cairnwraith_mortis	wh_main_cavalry_rider_standard_ethereal		false	true	false
nag_mortis_engine_cairn_wraith2	gh1_cairn_wraith	wh_vmp_ghost_cairnwraith_mortis	wh_main_cavalry_rider_standard_ethereal		false	true	false
nag_mortis_engine_horse1	hr1_vmp_skeletal_steed_mortisengine	wh2_dlc09_tmb_skeletal_steed	wh_main_cavalry_rider_standard_ethereal		false	true	false
nag_mortis_engine_horse2	hr1_vmp_skeletal_steed_mortisengine	wh2_dlc09_tmb_skeletal_steed	wh_main_cavalry_rider_standard_ethereal		false	true	false
nag_mortis_engine_horse3	hr1_vmp_skeletal_steed_mortisengine	wh2_dlc09_tmb_skeletal_steed	wh_main_cavalry_rider_standard_ethereal		false	true	false
nag_mortis_engine_knight01	hu1_skeleton_hr1_skeletal_steed_mortis_engine	wh2_dlc09_tmb_skeleton_armoured_sword_dual_ror	wh_main_cavalry_rider_standard_ethereal		false	true	false
nag_mortis_engine_knight02	hu1_skeleton_hr1_skeletal_steed_mortis_engine	wh2_dlc09_tmb_skeleton_armoured_sword_dual_ror	wh_main_cavalry_rider_standard_ethereal		false	true	false
nag_mortis_engine_knight03	hu1_skeleton_hr1_skeletal_steed_mortis_engine	wh2_dlc09_tmb_skeleton_armoured_sword_dual_ror	wh_main_cavalry_rider_standard_ethereal		false	true	false
nag_mortis_engine_rider1	hu1_liche_priest_staff_and_sword	wh2_dlc09_tmb_liche_priest	wh_main_cavalry_rider_standard_ethereal		false	true	false
nag_mortis_engine_skeleton1	hu1_sk_mortisengine_left_00	wh_vmp_skeleton_spearmen_mortis	wh_main_infantry_rider		false	true	false
nag_mortis_engine_skeleton2	hu1_sk_mortisengine_left_01	wh_vmp_skeleton_mortis	wh_main_infantry_rider		false	true	false
nag_mortis_engine_skeleton3	hu1_sk_mortisengine_left_02	wh_vmp_skeleton_mortis	wh_main_infantry_rider		false	true	false
nag_mortis_engine_skeleton4	hu1_sk_mortisengine_right_00	wh_vmp_skeleton_spearmen_mortis	wh_main_infantry_rider		false	true	false
nag_mortis_engine_skeleton5	hu1_sk_mortisengine_right_01	wh_vmp_skeleton_mortis	wh_main_infantry_rider		false	true	false
nag_mortis_engine_skeleton6	hu1_sk_mortisengine_right_02	wh_vmp_skeleton_mortis	wh_main_infantry_rider		false	true	false
