group_key	unit_key	quality
#cdir_military_generator_unit_qualities_tables;2;db/cdir_military_generator_unit_qualities_tables/rhox_nagash		
wh3_default_land_characters	nag_mortarch_isabella	tier_2_step_5_units
wh3_default_land_characters	nag_mortarch_isabella_hellsteed	tier_3_step_3_units
wh3_default_land_characters	nag_mortarch_isabella_warhorse	tier_3_step_5_units
wh3_default_land_flying_heavy	nag_morghasts	tier_4_step_2_units
wh3_default_land_characters	nag_morghasts_archai	tier_5_units
wh3_default_land_melee_infantry_main_frontline_swords	nag_nagashi_guard	tier_3_step_1_units
wh3_default_land_melee_infantry_main_frontline_spears	nag_nagashi_guard_halb	tier_3_step_1_units
wh3_default_land_aura	nag_mortis_engine	tier_3_step_5_units
wh3_default_land_artillery_long_range	nag_bone_thrower	tier_2_step_3_units
wh3_default_land_monsters_heavy	nag_bone_golems	tier_5_units
wh3_default_land_ranged_cavalry_mounted	nag_sand_crawlies	tier_2_step_1_units
wh3_default_land_ranged_cavalry_mounted	nag_warp_ghouls	tier_2_step_1_units
wh3_default_land_melee_cavalry_main_mounted_heavy	nag_carrion_riders	tier_3_step_2_units
wh3_default_land_aura	nag_giant_spoop	tier_5_units
wh3_default_land_monsters_heavy	nag_bone_colossus	tier_5_units
wh3_default_land_ranged_infantry_main_light_backline	nag_shade_haunts	tier_2_step_1_units
wh3_default_land_ranged_infantry_main_light_backline	nag_spirit_hosts	tier_2_step_1_units
wh3_default_land_ranged_infantry_main_light_backline	nag_spectre_swarm	tier_2_step_1_units
wh3_default_land_ranged_infantry_main_light_backline	nag_vanilla_tmb_inf_skeleton_archers_0	tier_1_step_5_units
wh3_default_land_melee_infantry_main_frontline_spears	nag_vanilla_tmb_inf_skeleton_spearmen_0	tier_1_step_4_units
wh3_default_land_melee_infantry_main_frontline_swords	nag_vanilla_tmb_inf_skeleton_warriors_0	tier_1_step_4_units
wh3_default_land_melee_infantry_main_frontline_swords	nag_vanilla_tmb_inf_nehekhara_warriors_0	tier_2_step_1_units
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	nag_vanilla_tmb_inf_tomb_guard_0	tier_2_step_3_units
wh3_default_land_melee_infantry_main_frontline_spears_high_quality	nag_vanilla_tmb_inf_tomb_guard_1	tier_2_step_4_units
wh3_default_land_melee_cavalry_light	nag_vanilla_tmb_cav_skeleton_horsemen_0	tier_1_step_5_units
wh3_default_land_ranged_cavalry_mounted	nag_vanilla_tmb_cav_skeleton_horsemen_archers_0	tier_1_step_5_units
wh3_default_land_melee_cavalry_main_mounted_medium	nag_vanilla_tmb_cav_nehekhara_horsemen_0	tier_2_step_2_units
wh3_default_land_melee_cavalry_main_mounted_heavy	nag_vanilla_tmb_cav_necropolis_knights_0	tier_3_step_5_units
wh3_default_land_melee_cavalry_main_mounted_heavy	nag_vanilla_tmb_cav_necropolis_knights_1	tier_3_step_5_units
wh3_default_land_ranged_cavalry_mounted	nag_vanilla_tmb_veh_skeleton_archer_chariot_0	tier_3_step_1_units
wh3_default_land_melee_cavalry_main_chariots	nag_vanilla_tmb_veh_skeleton_chariot_0	tier_2_step_4_units
wh3_default_land_monsters_flanking_strong	nag_vanilla_tmb_mon_ushabti_0	tier_2_step_5_units
wh3_default_land_ranged_infantry_main_heavy	nag_vanilla_tmb_mon_ushabti_1	tier_3_step_2_units
wh3_default_land_monsters_flanking_strong	nag_vanilla_tmb_mon_sepulchral_stalkers_0	tier_3_step_3_units
wh3_default_land_monsters_heavy	nag_vanilla_tmb_mon_tomb_scorpion_0	tier_3_step_1_units
wh3_default_land_monsters_heavy	nag_vanilla_tmb_mon_khemrian_warsphinx_0	tier_4_step_4_units
wh3_default_land_monsters_heavy	nag_vanilla_tmb_mon_necrosphinx_0	tier_5_units
wh3_default_land_artillery_long_range	nag_vanilla_tmb_mon_bone_giant_0	tier_4_step_2_units
wh3_default_land_artillery_long_range	nag_vanilla_tmb_art_screaming_skull_catapult_0	tier_2_step_3_units
